50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,"[85.2, 31.6]",,,,,,,,,,,,2.387036,,,,,,,,,,,6e1f0eb1-8a29-44bf-aa09-dd876c12eed9,1915,,"[79.2, 30.8]",3825729,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Ismael López Blanco,24263.0,Left Back,104,Sporting Gijón,1041,"['09121d4b-2622-4b69-bdfa-5a601a39e55b', '30a3c6f4-fc7a-4cbd-93fb-d80cc6f0ad95', 'db72a49c-8f7b-450c-b264-40056e7b189f']",52,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:02:52.019,Carry,True
,,,,,,,"[35.8, 63.9]",,,,,,,,,,,,0.836137,,,,,,,,,,,ffc51304-0694-4582-a57f-ab33e61525cd,1922,,"[35.8, 63.9]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Manuel Trigueros Muñoz,6771.0,Right Defensive Midfield,105,Villarreal,222,"['054fc657-6d37-432c-84bf-2486c3114f7a', '59525175-6f2b-46df-9d3b-f678a99d48a9']",16,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:16.000,Carry,
,,,,,,,"[23.2, 25.0]",,,,,,,,,,,,2.868931,,,,,,,,,,,b2c993da-cf6d-4c8d-b193-65d0bcc0ac68,1925,,"[23.6, 26.9]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Víctor Ruíz Torre,6752.0,Left Center Back,105,Villarreal,222,"['2ad1d35d-dfba-44bb-b5d3-86b02f559d00', 'b1cfe378-61c7-4ea3-ae0d-0c608542ff73']",19,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:19.590,Carry,
,,,,,,,"[40.3, 2.3]",,,,,,,,,,,,0.687501,,,,,,,,,,,7baa4259-5d8a-4f87-a245-63170b7bbe22,1928,,"[40.3, 2.3]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adrián Marín Gómez,6935.0,Left Back,105,Villarreal,222,"['591cb210-4d1d-4da7-9520-279b1c088f50', '6452a722-6411-428d-939a-805ec90419b4']",23,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:23.937,Carry,
,,,,,,,"[38.8, 19.8]",,,,,,,,,,,,0.840441,,,,,,,,,,,792da5b6-7d98-4ac5-934d-e4d7683815d2,1931,,"[38.8, 19.8]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Bruno Soriano Llido,22819.0,Left Defensive Midfield,105,Villarreal,222,"['962d3f1d-d0d1-427c-88e2-3c37accec0da', 'cb31b3ee-27f7-4c80-8512-4d75417637a8']",25,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:25.612,Carry,
,,,,,,,"[56.5, 22.8]",,,,,,,,,,,,2.438453,,,,,,,,,,,8f756b4b-2fef-4d12-aae6-dd312aca6c81,1934,,"[56.7, 23.7]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Cédric Bakambu,6862.0,Left Center Forward,105,Villarreal,222,"['9c105e19-8252-4690-a970-93f22559b9b4', 'be649ec8-77d0-4133-a585-78f8fa734878', 'd9c54cbc-c7f0-4e64-83d2-bac4d72bef22']",27,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:27.375,Carry,True
,,,,,,,"[70.4, 66.0]",,,,,,,,,,,,0.582887,,,,,,,,,,,9c1768a0-d54a-407c-a770-14c83ab62a9d,1945,,"[70.6, 67.5]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jonathan dos Santos Ramírez,6357.0,Right Midfield,106,Villarreal,222,"['35b0884f-8519-4c24-b6fe-2ee6619e0e1b', '530e17f3-758b-480d-b11c-114dd157a7a0', 'c96e1818-8d7e-4801-a05c-6731df97397b']",40,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:40.186,Carry,True
,,,,,,,"[70.6, 65.8]",,,,,,,,,,,,0.805094,,,,,,,,,,,0e04c83c-524d-4c74-a269-f8c083325fbe,1949,,"[70.4, 66.0]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jonathan dos Santos Ramírez,6357.0,Right Midfield,106,Villarreal,222,"['226fab8c-539d-48f5-8489-d4a391babe1d', '35b0884f-8519-4c24-b6fe-2ee6619e0e1b', '8a64c661-0c99-4ae5-81a3-94604608accd', 'c96e1818-8d7e-4801-a05c-6731df97397b', 'ef579564-6bb3-4c1a-b65b-e5104553a324']",40,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:40.769,Carry,True
,,,,,,,"[63.4, 67.7]",,,,,,,,,,,,1.114891,,,,,,,,,,,56dcf9ff-c463-4de8-9ac0-fd6a11b828c5,1953,,"[63.2, 68.0]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Trigueros Muñoz,6771.0,Right Defensive Midfield,106,Villarreal,222,"['20307d43-9d66-4744-93f2-d3fbaf776e62', '362b30f0-3321-41ca-be01-c5cf4a7d22be']",42,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:42.272,Carry,
,,,,,,,"[89.7, 71.6]",,,,,,,,,,,,0.923532,,,,,,,,,,,2d4fb3e0-c1fc-42e8-b59c-aef100672a1b,1956,,"[85.2, 73.5]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Roberto Soldado Rillo,26009.0,Right Center Forward,106,Villarreal,222,"['1918a69f-bbac-49a0-a946-ffc1edb6e8bc', '59e37942-f1a3-4625-876d-13294d268cde']",44,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:44.466,Carry,
