50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5949b943-9a27-4ef2-b657-f78b9ad01604,1,,,3825873,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d68eb59-1af0-4b85-8f0c-ff6770495572,2,,,3825873,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6827, 'name': 'Daniele Bonera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 6783, 'name': 'Samuel García Sánchez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,485efd76-85a4-4ac2-ae0e-7a730679f777,3,,,3825873,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['5e7eb4a1-0e8d-4318-a483-dd0376f2db1a'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5e7eb4a1-0e8d-4318-a483-dd0376f2db1a,4,,,3825873,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['485efd76-85a4-4ac2-ae0e-7a730679f777'],0,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b46b02e6-f527-40cd-9fd0-2e83b461cf4e,2013,,,3825873,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Valencia,207,['e1438a82-b3be-45da-9c15-6711ac6b27ca'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e1438a82-b3be-45da-9c15-6711ac6b27ca,2014,,,3825873,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Valencia,207,['b46b02e6-f527-40cd-9fd0-2e83b461cf4e'],0,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.31979,,,,,,,,,,,,,fca4b26e-c2f5-4e99-9161-c87d5e40b319,5,,"[60.0, 40.0]",3825873,0,,,,3.0430982,,Right Foot,,,,"[34.7, 42.5]",,Ground Pass,,25.423218,,,,Shkodran Mustafi,3638.0,,,,,Kick Off,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Right Center Midfield,2,Valencia,207,['a910d2fb-f7f2-43dd-ac5a-26b172df46ae'],1,,,,,,,,,,,,,,,Valencia,207,00:00:01.162,Pass,
,,,,,,,,,,,,,,,,2.439367,,,,,,,,,,,,,448264c8-ffca-49fb-b726-c6c3895f4e43,8,,"[35.8, 44.6]",3825873,0,,,,-0.53152174,,Right Foot,,,,"[79.0, 19.2]",,High Pass,,50.11387,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,1,From Kick Off,Shkodran Mustafi,3638.0,Right Center Back,2,Valencia,207,"['cd78079b-125e-402a-a7f0-fadcb71f5740', 'f0549472-5d7c-4699-96d0-67e8d87dc7c6']",4,,,,,,,,,,,,,,,Valencia,207,00:00:04.710,Pass,
,,,,,,,,,,,,,,,,2.397857,,,,,,,,,,,,,cd78079b-125e-402a-a7f0-fadcb71f5740,10,,"[41.1, 60.9]",3825873,0,,,,1.1047564,,Right Foot,,,,"[49.5, 77.6]",,Low Pass,,18.693583,,,,Samuel García Sánchez,6783.0,,,,,Recovery,1,Regular Play,Mateo Pablo Musacchio,7034.0,Right Center Back,3,Villarreal,222,"['3f05d015-7334-46fe-a6b8-f6f89beec24f', '448264c8-ffca-49fb-b726-c6c3895f4e43']",7,,,,,,,,,,,,,,,Villarreal,222,00:00:07.149,Pass,
,,,,,,,,,,,,,,,,0.110735,,,,,,,,,,,,,37ed2b21-83b6-49b9-bd9d-44200eb8a711,13,,"[52.4, 77.6]",3825873,0,,,,-0.4743999,,Right Foot,,,,"[56.1, 75.7]",,Ground Pass,,4.159327,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,1,Regular Play,Samuel García Sánchez,6783.0,Right Midfield,3,Villarreal,222,"['92af9d88-eb3a-41bb-8ec2-3ccf30a0cb70', '9acdda25-7188-4c27-b1cf-88d94f433564', 'db4a5312-fe50-4c37-9dc4-3ac986b27b24']",9,,,,,,,,,,,,,,,Villarreal,222,00:00:09.547,Pass,True
