50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.211243,,,,,,,,,,,,,554f9e4e-03ad-4a2f-8edf-11aebb904795,13,,"[30.8, 58.3]",3825655,0,,,,,-0.012577953,,Left Foot,,"[62.6, 57.9]",,High Pass,,31.802515,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,,1,From Kick Off,Roberto Román Triguero,6914.0,Right Back,2,Granada,1049,"['1b50974c-cd6d-4516-a72e-207a57e90635', '5a00bc60-5f27-4bdd-a56e-f8acf12654d2']",8,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:08.333,Pass,
,,,,,,,,,,,,,,2.628698,,,,,,,,,,,,,1b50974c-cd6d-4516-a72e-207a57e90635,16,,"[57.5, 22.2]",3825655,0,,,,True,1.7055676,,,,"[55.1, 39.9]",,High Pass,,17.86197,,,David Rodríguez Lombán,6702.0,,,,,Recovery,1,From Kick Off,Rene Krhin,3160.0,Left Defensive Midfield,2,Granada,1049,"['514c7687-1f61-408e-a91b-daf5401bb8d6', '554f9e4e-03ad-4a2f-8edf-11aebb904795', 'b61ba297-759e-476b-88ad-2891ab87b444']",10,,,,,,,,,,,,,,,,,,Granada,1049,00:00:10.544,Pass,True
,,,,,,,,,,,,,,2.446607,,,,,,,,,,,,,9c34e055-18b4-43e0-9d48-85d7a879087c,19,,"[59.0, 46.8]",3825655,0,,,,,-0.8659687,,Right Foot,,"[88.6, 12.0]",,High Pass,,45.685883,,,Robert Ibáñez Castro,18721.0,,,,,,1,From Kick Off,David Rodríguez Lombán,6702.0,Left Center Back,2,Granada,1049,['469f9e5a-2726-4c0b-9d44-c742cfea51a0'],14,,,,,,,,,,,,,,,,,,Granada,1049,00:00:14.940,Pass,
,,,,,,,,,,,,,,1.724426,,,,,,,,,,,,,8da2c275-c2c6-4949-8bf3-67149e88e4a3,24,,"[96.3, 10.3]",3825655,0,,,,,1.0765655,,Right Foot,True,"[107.4, 30.9]",,Ground Pass,,23.400213,Incomplete,,,,,,,,,1,From Kick Off,Robert Ibáñez Castro,18721.0,Left Wing,2,Granada,1049,"['1cf46eac-122f-4c5b-bb64-513eb9552da8', '23f53229-c85a-4da0-96cd-b374ee293bac']",19,,,,,,,,,,,,,,,,,,Granada,1049,00:00:19.580,Pass,True
,,,,,,,,,,,,,,2.020735,,,,,,,,,,,,,cba69bb7-9f71-43f6-981f-1e7b72461d7c,26,,"[38.1, 27.2]",3825655,0,,,,,0.47351572,,Head,,"[50.2, 33.4]",,Low Pass,,13.595955,,,Rene Krhin,3160.0,,,,,Recovery,1,From Kick Off,David Rodríguez Lombán,6702.0,Left Center Back,2,Granada,1049,['7f1e02d0-6f8b-4b72-965c-a5faabaad0fa'],24,,,,,,,,,,,,,,,,,,Granada,1049,00:00:24.558,Pass,
,,,,,,,,,,,,,,1.190749,,,,,,,,,,,,,209c4e79-eedf-44dd-add7-685d860a270a,30,,"[49.5, 32.4]",3825655,0,,,,,1.6871516,,Right Foot,,"[46.8, 55.5]",,Low Pass,,23.257257,,,Rubén Salvador Pérez Del Mármol,6599.0,,,,,,1,From Kick Off,Rene Krhin,3160.0,Left Defensive Midfield,2,Granada,1049,"['666fcf6d-568b-4f65-8ea7-266afde82d35', 'e9b16501-ea08-40a3-b797-3d8cce234220']",26,,,,,,,,,,,,,,,,,,Granada,1049,00:00:26.644,Pass,True
,,,,,,,,,,,,,,1.045199,,,,,,,,,,,,,20f44243-a990-41bd-bacc-3979d5cb5983,34,,"[47.0, 53.0]",3825655,0,,,,,-0.87605804,,Right Foot,,"[53.0, 45.8]",,Ground Pass,,9.372299,,,Rene Krhin,3160.0,,,,,,1,From Kick Off,Rubén Salvador Pérez Del Mármol,6599.0,Right Defensive Midfield,2,Granada,1049,"['7aa8c9ee-a1ca-4fd2-b285-db8b41b11c0f', 'af8fa3e7-ad4b-42eb-b69f-12f45ffa7705']",28,,,,,,,,,,,,,,,,,,Granada,1049,00:00:28.616,Pass,True
,,,,,,,,,,,,,,4.479778,,,,,,,,,,,,,8fd21f8e-c2e4-451c-9d90-e17f26c72584,36,,"[53.0, 45.8]",3825655,0,,,,,0.34129205,,Right Foot,,"[107.9, 65.3]",,High Pass,,58.260277,Incomplete,,Francisco Medina Luna,26797.0,,,,,,1,From Kick Off,Rene Krhin,3160.0,Left Defensive Midfield,2,Granada,1049,"['b0d74635-9731-4007-b0cf-5d086498480a', 'c24016a2-dacc-412b-b3cc-905c4d760f3b']",29,,,,,,,,,,,,,,,,,,Granada,1049,00:00:29.662,Pass,
,,,,,,,,,,,,,,1.757136,,,,,,,,,,,,,240f9252-2602-47a4-9e06-8fa024ba1027,41,,"[9.9, 4.2]",3825655,0,,,,,-0.1727295,,Left Foot,,"[33.4, 0.1]",,High Pass,,23.854979,Out,,,,,,,,,1,From Kick Off,Răzvan Dincă Raț,10727.0,Left Back,2,Granada,1049,,35,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:35.536,Pass,
,,,,,,,,,,,,,,1.633551,,,,,,,,,,,,,2b9995a3-6348-4a7b-8007-5fc0e2452b3f,42,,"[91.1, 80.0]",3825655,0,,,,,-0.98788273,05377a0f-93db-4444-85d0-959aacba4f5c,,,"[103.1, 61.8]",,Low Pass,,21.8,,,Youssef El-Arabi,27109.0,True,,,,Throw-in,1,From Throw In,Hugo Miguel Almeida Costa Lopes,20064.0,Right Back,3,Granada,1049,['7f78b48a-c9ce-448a-b5bc-822a2ab2e5d9'],48,,,,,,,,,,,,,,,,,,Granada,1049,00:00:48.773,Pass,
,,,,,,,,,,,,,,1.165907,,,,,,,,,,,,,34184a15-5560-442b-a780-fb1a29a92b0c,52,,"[6.0, 36.0]",3825655,1,,,,,-0.02178832,,Right Foot,,"[47.3, 35.1]",,High Pass,,41.309807,,,José Raúl Baena Urdiales,26607.0,,,,,Goal Kick,1,From Goal Kick,Antonio Rodríguez Martínez,26070.0,Goalkeeper,4,Rayo Vallecano,360,['baac7bcc-af87-4086-a790-6189a1851a22'],10,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:10.176,Pass,
,,,,,,,,,,,,,,1.186036,,,,,,,,,,,,,cad6e2e1-e2e2-4d9b-88e0-365d387bd8be,55,,"[46.0, 35.4]",3825655,1,,,,,-2.8769228,,Right Foot,,"[35.3, 32.5]",,High Pass,,11.086027,,,Roberto Trashorras Gayoso,26848.0,,,,,,1,From Goal Kick,José Raúl Baena Urdiales,26607.0,Left Center Midfield,4,Rayo Vallecano,360,['54da0bce-2cd7-4471-a232-3eee5b3a3c2f'],11,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:11.342,Pass,
,,,,,,,,,,,,,,2.803924,,,,,,,,,,,,,5110a428-699f-4e12-9be8-ca04e2fe1ce4,57,,"[35.7, 32.5]",3825655,1,,,,,-1.4677147,,Right Foot,,"[38.7, 3.5]",,High Pass,,29.15476,,,Răzvan Dincă Raț,10727.0,,,,,,1,From Goal Kick,Roberto Trashorras Gayoso,26848.0,Right Center Midfield,4,Rayo Vallecano,360,['9271aebf-0c28-4b0a-a41b-eac65b0c93c8'],12,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:12.528,Pass,
,,,,,,,,,,,,,,1.461778,,,,,,,,,,,,,b0319685-8b37-4438-89a5-4135d5293afd,60,,"[38.7, 3.5]",3825655,1,,,,,2.5315888,,Left Foot,,"[29.4, 10.0]",,Ground Pass,,11.346365,,,José Eduardo Rosa Vale de Castro,26222.0,,,,,,1,From Goal Kick,Răzvan Dincă Raț,10727.0,Left Back,4,Rayo Vallecano,360,['d3f82400-c6b4-486f-a2b4-3b1ba6f359b7'],16,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:16.971,Pass,
,,,,,,,,,,,,,,2.085504,,,,,,,,,,,,,8ebffbb1-c55e-43c5-a04b-6442ee28f75b,63,,"[32.9, 9.0]",3825655,1,,,,,1.6537465,,Right Foot,,"[29.3, 52.3]",,Ground Pass,,43.449394,,,Diego Javier Llorente Ríos,6713.0,,True,,,,1,From Goal Kick,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,4,Rayo Vallecano,360,['84ddb501-f48c-4ec5-81d0-e09958ddb144'],19,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:19.571,Pass,
,,,,,,,,,,,,,,3.167808,,,,,,,,,,,,,4e3d9c42-97c6-425d-b896-97748ef07aad,66,,"[60.9, 61.5]",3825655,1,,,,,-0.83458924,,Right Foot,,"[91.8, 27.4]",,Ground Pass,,46.017605,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,,1,From Goal Kick,Diego Javier Llorente Ríos,6713.0,Right Center Back,4,Rayo Vallecano,360,"['3edd4776-9718-45e6-ad82-95cb5a7244c7', 'eba15d1a-c0c4-4139-bcb1-a0cb3f20558e']",26,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:26.267,Pass,
,,,,,,,,,,,,,,1.893881,,,,,,,,,,,,,8e1d2335-ee85-452a-9fcf-739d55a32a29,70,,"[34.4, 54.8]",3825655,1,,,,,-0.18191293,,Right Foot,,"[64.3, 49.3]",,High Pass,,30.401644,,,Youssef El-Arabi,27109.0,,,,,,1,From Goal Kick,David Rodríguez Lombán,6702.0,Left Center Back,4,Rayo Vallecano,360,['9324f1ac-d021-47c0-a733-e476feb237d3'],30,,,,,,,,,,,,,,,,,,Granada,1049,00:01:30.992,Pass,
,,,,,,,,,,,,,,1.977283,,,,,,,,,,,,,2d6ab1f7-2109-46ac-804b-b4a740eaeddd,72,,"[64.7, 49.3]",3825655,1,,,,,-1.1258631,,Head,,"[71.9, 34.2]",,Low Pass,,16.728718,Incomplete,,Javier Márquez Moreno,24783.0,,,,,,1,From Goal Kick,Youssef El-Arabi,27109.0,Center Forward,4,Rayo Vallecano,360,"['d15ef1f9-1506-4130-91a7-7268ebf3f71b', 'db7806ee-2284-4457-a5ce-542d07e1cfc3']",32,,,,,,,,,,,,,,,,,,Granada,1049,00:01:32.886,Pass,
,,,,,,,,,,,,,,1.232087,,,,,,,,,,,,,d15ef1f9-1506-4130-91a7-7268ebf3f71b,75,,"[48.2, 45.9]",3825655,1,,,,,0.75092906,,Right Foot,,"[49.7, 47.3]",,Ground Pass,,2.0518284,,,Pablo Hernández Domínguez,4711.0,,,,,Recovery,1,From Goal Kick,Diego Javier Llorente Ríos,6713.0,Right Center Back,4,Rayo Vallecano,360,"['0b0cf368-82c4-4650-b366-f76ea17603be', '2d6ab1f7-2109-46ac-804b-b4a740eaeddd', '3220cabf-b30f-46fa-8a5b-5f2e837706e2']",34,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:34.863,Pass,True
,,,,,,,,,,,,,,1.764874,,,,,,,,,,,,,1d82dd6b-b42b-471e-be8e-8fb04b3acec4,78,,"[58.0, 55.5]",3825655,1,,,,,1.2490457,,Right Foot,,"[63.4, 71.7]",,Ground Pass,,17.0763,,,Roberto Román Triguero,6914.0,,,,,,1,From Goal Kick,Pablo Hernández Domínguez,4711.0,Center Attacking Midfield,4,Rayo Vallecano,360,['944f98ce-2704-4b7d-988e-cf3574c66f14'],36,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:36.762,Pass,
,,,,,,,,,,,,,,0.19995,,,,,,,,,,,,,244fc446-c505-43e3-8377-a729cff1987c,82,,"[63.0, 71.7]",3825655,1,,,,,-1.801887,,Left Foot,,"[62.6, 70.0]",,Ground Pass,,1.7464249,Incomplete,,Pablo Hernández Domínguez,4711.0,,,,,,1,From Goal Kick,Roberto Román Triguero,6914.0,Right Back,4,Rayo Vallecano,360,"['10947a82-066c-4782-b971-3db31a0d24f5', 'ac831674-dac0-4caa-b472-a6a8c11e4203', 'b2c0f06d-44f9-4e55-99b2-9c71d6175146']",39,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:39.787,Pass,True
,,,,,,,,,,,,,,0.591393,,,,,,,,,,,,,ea130301-3f8e-4ef1-9be3-45817ef11af9,85,,"[58.1, 6.6]",3825655,1,,,,,2.1311562,,Right Foot,,"[54.9, 11.7]",,Ground Pass,,6.0207973,,,Rene Krhin,3160.0,,,,,Recovery,1,Regular Play,Robert Ibáñez Castro,18721.0,Left Wing,5,Granada,1049,['e2ae73bd-31df-4275-b16a-20dcc97d5dfb'],41,,,,,,,,,,,,,,,,,,Granada,1049,00:01:41.219,Pass,
,,,,,,,,,,,,,,0.681026,,,,,,,,,,,,,3635e4db-6abe-4cb0-9be9-664eaffca862,89,,"[58.1, 10.1]",3825655,1,,,,,0.26211983,,Left Foot,,"[62.2, 11.2]",,Ground Pass,,4.244997,,,Javier Márquez Moreno,24783.0,,,,,,1,Regular Play,Rene Krhin,3160.0,Left Defensive Midfield,5,Granada,1049,['c3896c7c-521c-4c89-8508-d29a9ee85fa3'],42,,,,,,,,,,,,,,,,,,Granada,1049,00:01:42.438,Pass,
,,,,,,,,,,,,,,5.065595,,,,,,,,,,,,,68fd4113-f1f5-400b-8d1b-2bdf47c6d2ca,95,,"[62.2, 10.1]",3825655,2,,,,,0.7922709,,Right Foot,,"[120.0, 68.7]",,High Pass,,82.30917,Out,,,,,True,,,Free Kick,1,From Free Kick,Javier Márquez Moreno,24783.0,Center Attacking Midfield,6,Granada,1049,,2,,,,,,,,,,,,,,,,,,Granada,1049,00:02:02.363,Pass,
,,,,,,,,,,,,,,3.396501,,,,,,,,,,,,,291b092d-57f3-4792-81d9-2bbd42c93186,96,,"[6.0, 36.0]",3825655,2,,,,,0.14908323,,Right Foot,,"[81.9, 47.4]",,High Pass,,76.75135,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Antonio Rodríguez Martínez,26070.0,Goalkeeper,7,Rayo Vallecano,360,['ff4fe4d0-0a46-4cbd-ab4b-7396623ca67f'],23,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:23.580,Pass,
,,,,,,,,,,,,,,0.661186,,,,,,,,,,,,,ff4fe4d0-0a46-4cbd-ab4b-7396623ca67f,97,,"[38.2, 32.7]",3825655,2,,,,,0.14010173,,Left Foot,,"[46.0, 33.8]",,Ground Pass,,7.877182,Incomplete,,,,,,,,Recovery,1,From Goal Kick,David Rodríguez Lombán,6702.0,Left Center Back,7,Rayo Vallecano,360,"['10447dc2-4a90-4c2e-bd32-2877fb97eee7', '291b092d-57f3-4792-81d9-2bbd42c93186']",26,,,,,,,,,,,,,,,,,,Granada,1049,00:02:26.977,Pass,
,,,,,,,,,,,,,,2.157732,,,,,,,,,,,,,db07ee93-fc9e-4bb0-9778-4f9408cb1ba2,100,,"[77.2, 46.4]",3825655,2,,,,,0.30648455,,Right Foot,,"[100.9, 53.9]",,Ground Pass,,24.858398,,,Roberto Román Triguero,6914.0,,,,,,1,From Goal Kick,Pablo Hernández Domínguez,4711.0,Center Attacking Midfield,7,Rayo Vallecano,360,['8a47b298-e208-4a24-a753-6d5c05d93dfb'],28,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:28.490,Pass,
,,,,,,,,,,,,,,1.041512,,,,,,,,,,,,,9dd65ec3-9c93-4c49-bef6-0f1120078822,103,,"[106.1, 55.7]",3825655,2,,,,,-1.6902252,0dc5f2f9-066e-4b8a-af30-1ae6d49796aa,Right Foot,,"[104.6, 43.2]",,Ground Pass,,12.589679,,,Pablo Hernández Domínguez,4711.0,True,,,,,1,From Goal Kick,Roberto Román Triguero,6914.0,Right Back,7,Rayo Vallecano,360,['7227256f-0e8b-41ac-99cd-afee3782bbb4'],31,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:31.048,Pass,
,,,,,,,,,,,,,,0.461826,,,,,,,,,,,,,3607157c-e290-41d6-81b4-72fd953bb1c0,109,,"[61.0, 40.1]",3825655,3,,True,,,-1.6539376,,Right Foot,,"[60.7, 36.5]",,Ground Pass,,3.6124783,,,Youssef El-Arabi,27109.0,,,,,Kick Off,1,From Kick Off,Javier Márquez Moreno,24783.0,Center Attacking Midfield,8,Granada,1049,['df882a11-8154-44bd-a034-09a8224b7f65'],19,,,,,,,,,,,,,,,,,,Granada,1049,00:03:19.811,Pass,
,,,,,,,,,,,,,,1.582176,,,,,,,,,,,,,fc7d8f4f-6a65-491b-8a26-849837ef60df,113,,"[69.8, 57.0]",3825655,3,,,,,-0.43451953,,Left Foot,,"[108.8, 38.9]",,High Pass,,42.995464,Incomplete,,David Rodríguez Lombán,6702.0,,,,,Free Kick,1,From Free Kick,Francisco Medina Luna,26797.0,Right Wing,9,Granada,1049,"['189b609f-49ef-43f4-95c6-626ba121ebec', 'ca5e00ac-e011-477f-9fed-c7e9e43871c0']",55,,,,,,,,,,,,,,,,,,Granada,1049,00:03:55.952,Pass,
,,,,,,,,,,,,,,1.918237,,,,,,,,,,,,,b18ab73f-cb5a-40aa-b3f1-ced2357f3544,117,,"[26.4, 22.4]",3825655,3,,,,,0.6913369,,Head,,"[38.0, 32.0]",,High Pass,,15.057224,,,Adrián Embarba Blázquez,11539.0,,,,,Recovery,1,From Free Kick,Pablo Hernández Domínguez,4711.0,Center Attacking Midfield,9,Granada,1049,['8920f212-ee63-46dc-8a12-c6585fdab943'],59,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:03:59.245,Pass,
,,,,,,,,,,,,,,2.570634,,,,,,,,,,,,,9ede0ef5-ad61-48e2-a6b0-f1d6a2953f67,131,,"[47.0, 18.6]",3825655,4,,,,,-0.25786453,,Right Foot,,"[74.3, 11.4]",,Ground Pass,,28.23349,Incomplete,,Pablo Hernández Domínguez,4711.0,,,,,,1,Regular Play,Roberto Trashorras Gayoso,26848.0,Right Center Midfield,10,Rayo Vallecano,360,"['17be28cd-66a7-4367-bc41-faee2590edc4', 'e28fb10a-fca8-4698-94c2-9d2fabeae753']",5,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:04:05.681,Pass,
