bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d2f0603f-c1d1-4bba-994d-8cf5c88da10c,1,,,,3825724,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,81631444-97b9-4389-8fd6-6c310fcaf5c0,2,,,,3825724,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6728, 'name': 'Federico Nicolás Cartabia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd9230b8-48a9-46c3-83f6-24c5264573a9,3,,,,3825724,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['a577667e-c4a2-4a87-9c57-638975df7cf9'],0,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a577667e-c4a2-4a87-9c57-638975df7cf9,4,,,,3825724,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['dd9230b8-48a9-46c3-83f6-24c5264573a9'],0,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f3c2415-fa99-4cc8-a896-a1df1a3a17fe,1997,,,,3825724,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,133,Real Madrid,220,['7cd72ef7-4435-4129-84db-21d8284e8608'],0,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7cd72ef7-4435-4129-84db-21d8284e8608,1998,,,,3825724,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,133,Real Madrid,220,['0f3c2415-fa99-4cc8-a896-a1df1a3a17fe'],0,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.099695,,,,,,,,,,,,,,4aa9d1ca-97ff-499b-92fc-193ccb32ffd0,5,,,"[61.0, 40.1]",3825724,0,,,,2.2381024,,Right Foot,,,,"[58.4, 43.4]",,Ground Pass,,4.2011905,,,,Luis Alberto Romero Alconchel,7782.0,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Center Forward,2,RC Deportivo La Coruña,219,['28f35037-dd90-46f6-9230-28a85f9a1ed8'],0,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.853,Pass,
,,,,,,,,,,,,,,,,,0.867996,,,,,,,,,,,,,,299bbfb3-0cc9-4df6-9c84-e70394ce40bc,8,,,"[58.4, 43.2]",3825724,0,,,,-2.8309941,,Right Foot,,,,"[50.3, 40.6]",,Ground Pass,,8.507056,,,,Pedro Mosquera Parada,6733.0,,,,,,1,From Kick Off,Luis Alberto Romero Alconchel,7782.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['74b77bdf-ba41-42d7-8d19-c05be6cd9082'],0,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.993,Pass,
,,,,,,,,,,,,,,,,,1.517334,,,,,,,,,,,,,,171c7c63-9ed4-450c-b93f-ffc5543b60e0,11,,,"[46.7, 42.1]",3825724,0,,,,-2.5916216,,Left Foot,,,,"[26.8, 29.9]",,Ground Pass,,23.342022,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Kick Off,Pedro Mosquera Parada,6733.0,Left Defensive Midfield,2,RC Deportivo La Coruña,219,['00a1d01a-c718-413f-b6d2-07461f45b56a'],3,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:03.083,Pass,
,,,,,,,,,,,,,,,,,2.544046,,,,,,,,,,,,,,f3467438-2158-436f-9699-7ca57316b53b,14,,,"[30.8, 26.5]",3825724,0,,,,2.172537,,Left Foot,,,,"[14.8, 49.8]",,Ground Pass,,28.264643,,,,Germán Darío Lux,27305.0,,,,,,1,From Kick Off,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,2,RC Deportivo La Coruña,219,['c7570e8b-7a99-477f-9177-8bdc90b0bbac'],7,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:07.945,Pass,
