50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,05043a07-f9b5-480d-9b82-2cf92a8f2a48,1,,,3825901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6706, 'name': 'Francisco Casilla Cortés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5200, 'name': 'Lucas Vázquez Iglesias'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d1ec2c3-073e-4d0b-8f52-629322c91c21,2,,,3825901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cec5cff5-375a-4bd2-a872-5e6c47566bbd,3,,,3825901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['6ac9c4e9-a495-48a8-9e5e-2fdb2a5f8058'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ac9c4e9-a495-48a8-9e5e-2fdb2a5f8058,4,,,3825901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['cec5cff5-375a-4bd2-a872-5e6c47566bbd'],0,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a7a89ef-b62c-4d37-80a2-2fe42d3595a3,2246,,,3825901,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Real Madrid,220,['d888b2d3-17e0-4361-94c5-9a66e71956f8'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d888b2d3-17e0-4361-94c5-9a66e71956f8,2247,,,3825901,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Real Madrid,220,['8a7a89ef-b62c-4d37-80a2-2fe42d3595a3'],0,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.613015,,,,,,,,,,,,,e475e2bd-6a28-4a4b-afed-4b59e27b4d66,5,,"[61.0, 40.1]",3825901,0,,,,,1.735945,,Right Foot,,,,"[60.6, 42.5]",,Ground Pass,,2.433105,,,,,Daniel Parejo Muñoz,6595.0,,,,,,Kick Off,1,From Kick Off,Francisco Alcácer García,6402.0,Center Forward,2,Valencia,207,['ba483a97-32a4-4d51-98b3-c6ce1ebcd2e3'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.447,Pass,
,,,,,,,,,,,,,,,,,,1.467364,,,,,,,,,,,,,213f3dab-2353-4563-ba21-06ff73f8bf6a,8,,"[60.4, 42.5]",3825901,0,,,,,-2.92127,,Right Foot,,,,"[41.2, 38.2]",,Ground Pass,,19.67562,,,,,Enzo Nicolás Pérez,5741.0,,,,,,,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Right Center Midfield,2,Valencia,207,['7a05f950-a906-46e6-a5ae-f6f807dac08e'],1,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:01.180,Pass,
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,f1f9241e-2245-4798-90cf-f3a30f7e1cfe,11,,"[40.9, 39.3]",3825901,0,,,,,2.0036414,,Right Foot,,,,"[34.2, 53.8]",,Ground Pass,,15.973103,,,,,Shkodran Mustafi,3638.0,,,,,,,1,From Kick Off,Enzo Nicolás Pérez,5741.0,Center Defensive Midfield,2,Valencia,207,['fee01e9c-67c2-47c8-85f1-5175c4f489c0'],3,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:03.007,Pass,
,,,,,,,,,,,,,,,,,,1.942634,,,,,,,,,,,,,ffd3d3c5-4d07-4102-907c-3bdb3716d4c2,15,,"[32.9, 55.2]",3825901,0,,,,,0.39707944,,Right Foot,,,,"[60.8, 66.9]",,High Pass,,30.253925,,,,,João Pedro Cavaco Cancelo,7005.0,,,,,,,1,From Kick Off,Shkodran Mustafi,3638.0,Right Center Back,2,Valencia,207,"['2af6532f-7a55-4aa7-8ceb-6e8e1ed791bb', '717dd795-c08e-4ffa-a60c-718282e3f276']",6,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:06.143,Pass,True
