ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ac4e5df-860f-454a-88f0-0d5a273a667a,1,,,3825775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,26c7ae81-11d1-461a-a2c1-cde94634017f,2,,,3825775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad1fbde7-0bef-4c1e-8154-26981f4cdb1f,3,,,3825775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['ff75f5d2-5a82-42b2-9877-452a36b4b6ad'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ff75f5d2-5a82-42b2-9877-452a36b4b6ad,4,,,3825775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['ad1fbde7-0bef-4c1e-8154-26981f4cdb1f'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9111f9d-def7-4297-9002-380d1b9aebef,1573,,,3825775,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,127,Real Sociedad,210,['bf85751e-19da-4f92-b1b5-74aba3de3fc8'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bf85751e-19da-4f92-b1b5-74aba3de3fc8,1574,,,3825775,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,127,Real Sociedad,210,['f9111f9d-def7-4297-9002-380d1b9aebef'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.722962,,,,,,,,,,,,,3a87dfa4-97f1-42ed-aa81-ad742caf95b0,5,,"[60.0, 40.0]",3825775,0,,True,,,-2.4132752,,Right Foot,,,"[56.3, 36.7]",,Ground Pass,,4.9578223,,,,Rubén Rochina Naixes,6680.0,,,,,Kick Off,1,From Kick Off,Youssef El-Arabi,27109.0,Center Forward,2,Granada,1049,['ef9aa21d-ed51-405e-b5ba-144aadf3ef87'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.754,Pass,
,,,,,,,,,,,,,,,,1.349412,,,,,,,,,,,,,40bea4c9-ca7f-40ba-958b-dfa131b7519b,7,,"[51.2, 34.1]",3825775,0,,,,,-2.8092604,,Left Foot,,,"[39.9, 30.2]",,Ground Pass,,11.954079,,,,Ricardo Miguel Moreira da Costa,19454.0,,,,,,1,From Kick Off,Rubén Rochina Naixes,6680.0,Center Attacking Midfield,2,Granada,1049,['acf263b4-1ec2-4e1e-92a3-ff0bda0c334c'],1,,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.477,Pass,
,,,,,,,,,,,,,,,,2.651572,,,,,,,,,,,,,832f68e7-e548-460c-9e30-00342a925e34,11,,"[40.5, 32.2]",3825775,0,,,,,0.65412533,,Right Foot,,,"[89.8, 70.0]",,High Pass,,62.123505,,Incomplete,,Isaac Ajayi Success,6918.0,,,,,,1,From Kick Off,Ricardo Miguel Moreira da Costa,19454.0,Left Center Back,2,Granada,1049,"['114a6d4a-8cc1-4b0c-ba48-88270890b877', '155e5c9a-0537-4628-bf2e-0861535ab2b8', 'cf501c72-5664-4cae-9b60-112c5eef0350']",4,,,,,,,,,,,,,,,,,,Granada,1049,00:00:04.148,Pass,True
,,,,,,,,,,,,,,,,2.090657,,,,,,,,,,,,,039c2a56-d573-4f31-82a2-3febed8ef1d5,15,,"[34.0, 6.6]",3825775,0,,,,,0.30935845,,Left Foot,,,"[65.6, 16.7]",,High Pass,,33.17484,,,,Jonathas Cristian de Jesus,8584.0,,,,,Recovery,1,From Kick Off,Mikel Oyarzabal Ugarte,6685.0,Left Wing,2,Granada,1049,['5cbf6675-42fa-47e0-bf11-819c0724aaa2'],8,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:08.723,Pass,
