50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,131a6b47-8a36-4d2e-b434-4afef0da6876,1,,,,3825838,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 23833, 'name': 'Borja Viguera Manzanares'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,99bfb034-0674-4e41-94b1-944526c1dc2a,2,,,,3825838,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f8a26195-51e5-4a0a-b56e-44d6fe095992,3,,,,3825838,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['dfcf8ccb-83e1-4c1e-a225-6b7c840cecc3'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dfcf8ccb-83e1-4c1e-a225-6b7c840cecc3,4,,,,3825838,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['f8a26195-51e5-4a0a-b56e-44d6fe095992'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b759e022-54c5-4684-81f4-828bc7013cf2,1975,,,,3825838,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Atlético Madrid,212,['058b4a4d-ed68-47f4-9407-7b3064c665ec'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,058b4a4d-ed68-47f4-9407-7b3064c665ec,1976,,,,3825838,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Atlético Madrid,212,['b759e022-54c5-4684-81f4-828bc7013cf2'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.260915,,,,,,,,,,,972873a7-3d00-4f4a-8d9a-cc429f3eb973,5,,,"[61.0, 40.1]",3825838,0,,,,,1.7738415,,Right Foot,,,,"[60.3, 43.5]",,Ground Pass,,3.471311,,,,Thomas Teye Partey,6383.0,,,,,Kick Off,1,From Kick Off,Saúl Ñíguez Esclapez,6381.0,Left Midfield,2,Atlético Madrid,212,['af723c65-afe2-47cb-b2ea-e9f9819c467a'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.224,Pass,
,,,,,,,,,,,,,,,,,,1.425703,,,,,,,,,,,e4c05258-39a5-4c9c-97f7-6ebc0b5b9d85,7,,,"[60.6, 42.9]",3825838,0,,,,,3.0628088,,Right Foot,,,,"[45.4, 44.1]",,Ground Pass,,15.247294,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,From Kick Off,Thomas Teye Partey,6383.0,Right Midfield,2,Atlético Madrid,212,['70168632-f200-4563-b29b-85790b90d0c3'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.485,Pass,
,,,,,,,,,,,,,,,,,,1.641273,,,,,,,,,,,92a1865e-d479-4c03-937e-f88b60123cd8,10,,,"[46.2, 43.1]",3825838,0,,,,,-1.6193411,,Right Foot,,,,"[45.0, 18.4]",,Ground Pass,,24.729132,,,,Filipe Luís Kasmirski,6320.0,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Left Defensive Midfield,2,Atlético Madrid,212,['0f24929f-d4d2-4178-828e-3255e9415550'],3,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:03.152,Pass,
,,,,,,,,,,,,,,,,,,3.035118,,,,,,,,,,,768060eb-6a53-4c72-aaba-8ef65cae7ac9,13,,,"[45.9, 14.9]",3825838,0,,,,,0.31529903,,Left Foot,,,,"[92.5, 30.1]",,High Pass,,49.016323,,Pass Offside,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Filipe Luís Kasmirski,6320.0,Left Back,2,Atlético Madrid,212,['76fef3fb-ca29-479b-9986-93996883b979'],6,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:06.202,Pass,
