bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.785664,,,,,,,,,,,,,d868d720-2a57-43cc-b3e9-dbc02bd0d683,16,,"[28.6, 25.0]",3825601,0,,,,,1.5938945,,Right Foot,,,"[27.9, 55.3]",Ground Pass,,30.308084,,,,Antonio Amaya Carazo,27144.0,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Left Center Back,2,Rayo Vallecano,360,"['290db6b9-181d-4c38-9281-723bf537bb02', 'bfb88180-e6f7-4e6e-a42b-c78a7fb02fa7']",7,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:07.058,Pass,True
,,,,,,,,,,,,,,,,,,1.229098,,,,,,,,,,,,,f612ab29-22af-4239-9a00-7e77094c09b9,19,,"[36.8, 64.0]",3825601,0,,,,,0.8237069,,Right Foot,,,"[50.6, 78.9]",Ground Pass,,20.308865,,,,José Ignacio Martínez García,11298.0,,,,,1,From Kick Off,Antonio Amaya Carazo,27144.0,Right Center Back,2,Rayo Vallecano,360,['b8ea7a0e-3977-401e-88ca-05ed291300da'],11,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:11.875,Pass,
,,,,,,,,,,,,,,,,,,3.437103,,,,,,,,,,,,,5f590ce0-f8f6-4cd8-a510-7f48932c4c15,22,,"[45.6, 78.5]",3825601,0,,,,,-2.4661875,,Left Foot,,,"[8.9, 49.1]",Ground Pass,,47.02393,,,,Antonio Rodríguez Martínez,26070.0,,,,,1,From Kick Off,José Ignacio Martínez García,11298.0,Right Back,2,Rayo Vallecano,360,['077d18e8-d6f0-47a1-94f2-fe2cf29dcc95'],14,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:14.147,Pass,
,,,,,,,,,,,,,,,,,,1.793538,,,,,,,,,,,,,5f42c4c6-bc55-445f-9077-5ffcb479d97e,25,,"[10.9, 46.5]",3825601,0,,,,,1.0557235,,Left Foot,,,"[19.9, 62.4]",Ground Pass,,18.270468,,,,Antonio Amaya Carazo,27144.0,,,,,1,From Kick Off,Antonio Rodríguez Martínez,26070.0,Goalkeeper,2,Rayo Vallecano,360,['65f759ec-e280-43a3-ae08-39aa6046b578'],20,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:20.160,Pass,
,,,,,,,,,,,,,,,,,,0.989931,,,,,,,,,,,,,cd9634ad-6bbd-4d71-b6a6-8e1639dcab82,28,,"[37.6, 73.9]",3825601,0,,,,,0.6435011,,Right Foot,,,"[44.0, 78.7]",Ground Pass,,8.0,,,,José Ignacio Martínez García,11298.0,,,,,1,From Kick Off,Antonio Amaya Carazo,27144.0,Right Center Back,2,Rayo Vallecano,360,['6588627f-a9cc-4758-b1cf-f5119ae6dc9a'],26,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:26.600,Pass,
,,,,,,,,,,,,,,,,,,2.279126,,,,,,,,,,,,,267ebfa0-c54e-4ebc-abce-cc92c008cd84,31,,"[45.4, 78.2]",3825601,0,,,,,-1.2473984,,Right Foot,,,"[51.5, 60.0]",Ground Pass,,19.195051,,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,1,From Kick Off,José Ignacio Martínez García,11298.0,Right Back,2,Rayo Vallecano,360,"['462e2fdb-532e-4654-b03d-b797932b82c8', 'd0a8763f-6732-4cfb-86f5-0941cc3d4609']",29,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:29.062,Pass,
,,,,,,,,,,,,,,,,,,1.913777,,,,,,,,,,,,,c38d3b8a-aad4-4a73-9090-e5cd7d508ec6,36,,"[51.7, 58.5]",3825601,0,,True,,,-1.4333911,,Right Foot,,,"[58.6, 8.6]",High Pass,,50.374794,,,,Răzvan Dincă Raț,10727.0,,True,,Free Kick,1,From Free Kick,Roberto Trashorras Gayoso,26848.0,Left Defensive Midfield,3,Rayo Vallecano,360,['9375248a-4ffd-48c4-8363-d986490bb01e'],43,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:43.453,Pass,
,,,,,,,,,,,,,,,,,,1.003434,,,,,,,,,,,,,dc6460c2-90d8-40f4-b87d-fbfe41c0a596,38,,"[70.3, 10.1]",3825601,0,,,,,0.9445901,,Left Foot,,,"[88.6, 35.4]",Ground Pass,,31.22467,,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,1,From Free Kick,Răzvan Dincă Raț,10727.0,Left Back,3,Rayo Vallecano,360,"['aa328418-963a-4724-aad5-84c69bc05d1c', 'f119e1d4-b381-49e7-9dc5-7ae7e01bfed0']",47,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:47.986,Pass,
,,,,,,,,,,,,,,,,,,1.095961,,,,,,,,,,,,,f119e1d4-b381-49e7-9dc5-7ae7e01bfed0,41,,"[31.5, 44.7]",3825601,0,,,,,-0.5604569,,Right Foot,,,"[46.0, 35.6]",Ground Pass,,17.118996,,Incomplete,,,,,,,Interception,1,From Free Kick,Jorge Meré Pérez,8818.0,Right Center Back,3,Rayo Vallecano,360,"['7d8f6fef-59c2-439e-91ed-738ce1465839', 'a45f188d-981f-4b59-acb1-c77bb8125075', 'dc6460c2-90d8-40f4-b87d-fbfe41c0a596']",48,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:48.989,Pass,True
,,,,,,,,,,,,,,,,,,1.666382,,,,,,,,,,,,,56224300-174a-4e1d-945a-e7cb78506d49,44,,"[74.6, 48.5]",3825601,0,,,,,1.1650549,,Right Foot,,,"[86.8, 76.9]",Ground Pass,,30.909546,,,,Tiago Manuel Dias Correia,7900.0,,,,,1,From Free Kick,Roberto Trashorras Gayoso,26848.0,Left Defensive Midfield,3,Rayo Vallecano,360,['7615c49a-ee71-4525-8a59-54a74d9beb4c'],51,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:51.685,Pass,
