50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f32f027-824e-4fab-bc8f-d630236fd665,1,,,3825774,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbbadb1e-2841-4e65-a4bf-0d9d2b4e2929,2,,,3825774,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc795fab-0785-446c-9892-4ee31dc7f5b8,3,,,3825774,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['028afac2-4f5e-482c-b19a-4fcefae4c6ed'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,028afac2-4f5e-482c-b19a-4fcefae4c6ed,4,,,3825774,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['fc795fab-0785-446c-9892-4ee31dc7f5b8'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a210051-190b-4205-9450-8fb569b16224,1945,,,3825774,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Getafe,216,['371d9bf1-e6a2-41cb-b0da-a69d3e198678'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,371d9bf1-e6a2-41cb-b0da-a69d3e198678,1946,,,3825774,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Getafe,216,['0a210051-190b-4205-9450-8fb569b16224'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.467232,,,,,,,,,,,,,28f403f5-dd65-4ed4-abbe-64ca540ab158,5,,"[61.0, 40.1]",3825774,0,,,,1.7681919,,Right Foot,,,"[60.8, 41.1]",,Ground Pass,,1.0198039,,,,Jorge Resurrección Merodio,5199.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,Atlético Madrid,212,['c8d9e64e-9d5b-4d64-a32c-dee935828909'],1,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.164,Pass,
,,,,,,,,,,,,,,,,,,,1.269987,,,,,,,,,,,,,e998a2a1-9c61-442d-b642-d15fe5fae28e,8,,"[42.3, 44.4]",3825774,0,,,,-2.8387077,,Right Foot,,,"[40.7, 43.9]",,Ground Pass,,1.6763054,,,,Gabriel Fernández Arenas,6384.0,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Right Center Midfield,2,Atlético Madrid,212,['cc05ed9c-9dac-4848-9146-65133aa24126'],1,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.846,Pass,
,,,,,,,,,,,,,,,,,,,1.700716,,,,,,,,,,,,,6e187d3f-07d8-487c-adc9-e17043e5e5e3,12,,"[44.4, 43.7]",3825774,0,,,,-1.5332553,,Right Foot,,,"[45.2, 22.4]",,Ground Pass,,21.315018,,,,Saúl Ñíguez Esclapez,6381.0,,,,,,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Center Defensive Midfield,2,Atlético Madrid,212,"['88f8ef78-6f1f-484f-8e5e-eefb98e27df7', 'e81864ff-9d51-41c6-af25-01e9b2a325a2']",3,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:03.981,Pass,True
,,,,,,,,,,,,,,,,,,,1.283844,,,,,,,,,,,,,1422a32f-1d8a-4505-9dba-8f27296b35de,16,,"[45.2, 21.9]",3825774,0,,,,0.078625455,,Left Foot,,,"[78.2, 24.5]",,Ground Pass,,33.102264,,Incomplete,,,,,,,,,1,From Kick Off,Saúl Ñíguez Esclapez,6381.0,Left Center Midfield,2,Atlético Madrid,212,"['60ae1780-4445-44fc-8778-694e1f01119c', 'c602dc67-bd73-404c-8cc9-f2b8aecc5e65']",6,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:06.520,Pass,True
