ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,2d60b9d7-bbbd-4481-ac7b-a7338f4af5b7,1,,,3825900,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,090299ab-7891-43c1-9004-1a64d4dc1d70,2,,,3825900,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6860, 'name': 'Mariano Damián Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6827, 'name': 'Daniele Bonera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6783, 'name': 'Samuel García Sánchez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,01651c4a-d659-44f0-b93a-98ebea96bf3f,3,,,3825900,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['1d78e43d-c16c-404f-9708-095875f289b0'],0,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,1d78e43d-c16c-404f-9708-095875f289b0,4,,,3825900,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['01651c4a-d659-44f0-b93a-98ebea96bf3f'],0,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,0a54c987-433a-41d2-863f-09308f6ea70a,1988,,,3825900,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Sporting Gijón,1041,['02d6ac12-1e93-44d9-8dd1-3d457f798629'],0,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,02d6ac12-1e93-44d9-8dd1-3d457f798629,1989,,,3825900,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Sporting Gijón,1041,['0a54c987-433a-41d2-863f-09308f6ea70a'],0,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.315103,,,,,,,,,,,7598df4a-b2bf-4274-b6e5-a94a1da5b895,5,,"[60.0, 40.0]",3825900,0,,,,,-2.9739501,,Right Foot,,,"[47.0, 37.8]",,Ground Pass,,13.18484,,,,Sergio Álvarez Díaz,13107.0,,,,,,Kick Off,1,From Kick Off,Carlos Carmona Bonet,23848.0,Right Midfield,2,Sporting Gijón,1041,['f906d406-e6e0-4db7-a105-50cf56a6e324'],1,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.311,Pass,
,,,,,,,,,,,,,2.286321,,,,,,,,,,,f9cbaee6-ecea-442a-9eab-d498885bb78a,7,,"[47.0, 38.6]",3825900,0,,,,,-0.75492865,,Right Foot,,,"[82.5, 5.2]",,High Pass,,48.742283,,Incomplete,,Alberto Lora Ramos,26633.0,,,,,,,1,From Kick Off,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,2,Sporting Gijón,1041,"['a68cb4ca-06fd-4051-958b-d6f087733a62', 'e052d78c-0365-4dea-9d2d-a509ed657e29']",2,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.626,Pass,
,,,,,,,,,,,,,2.000732,,,,,,,,,,,e052d78c-0365-4dea-9d2d-a509ed657e29,9,,"[37.6, 74.9]",3825900,0,,,,,0.06583877,,Head,,,"[64.9, 76.7]",,High Pass,,27.359276,,Incomplete,,Samuel García Sánchez,6783.0,,,,,,Recovery,1,From Kick Off,Mario Gaspar Pérez Martínez,6772.0,Right Back,2,Sporting Gijón,1041,"['0697fe2f-00f3-4804-ae93-a612940b51c2', '8643b057-1232-4cf5-9db0-92902fba94e8', 'f9cbaee6-ecea-442a-9eab-d498885bb78a']",4,,,,,,,,,,,,,,,,Villarreal,222,00:00:04.912,Pass,
,,,,,,,,,,,,,0.826901,,,,,,,,,,,1354fa00-df02-4948-83df-1508e70b54b8,14,,"[64.1, 2.7]",3825900,0,,,,,-0.08112239,,Left Foot,,,"[76.4, 1.7]",,Ground Pass,,12.340584,,,,Jonathan Rodríguez Menéndez,6581.0,,,,,,,1,From Kick Off,Ismael López Blanco,24263.0,Left Back,2,Sporting Gijón,1041,['7c480bda-f20d-43e8-812a-02734902fb26'],10,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:10.315,Pass,
