ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,63530fc7-51f1-4ac5-808c-335cdd1feab4,1,,,3825666,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 24132, 'name': 'Francisco Miguel Varela Martín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 27345, 'name': 'Didier Digard'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8d35ad4c-8695-4b53-8315-8a840976591a,2,,,3825666,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,edf6b4d1-7384-4f57-ac43-1c046ffd0a58,3,,,3825666,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['2ad0b780-a8ee-4fdf-ad38-d13e1805ec2b'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2ad0b780-a8ee-4fdf-ad38-d13e1805ec2b,4,,,3825666,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['edf6b4d1-7384-4f57-ac43-1c046ffd0a58'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dc542834-a625-436f-bf78-5095fa5935de,1927,,,3825666,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Atlético Madrid,212,['5179286f-2e30-4611-a85b-86b06916597a'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5179286f-2e30-4611-a85b-86b06916597a,1928,,,3825666,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Atlético Madrid,212,['dc542834-a625-436f-bf78-5095fa5935de'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.730685,,,,,,,,,,,09ae7090-b857-43e3-8851-f8d1012453ce,5,,"[61.0, 40.1]",3825666,0,,,,,-2.642246,,Right Foot,,,,"[58.8, 38.9]",Ground Pass,,2.505993,,,Fernando José Torres Sanz,6382.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,Atlético Madrid,212,['5a1692c5-c08e-4ff1-b7e7-4cef1a2bb232'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.477,Pass,
,,,,,,,,,,,,,,,,1.626751,,,,,,,,,,,a592e0cb-005d-46f1-9192-2bfa026ccb71,8,,"[58.1, 38.6]",3825666,0,,,,,2.5805411,,Right Foot,,,,"[39.8, 50.1]",Ground Pass,,21.613422,,,Gabriel Fernández Arenas,6384.0,,,,,,1,From Kick Off,Fernando José Torres Sanz,6382.0,Center Forward,2,Atlético Madrid,212,['573354a7-3375-4bd9-a70e-b5c49ab24607'],1,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.692,Pass,
,,,,,,,,,,,,,,,,2.721282,,,,,,,,,,,043d94c4-4735-40e0-98fa-974025fbe06e,11,,"[42.5, 51.0]",3825666,0,,,,,0.55111045,,Right Foot,,,,"[83.5, 76.2]",High Pass,,48.12525,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Right Center Midfield,2,Atlético Madrid,212,"['e123e6ce-0c60-4f07-b570-42bcd509f058', 'e2992324-27a4-43af-b577-e1c5d96c19db']",5,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.195,Pass,
,,,,,,,,,,,,,,,,0.715444,,,,,,,,,,,edc7b67c-023d-4f58-ba3b-28ca62aac460,15,,"[88.8, 80.0]",3825666,0,,,,,-1.6421038,,,,,,"[88.1, 70.2]",Low Pass,,9.824968,,,Antoine Griezmann,5487.0,,,,,Throw-in,1,From Throw In,Jesús Gámez Duarte,4788.0,Right Back,3,Atlético Madrid,212,['283d3ad1-582d-46df-9121-bab3dd9184d5'],21,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:21.558,Pass,
