ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e7b85fc4-84fc-4c0c-967b-c5ea8af533ef,1,,,3825718,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 27480, 'name': 'Lucas Alfonso Orbán Alegre'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10037, 'name': 'Danilo Barbosa da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3f854d85-d66e-455c-a149-3c4ba427315f,2,,,3825718,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5df7d178-0f68-4019-9283-7c12d46968e4,3,,,3825718,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['04438827-d295-46d6-bb9b-00d9e4748855'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,04438827-d295-46d6-bb9b-00d9e4748855,4,,,3825718,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['5df7d178-0f68-4019-9283-7c12d46968e4'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ef3f9b52-e5d4-4b1d-8a6d-1099213c0888,1812,,,3825718,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,88,Real Madrid,220,['5cf6f8b8-a7c5-4bae-984e-ad26af8aba80'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5cf6f8b8-a7c5-4bae-984e-ad26af8aba80,1813,,,3825718,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,88,Real Madrid,220,['ef3f9b52-e5d4-4b1d-8a6d-1099213c0888'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.38353,,,,,,,,,,,,,,,,2a7ea673-0f94-4d9b-9ed9-af168f892335,5,,"[61.0, 40.1]",3825718,0,,,,,1.7717506,,Right Foot,,,"[59.9, 45.5]",,Ground Pass,,5.510898,,,,Karim Benzema,19677.0,,,,,,Kick Off,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Real Madrid,220,['f2dd1acf-5c4f-426d-acac-8d8f5dcda5e5'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.012,Pass,
,,,,,,,,,,,,,,,,1.139211,,,,,,,,,,,,,,,,c8c18b32-cb09-4ebb-bb87-6a7f3dc685d3,8,,"[59.3, 45.5]",3825718,0,,,,,-2.7500632,,Right Foot,,,"[48.4, 41.0]",,Ground Pass,,11.792371,,,,Toni Kroos,5574.0,,,,,,,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['98ad83ef-a3bf-480e-a290-46a053398d36'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.566,Pass,
,,,,,,,,,,,,,,,,1.278299,,,,,,,,,,,,,,,,d429aa52-cca2-4da9-a56d-9f24e46206f0,11,,"[48.4, 41.0]",3825718,0,,,,,-1.4761891,,Right Foot,,,"[49.7, 27.3]",,Ground Pass,,13.76154,,,,Mateo Kovačić,5456.0,,,,,,,1,From Kick Off,Toni Kroos,5574.0,Center Defensive Midfield,2,Real Madrid,220,['90ad7b49-a1fe-4060-ab09-b850bed36c9a'],2,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.639,Pass,
,,,,,,,,,,,,,,,,1.49065,,,,,,,,,,,,,,,,f9eca246-a7b2-4e55-8f5a-b238e0404d28,14,,"[52.9, 24.8]",3825718,0,,,,,2.8397825,,Right Foot,,,"[31.7, 31.4]",,Ground Pass,,22.203604,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Kick Off,Mateo Kovačić,5456.0,Left Center Midfield,2,Real Madrid,220,['12b7f6dc-5054-4293-8c0e-1a3f17b1e589'],6,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.530,Pass,
