50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,199f6099-4197-4f06-a578-c563a64f0aba,1,,,,3825614,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4418, 'name': 'Matheus Dória Macedo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18721, 'name': 'Robert Ibáñez Castro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ec116d4-bca8-49d9-877b-451c042d4c68,2,,,,3825614,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 26288, 'name': 'Jonathan Javier Rodríguez Portillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7b066a3f-b7f5-4990-8a87-bdeee1626fa0,3,,,,3825614,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['53c9473c-dae4-4560-be0f-0f2af228ff8e'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,53c9473c-dae4-4560-be0f-0f2af228ff8e,4,,,,3825614,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['7b066a3f-b7f5-4990-8a87-bdeee1626fa0'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,44f74194-b95a-459a-b320-719164bb820c,1550,,,,3825614,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,RC Deportivo La Coruña,219,['675233ff-3427-4422-837f-51178016f0e1'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,675233ff-3427-4422-837f-51178016f0e1,1551,,,,3825614,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,RC Deportivo La Coruña,219,['44f74194-b95a-459a-b320-719164bb820c'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.453415,,,,,,,,,,,,,33287292-90de-45e2-b05b-1c1814a5e087,5,,,"[61.0, 40.1]",3825614,0,,,,,1.735945,,Left Foot,,,,"[60.4, 43.7]",,Ground Pass,,3.6496575,,,,Jonathan Javier Rodríguez Portillo,26288.0,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Left Center Forward,2,RC Deportivo La Coruña,219,['d9aa580b-5b44-4c83-91bf-72122bf0fb1b'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.357,Pass,
,,,,,,,,,,,,,,,,,0.924885,,,,,,,,,,,,,08426db3-a9b4-4bcb-a483-37097b2f3146,7,,,"[60.4, 44.4]",3825614,0,,,,,-2.7921414,,Right Foot,,,,"[48.6, 40.1]",,Ground Pass,,12.55906,,,,Pedro Mosquera Parada,6733.0,,,,,,1,From Kick Off,Jonathan Javier Rodríguez Portillo,26288.0,Right Center Forward,2,RC Deportivo La Coruña,219,['d74355e6-77b3-466d-ad52-f79dfe8c511b'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.810,Pass,
,,,,,,,,,,,,,,,,,1.057461,,,,,,,,,,,,,e7c2f1ad-d7e2-487a-93ec-fbf7e2920a90,10,,,"[47.0, 39.9]",3825614,0,,,,,-2.74364,,Left Foot,,,,"[31.3, 33.3]",,Ground Pass,,17.030855,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Kick Off,Pedro Mosquera Parada,6733.0,Left Defensive Midfield,2,RC Deportivo La Coruña,219,['25685084-1a01-428a-a42e-df46c39bd66a'],2,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:02.803,Pass,
,,,,,,,,,,,,,,,,,2.586378,,,,,,,,,,,,,6ce40205-2b2d-4ea7-904c-8f9ab405faf3,13,,,"[30.4, 32.4]",3825614,0,,,,,2.5293076,,Left Foot,,,,"[8.9, 47.5]",,Ground Pass,,26.2728,,,,Germán Darío Lux,27305.0,,,,,,1,From Kick Off,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,2,RC Deportivo La Coruña,219,['eb68dc7d-d5ec-40c4-ad9a-dba2311d5e99'],5,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:05.059,Pass,
