50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,acdcb72f-cc3a-4bc9-8bd9-cbf908a9df0c,1,,,3825598,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,261e2c3e-1a54-4621-9d74-fd02fdbbcf27,2,,,3825598,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 26020, 'name': 'Ángel Lafita Castillo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dac74e89-4b49-4a17-a10e-7635026f8410,3,,,3825598,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['3f4cb940-139d-4f0b-a0c1-d0350feba81d'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3f4cb940-139d-4f0b-a0c1-d0350feba81d,4,,,3825598,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['dac74e89-4b49-4a17-a10e-7635026f8410'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f6a5481-a67d-43df-88ef-f7909c2b9e9f,1629,,,3825598,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Getafe,216,['d5e28d98-7f08-4dd2-b17b-7f6bde16a24f'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5e28d98-7f08-4dd2-b17b-7f6bde16a24f,1630,,,3825598,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Getafe,216,['9f6a5481-a67d-43df-88ef-f7909c2b9e9f'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.906342,,,,,,,,,,,,,7249c4ca-1af3-4855-808b-20d04384c099,5,,"[61.0, 40.1]",3825598,0,True,,,1.7547398,,Right Foot,,,,"[60.2, 44.4]",,Ground Pass,,4.3737855,,,Gabriel Fernández Arenas,6384.0,,,,,Kick Off,1,From Kick Off,Fernando José Torres Sanz,6382.0,Right Center Forward,2,Atlético Madrid,212,['bbc5bd84-3ce7-45fe-b3cc-919b162be181'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.301,Pass,
,,,,,,,,,,,,,,,,,1.575205,,,,,,,,,,,,,f8e70c1f-cdce-4553-8a34-dfd6689f6a40,7,,"[58.5, 44.7]",3825598,0,,,,-2.7277653,,Right Foot,,,,"[43.7, 38.2]",,Ground Pass,,16.164467,,,Saúl Ñíguez Esclapez,6381.0,,,,,,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,2,Atlético Madrid,212,['c8855076-eefc-4b41-b662-bfd050762494'],1,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.416,Pass,
,,,,,,,,,,,,,,,,,1.861387,,,,,,,,,,,,,d1ad8bc2-40cc-41b1-b2b6-0a48f5089c4b,10,,"[43.7, 34.1]",3825598,0,,,,-1.5447153,,Left Foot,,,,"[44.3, 11.1]",,Ground Pass,,23.007824,,,Guilherme Magdalena Siqueira,26780.0,,,,,,1,From Kick Off,Saúl Ñíguez Esclapez,6381.0,Left Defensive Midfield,2,Atlético Madrid,212,['b0de7eb6-fa25-4f7d-b89e-290b5e5cbe2f'],3,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:03.631,Pass,
,,,,,,,,,,,,,,,,,1.784974,,,,,,,,,,,,,51f02fff-bb61-41c7-b6ea-c27719737781,13,,"[50.9, 7.7]",3825598,0,,,,0.021444434,,Left Foot,,,,"[88.2, 8.5]",,High Pass,,37.30858,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Guilherme Magdalena Siqueira,26780.0,Left Back,2,Atlético Madrid,212,['333e7342-1ee7-4881-b1b2-fef4a649477e'],6,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:06.747,Pass,
