50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,28100451-cb5d-4703-a647-a137d7fb7273,1,,,,3825696,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23761, 'name': 'Alhassane Bangoura'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f4757747-83ae-4b28-b67b-438f1c4d6da7,2,,,,3825696,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16723, 'name': 'Egor Filipenko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,80215ff4-56bb-4a36-879e-31eb9923e678,3,,,,3825696,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['b9657868-9b42-4c4f-b000-1d522c7af44d'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b9657868-9b42-4c4f-b000-1d522c7af44d,4,,,,3825696,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['80215ff4-56bb-4a36-879e-31eb9923e678'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,71945476-7a24-4635-9e05-2a9d8cf9f006,1403,,,,3825696,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,Málaga,223,['237f6a5a-fbfa-4adb-b247-88f51f4f879c'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,237f6a5a-fbfa-4adb-b247-88f51f4f879c,1404,,,,3825696,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,Málaga,223,['71945476-7a24-4635-9e05-2a9d8cf9f006'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.624158,,,,,,,,,,,,,,6eadb744-23b6-4dd7-ac36-c3a24a10dea6,5,,,"[61.0, 40.1]",3825696,0,,True,,,2.7571063,,Right Foot,,,"[43.7, 47.1]",,Ground Pass,,18.662529,,,,,Roberto Trashorras Gayoso,26848.0,,,,,Kick Off,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Center Forward,2,Rayo Vallecano,360,['01d56962-9925-4ecf-a847-6325b7989f0c'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.872,Pass,
,,,,,,,,,,,,,,,,,2.039998,,,,,,,,,,,,,,15659547-951e-4bb5-9785-ab195cb55b4c,7,,,"[41.5, 45.9]",3825696,0,,,,,-1.8374039,,Right Foot,,,"[35.0, 22.1]",,Ground Pass,,24.671644,,,,,Antonio Amaya Carazo,27144.0,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Right Defensive Midfield,2,Rayo Vallecano,360,['1dd85733-7296-45fd-b55f-1618e1f223d8'],3,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:03.203,Pass,
,,,,,,,,,,,,,,,,,4.733658,,,,,,,,,,,,,,ed428bd2-edcc-4e86-9f5b-16aec6bdbffa,10,,,"[42.2, 16.3]",3825696,0,,,,,-0.041924,,Left Foot,,,"[116.1, 13.2]",,High Pass,,73.96499,,,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Kick Off,Antonio Amaya Carazo,27144.0,Left Center Back,2,Rayo Vallecano,360,['e2249d98-52ea-4d3c-b767-94cf2a1535af'],6,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:06.251,Pass,
,,,,,,,,,,,,,,,,,1.112483,,,,,,,,,,,,,,4482cd64-62f6-430e-a033-d278d6ecf578,16,,,"[120.0, 0.1]",3825696,0,,,,,1.7498664,,Right Foot,,,"[113.9, 33.8]",,High Pass,True,34.247627,,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Tiago Manuel Dias Correia,7900.0,Left Wing,3,Rayo Vallecano,360,['cb2310f0-c405-4d80-be6f-74f2d5cbef72'],29,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:29.436,Pass,
