bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.971365,,,,,,,,,,,,,,fd110e15-ac92-4107-a6df-bd5fe4626763,15,,,"[34.1, 23.0]",3825667,0,,,,,-1.1912074,,Left Foot,,,,"[41.6, 4.2]",,Ground Pass,,20.2408,,,,Jaume Vicent Costa Jordá,6828.0,,,,,,,1,From Kick Off,Víctor Ruíz Torre,6752.0,,Left Center Back,2,Villarreal,222,['78283442-ec15-433f-bd5a-56f0e2b12999'],9,,,,,,,,,,,,,,,,,Villarreal,222,00:00:09.671,Pass,
,,,,,,,,,,,,,,,1.142182,,,,,,,,,,,,,,e8e701b8-1b24-4fca-9740-df5f57682a60,18,,,"[41.8, 4.5]",3825667,0,,,,,2.365998,,Left Foot,,,,"[31.5, 14.6]",,Ground Pass,,14.425672,,,,Víctor Ruíz Torre,6752.0,,,,,,,1,From Kick Off,Jaume Vicent Costa Jordá,6828.0,,Left Back,2,Villarreal,222,['6c6d7143-5762-462a-b208-c62d549f1fc2'],11,,,,,,,,,,,,,,,,,Villarreal,222,00:00:11.462,Pass,
,,,,,,,,,,,,,,,1.480759,,,,,,,,,,,,,,8f92384a-f6da-4f48-9103-77056b036fd8,21,,,"[25.0, 19.6]",3825667,0,,,,,2.2585678,,Left Foot,,,,"[7.5, 40.9]",,Ground Pass,,27.567009,,,,Alphonse Areola,3379.0,,,,,,,1,From Kick Off,Víctor Ruíz Torre,6752.0,,Left Center Back,2,Villarreal,222,['c8752a73-4cd2-4996-9f79-d563c59df581'],15,,,,,,,,,,,,,,,,,Villarreal,222,00:00:15.283,Pass,
,,,,,,,,,,,,,,,2.678696,,,,,,,,,,,,,,0e7f4cf3-760b-48e1-83c2-6133e455c6ed,25,,,"[7.5, 41.8]",3825667,0,,,,,0.35585806,,Right Foot,,,,"[52.7, 58.6]",,High Pass,,48.221157,,Incomplete,,Manuel Trigueros Muñoz,6771.0,,,,,,,1,From Kick Off,Alphonse Areola,3379.0,,Goalkeeper,2,Villarreal,222,"['543f23fd-6355-4e5a-930a-0d1809ee5bf5', 'd7ddd55c-2993-4a45-be04-47f3b1f4acf0']",19,,,,,,,,,,,,,,,,,Villarreal,222,00:00:19.041,Pass,
,,,,,,,,,,,,,,,1.409567,,,,,,,,,,,,,,f3bbbc20-71a7-4c28-a7c6-48fabc2b7173,32,,,"[63.3, 11.1]",3825667,0,,,,,-0.47479957,,Left Foot,,,,"[84.7, 0.1]",,Ground Pass,,24.061588,,Out,,,,,,,,,Recovery,1,From Kick Off,David Juncà Reñé,6776.0,,Left Back,2,Villarreal,222,,23,,,,,,,,,,,,,,,,,Eibar,322,00:00:23.788,Pass,
,,,,,,,,,,,,,,,0.876746,,,,,,,,,,,,,,afe835fc-7be8-4253-8a29-785eaf1a6746,33,,,"[35.4, 80.0]",3825667,0,,,,,-0.571875,,,,,,"[54.2, 67.9]",,Low Pass,,22.357325,,,,Samuel Castillejo Azuaga,6829.0,,,,,,Throw-in,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,,Right Back,3,Villarreal,222,['394f7388-f2ae-4367-9333-265abd6dff81'],38,,,,,,,,,,,,,,,,,Villarreal,222,00:00:38.202,Pass,
,,,,,,,,,,,,,,,1.403636,,,,,,,,,,,,,,e718ccb7-03f8-4615-8764-74be12d877f1,39,,,"[62.9, 17.2]",3825667,0,,,,,-0.5404195,,Left Foot,,,,"[70.9, 12.4]",,High Pass,,9.329523,,,,Saúl Berjón Pérez,24070.0,,,,,,Recovery,1,Regular Play,Daniel García Carrillo,6775.0,,Left Defensive Midfield,4,Eibar,322,['45b64176-e404-417b-b608-a6e962b7e622'],40,,,,,,,,,,,,,,,,,Eibar,322,00:00:40.195,Pass,
,,,,,,,,,,,,,,,1.639509,,,,,,,,,,,,,,e9daae47-9c91-41be-909a-248065581b19,41,,,"[70.9, 12.4]",3825667,0,,,,,2.2390857,,Head,,,,"[61.9, 23.8]",,High Pass,,14.524462,,,,Gonzalo Escalante,6712.0,,,,,,,1,Regular Play,Saúl Berjón Pérez,24070.0,,Left Midfield,4,Eibar,322,['9280bf9c-7b5e-407b-afc5-fe5375010abc'],41,,,,,,,,,,,,,,,,,Eibar,322,00:00:41.603,Pass,
,,,,,,,,,,,,,,,1.824303,,,,,,,,,,,,,,8741ffcb-d276-4e58-8538-83f98ac20d0c,45,,,"[63.6, 24.8]",3825667,0,,,,,0.76579285,,Right Foot,,,,"[81.8, 42.3]",,High Pass,,25.248564,,Incomplete,,,,,,,,,,1,Regular Play,Gonzalo Escalante,6712.0,,Right Defensive Midfield,4,Eibar,322,['dfe83d7a-539c-45e4-af3a-80cd8c442eca'],43,,,,,,,,,,,,,,,,,Eibar,322,00:00:43.797,Pass,
,,,,,,,,,,,,,,,2.044016,,,,,,,,,,,,,,c28f32ed-77fa-49be-9578-60006c49c917,48,,,"[78.2, 24.0]",3825667,0,,,,True,0.31845024,,,,,,"[96.4, 30.0]",,Low Pass,,19.163507,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Sergio Enrich Ametller,6700.0,,Right Center Forward,4,Eibar,322,"['6a2de59f-770a-464c-a93b-6f32b241d7d8', 'a85e9125-ee45-4503-8361-943b1f178845']",48,,,,,,,,,,,,,,,,,Eibar,322,00:00:48.395,Pass,True
,,,,,,,,,,,,,,,3.508401,,,,,,,,,,,,,,6a2de59f-770a-464c-a93b-6f32b241d7d8,49,,,"[23.7, 50.1]",3825667,0,,,,,0.18061861,,Right Foot,,,,"[35.2, 52.2]",,High Pass,,11.690166,,,,Bruno Soriano Llido,22819.0,,,,,,Recovery,1,Regular Play,Víctor Ruíz Torre,6752.0,,Left Center Back,5,Villarreal,222,"['09bd3bab-e4fe-4776-94e4-a75546077a03', 'c28f32ed-77fa-49be-9578-60006c49c917']",50,,,,,,,,,,,,,,,,,Villarreal,222,00:00:50.439,Pass,
,,,,,,,,,,,,,,,3.373297,,,,,,,,,,,,,,ad239ed0-839b-4b5b-b609-1a71b97df866,51,,,"[35.0, 53.0]",3825667,0,,,,,2.3978372,,Left Foot,,,,"[17.5, 69.1]",,High Pass,,23.779404,,,,Mario Gaspar Pérez Martínez,6772.0,,,,,,,1,Regular Play,Bruno Soriano Llido,22819.0,,Left Center Midfield,5,Villarreal,222,['7a42f32c-a932-43f5-a1ca-9e1b494c7f0c'],53,,,,,,,,,,,,,,,,,Villarreal,222,00:00:53.948,Pass,
,,,,,,,,,,,,,,,3.772136,,,,,,,,,,,,,,596c7fc6-1214-492d-80f8-c510ade3fef2,53,,,"[15.6, 72.1]",3825667,0,,,,,-0.32295248,,Right Foot,,,,"[65.5, 55.4]",,High Pass,,52.62034,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,,1,Regular Play,Mario Gaspar Pérez Martínez,6772.0,,Right Back,5,Villarreal,222,"['2030c876-9b32-4d13-ae05-fc2fac9206bb', '6a398202-7139-4ad4-9489-292b682649e1']",57,,,,,,,,,,,,,,,,,Villarreal,222,00:00:57.321,Pass,
,,,,,,,,,,,,,,,2.005693,,,,,,,,,,,,,,6a398202-7139-4ad4-9489-292b682649e1,55,,,"[54.6, 24.7]",3825667,1,,,,,0.3436906,,Right Foot,,,,"[64.1, 28.1]",,High Pass,,10.090095,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Aleksandar Pantić,27239.0,,Left Center Back,5,Villarreal,222,"['596c7fc6-1214-492d-80f8-c510ade3fef2', '5eeb34a0-dead-4ba7-9b49-7cbb10fdde92']",1,,,,,,,,,,,,,,,,,Eibar,322,00:01:01.093,Pass,
,,,,,,,,,,,,,,,1.061076,,,,,,,,,,,,,,5eeb34a0-dead-4ba7-9b49-7cbb10fdde92,56,,,"[56.0, 52.0]",3825667,1,,,,,1.2986504,,Head,,,,"[58.4, 60.6]",,Low Pass,,8.928606,,Incomplete,,Samuel Castillejo Azuaga,6829.0,,,,,,Recovery,1,Regular Play,Bruno Soriano Llido,22819.0,,Left Center Midfield,5,Villarreal,222,"['3e49bfe6-cce3-4b3f-ad8d-b39b20d030fb', '429b941c-27d9-45ce-a251-fd44b246c2b5', '6a398202-7139-4ad4-9489-292b682649e1']",3,,,,,,,,,,,,,,,,,Villarreal,222,00:01:03.099,Pass,
,,,,,,,,,,,,,,,1.212487,,,,,,,,,,,,,,516588ef-938a-47c9-8d5f-194e73d9ba1b,61,,,"[65.2, 17.9]",3825667,1,,,,,-0.9856839,,Right Foot,,,,"[70.5, 9.9]",,Low Pass,,9.596354,,,,Saúl Berjón Pérez,24070.0,,,,,,,1,Regular Play,Daniel García Carrillo,6775.0,,Left Defensive Midfield,6,Eibar,322,"['4d5584da-465d-43c5-876e-e65b45797440', 'd588be7e-802b-4ed0-9c07-8325c7a3c2bd']",5,,,,,,,,,,,,,,,,,Eibar,322,00:01:05.034,Pass,True
,,,,,,,,,,,,,,,1.496708,,,,,,,,,,,,,,c948ef0b-2c1d-434f-8370-7e5b7ffe7d11,67,,,"[78.5, 0.1]",3825667,1,,,,,1.0844826,,,,,,"[86.8, 15.8]",,Low Pass,,17.758942,,,,Saúl Berjón Pérez,24070.0,,,,,,Throw-in,1,From Throw In,David Juncà Reñé,6776.0,,Left Back,7,Eibar,322,['cef88dc5-5fec-41fb-acc6-2f336269247d'],20,,,,,,,,,,,,,,,,,Eibar,322,00:01:20.668,Pass,
