bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,689e12b3-51d6-400c-97bb-3794e26c7bde,1,,,3825902,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5798ee8d-8b32-40be-a552-fbd722e38c9e,2,,,3825902,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 27123, 'name': 'Jordi Xumetra Feliu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,00b2dcdc-802b-4c06-b302-7ce544f9f7cb,3,,,3825902,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['7498683b-80ae-4fdc-9783-fbcc8b4aee0a'],0,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7498683b-80ae-4fdc-9783-fbcc8b4aee0a,4,,,3825902,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['00b2dcdc-802b-4c06-b302-7ce544f9f7cb'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d771e86b-8b92-4484-8563-cb4f7bf5a75d,1622,,,3825902,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Rayo Vallecano,360,['8fa0ae29-8054-4847-aac0-ca367ec94588'],0,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8fa0ae29-8054-4847-aac0-ca367ec94588,1623,,,3825902,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Rayo Vallecano,360,['d771e86b-8b92-4484-8563-cb4f7bf5a75d'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.186293,,,,,,,,,,,,,,,,34c3a2ed-2c15-407f-bdf3-cb140aae84cf,5,,"[61.0, 40.1]",3825902,0,,,,2.0576956,,Right Foot,,,"[60.1, 41.8]",,Ground Pass,,1.9235384,,,Javier Guerra Rodríguez,11542.0,,,,,,Kick Off,1,From Kick Off,Jozabed Sánchez Ruiz,6852.0,Center Attacking Midfield,2,Rayo Vallecano,360,['8694d6ed-b868-4ccf-b0f7-883ad825febe'],0,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.527,Pass,
,,,,,,,,,,,,,,,,0.704167,,,,,,,,,,,,,,,,5bb1c085-d4d1-4e5d-abca-d06acd5736e5,8,,"[60.1, 42.2]",3825902,0,,,,-3.053216,,Right Foot,,,"[52.2, 41.5]",,Ground Pass,,7.930952,,,Diego Javier Llorente Ríos,6713.0,,,,,,,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Center Forward,2,Rayo Vallecano,360,['3d67ae43-d22d-4ed3-be41-67257282635b'],0,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.792,Pass,
,,,,,,,,,,,,,,,,2.197773,,,,,,,,,,,,,,,,9a0e560f-b972-4cfe-9fa1-115dc9f336c2,11,,"[55.8, 47.5]",3825902,0,,,,1.5288363,,Right Foot,,,"[56.9, 73.7]",,Ground Pass,,26.223082,,,Joaquín José Marín Ruiz,24138.0,,,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Left Defensive Midfield,2,Rayo Vallecano,360,['33856ff7-8896-4e10-8641-78d72466502a'],4,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:04.916,Pass,
,,,,,,,,,,,,,,,,1.313406,,,,,,,,,,,,,,,,88f7b63d-ce15-45af-a997-90ca56cdaf1d,14,,"[56.9, 73.7]",3825902,0,,,,-2.143664,,Right Foot,,,"[42.0, 50.6]",,Ground Pass,,27.488543,,,Antonio Amaya Carazo,27144.0,,,,,,,1,From Kick Off,Joaquín José Marín Ruiz,24138.0,Right Back,2,Rayo Vallecano,360,['283d2b92-5f82-4496-8c67-10da9e802c2c'],8,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:08.030,Pass,
