ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a9b5e642-15a8-4062-9e2a-663fe36fa587,1,,,3825863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 27457, 'name': 'Manuel Fernández Muñíz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6728, 'name': 'Federico Nicolás Cartabia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c412465a-112e-4f40-8d1c-70474c38efad,2,,,3825863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7692, 'name': 'Mauricio Lemos Merladet'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 27251, 'name': 'Francisco José Perdomo Borges'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,49cd90e4-a5a8-4181-a422-8e928c61efa2,3,,,3825863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['a2b998d9-2aa2-46ae-b651-55636c1b8cf1'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a2b998d9-2aa2-46ae-b651-55636c1b8cf1,4,,,3825863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['49cd90e4-a5a8-4181-a422-8e928c61efa2'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0f65ebbe-7aeb-4313-962e-d16cb02ec7fd,1853,,,3825863,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,RC Deportivo La Coruña,219,['15f82021-f7d8-4de7-b708-d29ebdcb1f67'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,15f82021-f7d8-4de7-b708-d29ebdcb1f67,1854,,,3825863,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,RC Deportivo La Coruña,219,['0f65ebbe-7aeb-4313-962e-d16cb02ec7fd'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,a7f51cc0-5c1e-464d-b2b7-009d9f8502d0,5,,"[60.0, 40.0]",3825863,0,,True,,,-1.8925469,,Right Foot,,,,"[58.8, 36.4]",,Ground Pass,,3.7947333,,,,,Jonathan Viera Ramos,10755.0,,,,,Kick Off,1,From Kick Off,Sergio Ezequiel Araújo,8167.0,Center Forward,2,Las Palmas,208,['af42d59e-eaec-419a-8032-e802a3902b56'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.947,Pass,
,,,,,,,,,,,,,,,,1.237348,,,,,,,,,,,,6d715670-db52-4727-81e4-3fe5cd5e0a15,7,,"[58.8, 35.9]",3825863,0,,,,,3.1127546,,Right Foot,,,,"[48.4, 36.2]",,Ground Pass,,10.404326,,,,,Roque Mesa Quevedo,3610.0,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Center Midfield,2,Las Palmas,208,['2c9b197a-6a9d-4990-af75-77615c968016'],1,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.860,Pass,
,,,,,,,,,,,,,,,,2.399999,,,,,,,,,,,,037e02fe-aebb-476e-922d-9ab9dffd07b9,10,,"[49.6, 34.7]",3825863,0,,,,,-1.8949165,,Right Foot,,,,"[41.1, 9.4]",,Ground Pass,,26.6897,,,,,Dani Castellano Betancor,6932.0,,,,,,1,From Kick Off,Roque Mesa Quevedo,3610.0,Center Defensive Midfield,2,Las Palmas,208,['9580cc86-ecaf-4481-9e72-da91de12a9e2'],3,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:03.629,Pass,
,,,,,,,,,,,,,,,,1.999998,,,,,,,,,,,,2c0a8237-0d1b-4bb1-93e5-f0b7e67efed2,13,,"[41.1, 9.4]",3825863,0,,,,,1.9933103,,Left Foot,,,,"[24.6, 46.1]",,Ground Pass,,40.238537,,,,,Mauricio Lemos Merladet,7692.0,,,,,,1,From Kick Off,Dani Castellano Betancor,6932.0,Left Back,2,Las Palmas,208,['120ebbbd-9f58-4a57-b5e5-d461b35d7ef4'],7,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:07.581,Pass,
