50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,d202765e-dd2f-4acd-af80-8c66e0093063,1,,,3825877,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,69eca105-dc93-4b51-8607-b3742c23aa2f,2,,,3825877,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,da47ef32-93f8-4d3f-b42c-9dee807fcdfd,3,,,3825877,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['2d6e13db-674a-4b4b-88dd-2dfab661ce5d'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2d6e13db-674a-4b4b-88dd-2dfab661ce5d,4,,,3825877,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['da47ef32-93f8-4d3f-b42c-9dee807fcdfd'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,e25a61a4-7d56-4c7e-a325-b97d19b13a9f,1741,,,3825877,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Athletic Club,215,['d32bd3fa-925b-408b-9b9d-5f52ea869b7c'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,d32bd3fa-925b-408b-9b9d-5f52ea869b7c,1742,,,3825877,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Athletic Club,215,['e25a61a4-7d56-4c7e-a325-b97d19b13a9f'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.729671,,,,,,,,,,,,,,,,,92d765dc-3eeb-41b5-ac15-99c5df35d740,5,,"[61.0, 40.1]",3825877,0,,,,-1.6421038,,Right Foot,,,"[60.9, 38.7]",,Ground Pass,,1.4035668,,,,,Youssef El-Arabi,27109.0,,,,,Kick Off,1,From Kick Off,Adalberto Peñaranda Maestre,6847.0,Right Center Forward,2,Granada,1049,['86a16bad-123f-4915-9430-07163a0fa6a3'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.129,Pass,
,,,,,,,,,,,,,,,,,,,0.829572,,,,,,,,,,,,,,,,,fc4efd69-a565-49fc-9146-bf83349bf177,9,,"[57.5, 38.5]",3825877,0,,,,-3.0431466,,Left Foot,,,"[49.4, 37.7]",,Ground Pass,,8.13941,,,,,Rubén Salvador Pérez Del Mármol,6599.0,,,,,,1,From Kick Off,Youssef El-Arabi,27109.0,Left Center Forward,2,Granada,1049,"['06a4b396-4c4a-4ccd-a099-0f2308e150e0', 'a3aaaba7-88b2-4f9a-adc6-6a2e48bc6a1a']",2,,,,,,,,,,,,,,,,,,Granada,1049,00:00:02.097,Pass,True
,,,,,,,,,,,,,,,,,,,1.198989,,,,,,,,,,,,,,,,,5d23f83f-0354-4b4e-bb0f-da8ea0fcfad7,13,,"[49.4, 43.2]",3825877,0,,,,1.567395,,Right Foot,,,"[49.5, 72.6]",,Ground Pass,,29.40017,,,,,Dimitri Foulquier,4546.0,,,,,,1,From Kick Off,Rubén Salvador Pérez Del Mármol,6599.0,Left Defensive Midfield,2,Granada,1049,['d6b38e16-f2b0-478c-a809-9480a65cbad9'],4,,,,,,,,,,,,,,,,,,Granada,1049,00:00:04.394,Pass,
,,,,,,,,,,,,,,,,,,,3.660548,,,,,,,,,,,,,,,,,93734e48-552f-454a-828b-d9de4b58f30f,17,,"[49.2, 77.1]",3825877,0,,,,-0.13937818,,Right Foot,,,"[104.8, 69.3]",,High Pass,,56.144455,,,Incomplete,,Adalberto Peñaranda Maestre,6847.0,,,,,,1,From Kick Off,Dimitri Foulquier,4546.0,Right Back,2,Granada,1049,"['20cea696-f506-481b-ba4b-87c6811a1966', 'b989fcf2-db7b-448f-bc74-867995c66620', 'bf57ea2c-f646-4be0-bb12-435df95fa54c']",6,,,,,,,,,,,,,,,,,,Granada,1049,00:00:06.973,Pass,True
