ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c011096b-a293-48f0-b32a-bbe0bc87804a,1,,,,3825581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 15297, 'name': 'Mickaël Ciani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,531050c5-737f-4c2b-a467-87c0bf904115,2,,,,3825581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,343af56b-9ab1-407b-95b3-61810cca330c,3,,,,3825581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['c8be283a-f916-49a7-ac1e-748b5745b5d0'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8be283a-f916-49a7-ac1e-748b5745b5d0,4,,,,3825581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['343af56b-9ab1-407b-95b3-61810cca330c'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bc94ef64-a3a3-4fb7-9ee5-8e6a4ed5fd10,1740,,,,3825581,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Real Madrid,220,['9801d307-0073-44d4-9c1f-7fc936309be2'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9801d307-0073-44d4-9c1f-7fc936309be2,1741,,,,3825581,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Real Madrid,220,['bc94ef64-a3a3-4fb7-9ee5-8e6a4ed5fd10'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.205092,,,,,,,,,,,,,2aaa38dd-55f1-4e6e-b114-96e5580f968e,5,,,"[60.0, 40.0]",3825581,0,,,,-1.7307094,,Right Foot,,,"[59.5, 36.9]",,Ground Pass,,3.1400638,,,,Gerard Moreno Balaguero,6766.0,,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Right Center Forward,2,Espanyol,214,['12ad88c1-c06d-4265-bca6-0e119d82e08e'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.515,Pass,
,,,,,,,,,,,,,,,,,1.133042,,,,,,,,,,,,,6eef6eb7-ccf3-4599-85c6-d4b61b7dad89,8,,,"[59.1, 37.2]",3825581,0,,,,3.1415927,,Left Foot,,,"[44.1, 37.2]",,Ground Pass,,15.0,,,,Javier López Rodríguez,6791.0,,,,,,,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Left Center Forward,2,Espanyol,214,['fc2a24ce-08ec-42a3-8e0b-b43c3f936903'],1,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.057,Pass,
,,,,,,,,,,,,,,,,,2.392159,,,,,,,,,,,,,381d247e-e3f8-4c43-a9af-e30cd5cc3aad,11,,,"[44.1, 37.2]",3825581,0,,,,2.086088,,Right Foot,,,"[33.0, 56.8]",,Ground Pass,,22.524876,,,,Mickaël Ciani,15297.0,,,,,,,1,From Kick Off,Javier López Rodríguez,6791.0,Left Defensive Midfield,2,Espanyol,214,['47a34a36-1f40-4010-a168-f6cace81b3d3'],2,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:02.945,Pass,
,,,,,,,,,,,,,,,,,5.066038,,,,,,,,,,,,,3049d5e2-a701-4a85-a59a-eb9841fc1fc5,15,,,"[40.9, 66.5]",3825581,0,,,,-0.16449736,,Right Foot,,,"[115.6, 54.1]",,High Pass,,75.72219,,Incomplete,,,,,,,,,,1,From Kick Off,Mickaël Ciani,15297.0,Right Center Back,2,Espanyol,214,"['0ad39fb5-4cff-4fe7-aa53-3311fa6e6a00', 'dc884375-d0f6-4976-a29e-4a7bcf6ea8dd']",6,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:06.866,Pass,True
