bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.838781,,,,,,,,,,,,,,,5d7b47fd-b4fc-4f2c-9361-7848c48e943c,17,,"[29.1, 28.3]",3825908,0,,,,,2.566455,,Left Foot,,,"[9.2, 41.2]",,Ground Pass,23.715395,,,,,Pau López Sabata,6792.0,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['3988387b-26e0-40cb-bd3f-bca59fd4c2eb', '798ef7df-0e93-42a7-ba5a-32ec0fe0adba']",11,,,,,,,,,,,,,,,,,Espanyol,214,00:00:11.772,Pass,True
,,,,,,,,,,,,,,,,3.413127,,,,,,,,,,,,,,,7ef8f79d-4f11-4bf3-8e09-0a6d541f32aa,19,,"[9.2, 41.2]",3825908,0,,,,,0.5748343,,Left Foot,,,"[64.0, 76.7]",,High Pass,65.29388,,,,,Hernán Arsenio Pérez González,6838.0,,,,,,1,From Kick Off,Pau López Sabata,6792.0,Goalkeeper,2,Espanyol,214,['4143ccc9-c0a6-4ae2-8d37-e548f2e0a3f5'],13,,,,,,,,,,,,,,,,,Espanyol,214,00:00:13.610,Pass,
,,,,,,,,,,,,,,,,3.190437,,,,,,,,,,,,,,,98b1d501-f30b-4533-9110-1875ebddef5e,21,,"[64.0, 76.7]",3825908,0,,,,,3.0427423,,Head,,,"[51.9, 77.9]",,Low Pass,12.159359,,,,,Javier López Rodríguez,6791.0,,,,,,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,['c6c46815-5923-4d68-aedd-813fa215cae3'],17,,,,,,,,,,,,,,,,,Espanyol,214,00:00:17.024,Pass,
,,,,,,,,,,,,,,,,1.891515,,,,,,,,,,,,,,,b838d02d-551f-4f21-b6ba-c248cce1dcfc,25,,"[41.8, 76.5]",3825908,0,,,,,-3.030168,,Left Foot,,,"[27.5, 74.9]",,Ground Pass,14.389232,,,,,Álvaro González Soberón,6762.0,,,,,,1,From Kick Off,Javier López Rodríguez,6791.0,Right Back,2,Espanyol,214,"['7c1c7421-23a7-42ab-8e06-6177ab456a13', 'ec8e29c7-9b04-445d-95f4-7796fae013f5']",20,,,,,,,,,,,,,,,,,Espanyol,214,00:00:20.490,Pass,True
,,,,,,,,,,,,,,,,1.975712,,,,,,,,,,,,,,,9a2c55c7-f83e-4345-8dae-173af6801f05,28,,"[25.9, 74.5]",3825908,0,,,,,-2.5235884,,Right Foot,,,"[4.8, 59.5]",,Ground Pass,25.888414,,,,,Pau López Sabata,6792.0,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['00620749-5940-4524-9ff0-28723721b967', '83d372b9-d211-42c1-bd49-555ba017ec63']",22,,,,,,,,,,,,,,,,,Espanyol,214,00:00:22.382,Pass,True
,,,,,,,,,,,,,,,,2.220665,,,,,,,,,,,,,,,eace0c5c-5e3f-47a0-b776-7bc3baf5758a,31,,"[4.8, 59.5]",3825908,0,,,,,1.0897423,,Right Foot,,,"[15.5, 80.0]",,Ground Pass,23.124447,,,Out,,,,,,,,,1,From Kick Off,Pau López Sabata,6792.0,Goalkeeper,2,Espanyol,214,,24,,,,,,,,,,,,,,,,,Espanyol,214,00:00:24.417,Pass,
,,,,,,,,,,,,,,,,1.037618,,,,,,,,,,,,,,,b0c0de35-b2df-4b9f-8a33-57dd4f05ea4c,32,,"[104.6, 0.1]",3825908,0,,,,,0.6602282,,,,,"[113.1, 6.7]",,Low Pass,10.761505,,,,,Borja González Tomás,6566.0,,,,,Throw-in,1,From Throw In,David Juncà Reñé,6776.0,Left Back,3,Eibar,322,['11290107-8791-4f75-9282-fdf0c457a675'],40,,,,,,,,,,,,,,,,,Eibar,322,00:00:40.811,Pass,
,,,,,,,,,,,,,,,,0.009182,,,,,,,,,,,,,,,503f870f-46c7-4e92-92c1-4882e802a918,36,,"[113.6, 2.6]",3825908,0,,,,,-2.9945142,,Right Foot,,,"[110.9, 2.2]",,Low Pass,2.7294688,,,Incomplete,,,,,,,,,1,From Throw In,Borja González Tomás,6566.0,Left Center Forward,3,Eibar,322,"['a506d662-bc46-4163-a2a6-31a538dd783a', 'b4058622-0d15-4f80-a957-819d46135fca']",43,,,,,,,,,,,,,,,,,Eibar,322,00:00:43.724,Pass,True
,,,,,,,,,,,,,,,,1.257682,,,,,,,,,,,,,,,fe163dcb-0d8d-4bce-ac2a-fc2307623bc7,41,,"[113.1, 4.0]",3825908,0,,,,,1.469693,,Right Foot,True,,"[115.9, 31.6]",,High Pass,27.741665,,,Incomplete,,Sergio Enrich Ametller,6700.0,,,,,,1,From Throw In,Borja González Tomás,6566.0,Left Center Forward,3,Eibar,322,"['24ecb87a-0ff6-4930-a921-61dea3ebea18', '51e4659f-d6e2-4ef8-8be4-01b63d9e5c10', 'dbf4704d-abe9-40ca-b869-50671cc5d903']",46,,,,,,,,,,,,,,,,,Eibar,322,00:00:46.316,Pass,True
,,,,,,,,,,,,,,,,0.677742,,,,,,,,,,,,,,,0d46e839-b12a-4c24-b414-4df7b72783e9,47,,"[19.3, 42.5]",3825908,0,,,,,-1.4352686,,Right Foot,,,"[19.6, 40.3]",,Low Pass,2.2203603,,,,,Enzo Pablo Roco Roco,16456.0,,,,,Recovery,1,Regular Play,Papa Kouly Diop,6867.0,Left Center Midfield,4,Espanyol,214,"['2ba2485e-ccec-4cdc-85f0-c23bd3221232', '9b4bae7a-fadb-4d4a-a4e4-870dcc99c8c3']",50,,,,,,,,,,,,,,,,,Espanyol,214,00:00:50.148,Pass,True
