ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c34aa9e8-8bdb-42cc-863b-51360b27fe0d,1,,,3825703,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3dadc347-f355-497a-b67f-20a669428cf4,2,,,3825703,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 27123, 'name': 'Jordi Xumetra Feliu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 27250, 'name': 'Nabil Ghilas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d8d0aa15-a2c9-4d92-beed-4f190558f288,3,,,3825703,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['0a1a75db-3806-42d2-b189-85054fe06a97'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0a1a75db-3806-42d2-b189-85054fe06a97,4,,,3825703,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['d8d0aa15-a2c9-4d92-beed-4f190558f288'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,81517a94-6fd5-4dd5-97a3-794b06654f15,1675,,,3825703,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Levante UD,221,['0160aa5f-8f94-47eb-8249-9797b65f6682'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0160aa5f-8f94-47eb-8249-9797b65f6682,1676,,,3825703,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Levante UD,221,['81517a94-6fd5-4dd5-97a3-794b06654f15'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.600652,,,,,,,,,,,,300c30c1-d385-47f7-b851-f8f2068bfb43,5,,"[60.0, 40.0]",3825703,0,,True,,,1.6332152,,Right Foot,,,"[59.9, 41.6]",,Ground Pass,,1.603122,,,,,Raúl García Escudero,6391.0,,,,,Kick Off,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,2,Athletic Club,215,['67b3c20c-6540-425e-8177-078e9890340e'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.033,Pass,
,,,,,,,,,,,,,,,1.635356,,,,,,,,,,,,d22b5318-54b4-477d-b1ed-32644a5ba28e,7,,"[59.4, 41.6]",3825703,0,,True,,,-2.896614,,Right Foot,,,"[36.2, 35.8]",,Ground Pass,,23.914013,,,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Raúl García Escudero,6391.0,Center Attacking Midfield,2,Athletic Club,215,['6a676d92-9b84-4992-92f5-3c93d12bc987'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.662,Pass,
,,,,,,,,,,,,,,,2.402781,,,,,,,,,,,,3bf36a00-79c7-41e7-9c5c-a86f372f4287,9,,"[38.7, 36.8]",3825703,0,,,,,1.1093735,,Left Foot,,,"[56.6, 72.8]",,Ground Pass,,40.2046,,,,,Óscar de Marcos Arana,6649.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['4c5e9e1b-ab05-4981-8ab3-918fa9abf39e'],6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.203,Pass,
,,,,,,,,,,,,,,,0.873823,,,,,,,,,,,,261a59d3-dee5-438b-a993-de8c79af5ccd,12,,"[56.6, 72.1]",3825703,0,,,,,0.32606086,,Right Foot,,,"[70.5, 76.8]",,Ground Pass,,14.673104,,,,,Iñaki Williams Arthuer,6393.0,,,,,,1,From Kick Off,Óscar de Marcos Arana,6649.0,Right Back,2,Athletic Club,215,['183876b0-6f81-4559-9598-5c9045053e49'],9,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:09.540,Pass,
