ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,378a02bc-b46d-493f-94ae-89bc9b777967,1,,,3825807,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d8ed9063-7482-444a-be88-2778fe17c168,2,,,3825807,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18904, 'name': 'Claudio Matías Kranevitter'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7cc20a12-e7f6-460a-95ff-e2d108c3550b,3,,,3825807,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['0b8ae788-ede4-4e11-87e3-6ade43bfaf50'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b8ae788-ede4-4e11-87e3-6ade43bfaf50,4,,,3825807,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['7cc20a12-e7f6-460a-95ff-e2d108c3550b'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d1838bdf-7373-4e3d-b1f0-8f8f21ec3acc,1907,,,3825807,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Atlético Madrid,212,['a509142a-2cb6-42f3-91eb-a51886bd87cd'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a509142a-2cb6-42f3-91eb-a51886bd87cd,1908,,,3825807,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Atlético Madrid,212,['d1838bdf-7373-4e3d-b1f0-8f8f21ec3acc'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,9530fdfd-c55a-4062-8af6-3d0acfecdf7d,5,,"[60.0, 40.0]",3825807,0,,True,,,-0.7853982,,Right Foot,,,,"[60.1, 39.9]",,Ground Pass,,0.14142136,,,,Francisco Alcácer García,6402.0,,,,,Kick Off,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Left Center Midfield,2,Valencia,207,['8eed87fb-6e2c-4f0a-965a-d6ec7759e10e'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.200,Pass,
,,,,,,,,,,,,,,,,,,,3.08,,,,,,,,,,,,,,288b951e-66b5-4175-9034-d54ba91507bc,7,,"[59.3, 40.0]",3825807,0,,,,,2.9293892,,Right Foot,,,,"[34.7, 45.3]",,Ground Pass,,25.16446,,,,Shkodran Mustafi,3638.0,,,,,,1,From Kick Off,Francisco Alcácer García,6402.0,Center Forward,2,Valencia,207,['78273e83-2bda-46da-bfd6-2a7172ec6605'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.709,Pass,
,,,,,,,,,,,,,,,,,,,3.104413,,,,,,,,,,,,,,72c01800-192e-4509-b3b8-a6f0b4c64619,10,,"[34.5, 48.3]",3825807,0,,,,,-0.23627925,,Right Foot,,,,"[86.0, 35.9]",,High Pass,,52.971786,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Kick Off,Shkodran Mustafi,3638.0,Right Center Back,2,Valencia,207,['281ac510-beab-46d0-82e6-bfe10fb4b91c'],4,,,,,,,,,,,,,,,,,,Valencia,207,00:00:04.789,Pass,
,,,,,,,,,,,,,,,,,,,0.748494,,,,,,,,,,,,,,0c7b14b0-00d8-45a3-8b41-a40f4b592fda,15,,"[92.5, 51.7]",3825807,0,,,,,1.8643854,9cb82d28-fbc1-44ad-89f1-e1005f5e081b,Head,,,,"[89.9, 60.3]",,Low Pass,,8.984431,,,,Sofiane Feghouli,18724.0,True,,,,Recovery,1,From Kick Off,Francisco Alcácer García,6402.0,Center Forward,2,Valencia,207,"['1c1209c5-dbe8-4581-beeb-415eb1e6c5d3', 'f1bd4a17-c0c4-45f0-a1aa-c80313f9e5f1']",9,,,,,,,,,,,,,,,,,,Valencia,207,00:00:09.505,Pass,True
