50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.388833,,,,,,,,,,,,,72496900-3aa7-4fe3-a76e-8de7fa9c432a,17,,,"[15.3, 23.9]",3825895,0,,True,,,-0.08622383,,Right Foot,,"[82.4, 18.1]",,High Pass,,67.350204,,,Jonathan Viera Ramos,10755.0,,,,,,Free Kick,1,From Free Kick,Javier Varas Herrera,26753.0,Goalkeeper,3,Las Palmas,208,['2b21d99f-7a5a-4fdb-94a7-01817473afbb'],42,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:42.511,Pass,
,,,,,,,,,,,,,,,,0.570362,,,,,,,,,,,,,8e75d6fd-d472-46b6-8b91-156f64cad4c8,20,,,"[82.4, 18.1]",3825895,0,,,,True,1.1396576,13196ba1-e6db-49e7-84d8-659d6f0b8ff2,,,"[84.7, 23.1]",,Low Pass,,5.503635,,,Sergio Ezequiel Araújo,8167.0,True,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Right Center Forward,3,Las Palmas,208,"['40c78203-cdb3-4db0-9b23-ee436d3689a3', '99d3a7aa-3e56-47e1-b6d9-e5cc3341e4da']",44,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:44.947,Pass,True
,,,,,,,,,,,,,,,,3.580865,,,,,,,,,,,,,b34c0dac-ba7d-4d62-bc53-8555dcbb054c,26,,,"[13.4, 51.5]",3825895,0,,,,,0.133587,,Drop Kick,,"[64.0, 58.3]",,High Pass,,51.05487,,Incomplete,Vicente Iborra De La Fuente,3497.0,,,,,,,1,From Keeper,Sergio Rico González,6823.0,Goalkeeper,4,Sevilla,213,"['698ff5f4-7766-4b1f-a601-e174027fe3ec', 'fe005cfd-6c2f-498e-b5cd-c8a37d96dbb0']",55,,,,,,,,,,,,,,,,,Sevilla,213,00:00:55.978,Pass,
,,,,,,,,,,,,,,,,1.805502,,,,,,,,,,,,,698ff5f4-7766-4b1f-a601-e174027fe3ec,29,,,"[56.1, 21.8]",3825895,0,,,,True,-2.6127112,,,,"[40.7, 12.8]",,Low Pass,,17.83704,,,Pedro Bigas Rigo,7907.0,,,,,,Recovery,1,From Keeper,Dani Castellano Betancor,6932.0,Left Wing Back,5,Las Palmas,208,"['01f0e70b-aa74-4c04-b1f4-376b8fd23743', 'b34c0dac-ba7d-4d62-bc53-8555dcbb054c', 'd9bf58e4-cbe3-4973-adac-100872cd69c5']",59,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:59.559,Pass,True
,,,,,,,,,,,,,,,,1.200072,,,,,,,,,,,,,ad49470e-090f-4288-a181-6b887f56633d,33,,,"[41.0, 5.3]",3825895,1,,,,,0.0,,Left Foot,,"[59.7, 5.3]",,Ground Pass,,18.7,,,Mubarak Wakaso,6626.0,,,,,,,1,From Keeper,Pedro Bigas Rigo,7907.0,Left Center Back,5,Las Palmas,208,"['03cb46eb-2836-42ab-b848-9e5868fba1a5', 'f1c7fa6f-223a-457d-bf49-b218bc09bf11']",1,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:01.569,Pass,True
,,,,,,,,,,,,,,,,2.730641,,,,,,,,,,,,,eeb1fbbb-81f8-45a3-a48f-8aaa8a45a1ce,39,,,"[55.6, 3.0]",3825895,1,,,,,0.04277545,,Left Foot,,"[81.3, 4.1]",,High Pass,,25.72353,,Incomplete,Sergio Ezequiel Araújo,8167.0,,,,,,Recovery,1,From Keeper,Dani Castellano Betancor,6932.0,Left Wing Back,5,Las Palmas,208,"['69e52c1f-ec9c-446b-afb9-289d7efe961d', 'a53b9473-bf50-464c-88e0-82d45c9a268e']",3,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:03.426,Pass,
,,,,,,,,,,,,,,,,3.525466,,,,,,,,,,,,,c2c10afb-5185-46e7-8a29-fbb8d08b49c2,47,,,"[7.0, 44.1]",3825895,1,,,,,-0.027770637,,Right Foot,,"[71.8, 42.3]",,High Pass,,64.825,,Incomplete,Fernando Llorente Torres,3486.0,,,,,,Goal Kick,1,From Goal Kick,Sergio Rico González,6823.0,Goalkeeper,6,Sevilla,213,"['493d4c9b-9b57-4fed-afe0-a6982706e16f', '601cca05-aa8f-43cc-8357-91437713bfc0']",36,,,,,,,,,,,,,,,,,Sevilla,213,00:01:36.401,Pass,
,,,,,,,,,,,,,,,,1.1951,,,,,,,,,,,,,493d4c9b-9b57-4fed-afe0-a6982706e16f,50,,,"[48.3, 37.8]",3825895,1,,,,True,0.3615777,,,,"[63.9, 43.7]",,High Pass,,16.678429,,,Roque Mesa Quevedo,3610.0,,,,,,Recovery,1,From Counter,Antolín Alcáraz Viveros,27522.0,Right Center Back,7,Las Palmas,208,"['93f1af5e-1b7f-4a48-a49b-aebe7c4d8d8d', 'c2c10afb-5185-46e7-8a29-fbb8d08b49c2', 'ccb6be06-8251-431f-8a49-3292c690320a']",39,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:39.926,Pass,True
,,,,,,,,,,,,,,,,3.300159,,,,,,,,,,,,,22ac932d-7963-46e5-a43d-4d191a632e14,63,,,"[19.5, 19.6]",3825895,2,,,,,-0.75299054,,Right Foot,,"[40.2, 0.2]",,Ground Pass,,28.369879,,Out,Michael Krohn-Dehli,6356.0,,,,,,Recovery,1,From Free Kick,Benoît Trémoulinas,27483.0,Left Back,8,Las Palmas,208,['22b0fccd-7622-4464-9dd6-0b4fc0901e22'],23,,,,,,,,,,,,,,,,,Sevilla,213,00:02:23.157,Pass,
,,,,,,,,,,,,,,,,0.989698,,,,,,,,,,,,,cd90d410-4b34-4a97-85d4-150945162e29,66,,,"[79.3, 80.0]",3825895,2,,,,,-1.4270576,,,,"[81.5, 64.8]",,Low Pass,,15.358385,,,Hernán Daniel Santana Trujillo,15805.0,,,,,,Throw-in,1,From Throw In,Jonathan Viera Ramos,10755.0,Right Center Forward,9,Las Palmas,208,['698acc95-2490-424f-b510-07f66dac4352'],28,,,,,,,,,,,,,,,,,Las Palmas,208,00:02:28.954,Pass,
,,,,,,,,,,,,,,,,0.627611,,,,,,,,,,,,,3661138e-83f7-4230-96df-e365ca39aea9,69,,,"[81.5, 64.8]",3825895,2,,,,,1.0364008,,Right Foot,,"[87.3, 74.6]",,Ground Pass,,11.3877125,,,Roque Mesa Quevedo,3610.0,,,,,,,1,From Throw In,Hernán Daniel Santana Trujillo,15805.0,Center Defensive Midfield,9,Las Palmas,208,['98075389-26d1-45d0-a4fb-738551f831c5'],31,,,,,,,,,,,,,,,,,Las Palmas,208,00:02:31.012,Pass,
,,,,,,,,,,,,,,,,0.800922,,,,,,,,,,,,,149bca36-531c-4f16-846a-59b62aab01d8,73,,,"[88.9, 74.4]",3825895,2,,,,,-1.4770548,,Right Foot,,"[90.0, 62.7]",,Ground Pass,,11.7515955,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Throw In,Roque Mesa Quevedo,3610.0,Right Center Midfield,9,Las Palmas,208,"['49cb55f4-0f94-47f3-87b8-9ce1a5602f21', '4e2077c3-10f3-4e64-ad20-a167d2d32a47']",32,,,,,,,,,,,,,,,,,Las Palmas,208,00:02:32.094,Pass,True
