bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b02879b3-526d-4161-bd61-2902e8c1478e,1,,,,3825619,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 23970, 'name': 'José María Martín-Bejarano Serrano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e8ba34e7-8123-4ba1-b630-ba727bc36eff,2,,,,3825619,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27155, 'name': 'Bojan Jokić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 6737, 'name': 'Alfonso Pedraza Sag'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 6783, 'name': 'Samuel García Sánchez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,db5563a3-3fb9-4385-a472-a040f1be2f7e,3,,,,3825619,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['23c83093-0014-4b5d-ad78-5237dd46682b'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23c83093-0014-4b5d-ad78-5237dd46682b,4,,,,3825619,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['db5563a3-3fb9-4385-a472-a040f1be2f7e'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a6eaffce-fe58-4441-8cfa-bf06686159c2,1595,,,,3825619,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,88,Levante UD,221,['d29eadf0-7c40-4c48-b86e-da9d6721219e'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d29eadf0-7c40-4c48-b86e-da9d6721219e,1596,,,,3825619,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,88,Levante UD,221,['a6eaffce-fe58-4441-8cfa-bf06686159c2'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.276384,,,,,,,,,,,,,,9e821e3a-b1a1-45d5-8314-e4dc39baf5f0,5,,,"[61.0, 40.1]",3825619,0,,,,1.8753072,,Right Foot,,,"[59.9, 43.6]",,Ground Pass,,3.6687872,,,,Roberto Soldado Rillo,26009.0,,,,,Kick Off,1,From Kick Off,Samuel García Sánchez,6783.0,Right Center Forward,2,Villarreal,222,['f86f41a7-2ce7-431c-b6b9-6dda9c04d4f1'],1,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.746,Pass,
,,,,,,,,,,,,,,,,1.275018,,,,,,,,,,,,,,a28e6c7b-470f-403f-b920-1ba98ae310ce,8,,,"[57.2, 41.0]",3825619,0,,,,2.5396295,,Right Foot,,,"[44.1, 50.0]",,Ground Pass,,15.893709,,,,Manuel Trigueros Muñoz,6771.0,,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Left Center Forward,2,Villarreal,222,['6e6d8fb0-bded-415f-a8c0-a1da8611a049'],2,,,,,,,,,,,,,,,,,Villarreal,222,00:00:02.957,Pass,
,,,,,,,,,,,,,,,,1.559247,,,,,,,,,,,,,,380a554a-a0a5-465e-a6fe-b76a95e8d52a,11,,,"[45.4, 52.1]",3825619,0,,,,1.315926,,Right Foot,,,"[52.2, 78.2]",,Ground Pass,,26.971281,,,,Matías Nahuel Leiva Esquivel,18867.0,,,,,,1,From Kick Off,Manuel Trigueros Muñoz,6771.0,Right Defensive Midfield,2,Villarreal,222,['c6231e0e-4eb1-41d3-8ba8-7b436984e8b7'],5,,,,,,,,,,,,,,,,,Villarreal,222,00:00:05.325,Pass,
,,,,,,,,,,,,,,,,2.218585,,,,,,,,,,,,,,1c00ed3e-cb2a-4a31-9808-6d1e06437e3d,14,,,"[62.1, 76.5]",3825619,0,,,,-2.4835799,,Right Foot,,,"[39.2, 58.8]",,Ground Pass,,28.943048,,,,Eric Bertrand Bailly,3324.0,,,,,,1,From Kick Off,Matías Nahuel Leiva Esquivel,18867.0,Right Midfield,2,Villarreal,222,['e85578c8-3b14-420e-adb8-30a6925a6f17'],10,,,,,,,,,,,,,,,,,Villarreal,222,00:00:10.997,Pass,
