bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.088008,,,,,,,,,,,,,dc4c11ed-c42a-4ec0-993b-9e90994e2edb,14,,"[41.8, 65.1]",3825690,0,,,,,0.5667292,,Head,,,,"[56.1, 74.2]",,High Pass,,16.949926,,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Cristiano Piccini,11634.0,Right Back,2,Las Palmas,208,['41d2911b-5a9a-4cf7-92e8-7a624b1cb1cc'],12,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:12.038,Pass,
,,,,,,,,,,,,,,,,,1.012346,,,,,,,,,,,,,41d2911b-5a9a-4cf7-92e8-7a624b1cb1cc,15,,"[64.0, 5.9]",3825690,0,,,,,-0.3274002,,Head,,,,"[69.3, 4.1]",,Low Pass,,5.5973206,,,,,Jonathan Viera Ramos,10755.0,,,,,Recovery,1,From Kick Off,Dani Castellano Betancor,6932.0,Left Back,2,Las Palmas,208,"['b6221937-594c-4d67-8614-5339c6604b93', 'dc4c11ed-c42a-4ec0-993b-9e90994e2edb']",14,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:14.126,Pass,
,,,,,,,,,,,,,,,,,1.499956,,,,,,,,,,,,,a7349580-9cdc-4f97-a48c-ae7682366a19,18,,"[70.0, 4.4]",3825690,0,,,,True,0.6383198,,,,,,"[76.2, 9.0]",,Low Pass,,7.7201037,,,,,Sergio Ezequiel Araújo,8167.0,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Midfield,2,Las Palmas,208,"['014321ae-e19f-4127-a60a-95106da9167b', '3fef617e-e06f-48c9-bd0f-9b3d71d8c9c5']",15,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:15.138,Pass,True
,,,,,,,,,,,,,,,,,0.773981,,,,,,,,,,,,,33f54e27-67e3-420d-8d29-61619af439c2,24,,"[40.7, 69.6]",3825690,0,,,,,0.16725394,,Right Foot,,,,"[56.1, 72.2]",,High Pass,,15.617938,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,Recovery,1,Regular Play,Cristiano Piccini,11634.0,Right Back,3,Real Betis,218,['2962a58c-4f6f-4b2a-a9ae-3dafe1738fc4'],21,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:21.451,Pass,
,,,,,,,,,,,,,,,,,1.097497,,,,,,,,,,,,,f145a105-d650-4bae-b4c3-0cb616f4ea50,27,,"[58.6, 72.0]",3825690,0,,,,,-2.6897788,,Right Foot,,,,"[51.8, 68.7]",,Ground Pass,,7.558439,,,,,Xavier Torres Buigues,24162.0,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Right Midfield,3,Real Betis,218,['be4c7aad-ad2c-4341-aad1-77e2a14d56a2'],22,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:22.488,Pass,
,,,,,,,,,,,,,,,,,0.809756,,,,,,,,,,,,,cdb67df5-caa7-45e4-83a9-224b8eb77126,33,,"[65.5, 9.0]",3825690,0,,,,,-1.276927,,Left Foot,,,,"[67.8, 1.4]",,Ground Pass,,7.940403,,,,,Jonathan Viera Ramos,10755.0,,,,,Recovery,1,Regular Play,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,3,Real Betis,218,['00fd7dc9-35dc-4c07-8d61-dbaf751b2782'],25,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:25.535,Pass,
,,,,,,,,,,,,,,,,,1.84236,,,,,,,,,,,,,10cd2ba6-f7c2-449a-bc98-aa2641c6a694,42,,"[17.4, 61.1]",3825690,0,,,,,-0.6261367,,Left Foot,,,,"[28.6, 53.0]",,Ground Pass,,13.822083,,,Incomplete,,,,,,,,,1,Regular Play,Cristiano Piccini,11634.0,Right Back,3,Real Betis,218,['b2b65549-5bd4-448e-9dcf-8f5e7175bf9a'],33,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:33.538,Pass,
,,,,,,,,,,,,,,,,,2.699189,,,,,,,,,,,,,ba908a09-dbba-4a50-9b00-9a5b9ee716df,46,,"[3.8, 39.6]",3825690,0,,True,,,-0.22646226,,Left Foot,,,,"[90.6, 19.6]",,High Pass,,89.07435,,,,,Jorge Molina Vidal,6630.0,,,,,,1,From Keeper,Antonio Adán Garrido,6654.0,Goalkeeper,4,Real Betis,218,['d6cfe089-27b5-48b5-a2bf-11414eebff47'],58,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:58.555,Pass,
,,,,,,,,,,,,,,,,,2.846791,,,,,,,,,,,,,911b1a02-c930-4327-a467-b4cb0328b9df,48,,"[90.4, 18.6]",3825690,1,,,,True,0.6857295,,,,,,"[106.9, 32.1]",,High Pass,,21.319006,,,Incomplete,,,,,,,,,1,Regular Play,Jorge Molina Vidal,6630.0,Right Center Forward,5,Real Betis,218,"['6d69b49b-2d45-4422-9084-b522ce06105b', 'a3404e3c-5dbe-49be-b440-cf400b5e8530']",1,,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:01.516,Pass,True
,,,,,,,,,,,,,,,,,1.067386,,,,,,,,,,,,,29a3f356-c980-48cd-b06a-edd01ed6192d,52,,"[14.6, 44.9]",3825690,1,,,,,-1.1913482,,Keeper Arm,,,,"[21.1, 28.6]",,Ground Pass,,17.54822,,,,,Javier Garrido Behovide,26448.0,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,6,Las Palmas,208,['12ebd1aa-66ca-4dcf-8774-f551f179acc4'],5,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:05.852,Pass,
,,,,,,,,,,,,,,,,,3.256262,,,,,,,,,,,,,13f11a81-1d87-47c9-bd58-3e7042d2673e,55,,"[21.9, 27.6]",3825690,1,,,,,2.3371491,,Left Foot,,,,"[11.6, 38.3]",,Ground Pass,,14.851936,,,,,Javier Varas Herrera,26753.0,,,,,,1,Regular Play,Javier Garrido Behovide,26448.0,Left Center Back,6,Las Palmas,208,['f4de0580-eb95-4e0e-865c-a53a9920526a'],8,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:08.210,Pass,
,,,,,,,,,,,,,,,,,3.513915,,,,,,,,,,,,,1a38e13b-f37c-42ed-adf3-1853877947f3,58,,"[10.4, 47.0]",3825690,1,,,,,0.14485562,,Right Foot,,,,"[57.7, 53.9]",,High Pass,,47.80063,,,Incomplete,,,,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,6,Las Palmas,208,"['362e019c-3583-4435-8085-dd5196f278f4', '3894d32c-8cbe-4b6d-a6de-d76d0e56b53e']",11,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:11.466,Pass,True
,,,,,,,,,,,,,,,,,1.209711,,,,,,,,,,,,,362e019c-3583-4435-8085-dd5196f278f4,60,,"[62.4, 26.2]",3825690,1,,,,True,0.09368468,,,,,,"[77.3, 27.6]",,High Pass,,14.965628,,,Incomplete,,,,,,,,Recovery,1,Regular Play,Jordi Figueras Montel,26801.0,Left Center Back,6,Las Palmas,208,"['1a38e13b-f37c-42ed-adf3-1853877947f3', 'd5639636-d0ed-4a91-94f9-ba67259969ef', 'f4b22762-dd10-45b1-ac81-f35580d6fe79']",14,,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:14.980,Pass,True
