bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22be518a-bd58-4ba6-a07a-1a6c7ab6f611,1,,,3825859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7730fb1-a5cb-4123-8a81-8d55a2590dd1,2,,,3825859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7905, 'name': 'Raúl Lizoáin Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,710e8a77-198b-40f8-aebe-93cb37613177,3,,,3825859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['0a46df78-ee33-4a22-9b57-716e65b8e6d4'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a46df78-ee33-4a22-9b57-716e65b8e6d4,4,,,3825859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['710e8a77-198b-40f8-aebe-93cb37613177'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7be0a9a-a54e-4d45-a841-1bb1f5782eab,1718,,,3825859,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Las Palmas,208,['db396ab6-2b4c-4375-9bba-8fd3f4f3bb73'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db396ab6-2b4c-4375-9bba-8fd3f4f3bb73,1719,,,3825859,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Las Palmas,208,['e7be0a9a-a54e-4d45-a841-1bb1f5782eab'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.772392,,,,,,,,,,,,,f6ff4d16-9617-47eb-8851-e0698ff82cf3,5,,"[60.0, 40.0]",3825859,0,,True,,,-1.5707964,,Right Foot,,,"[60.0, 38.1]",,Ground Pass,,1.9,,,Jonathan Viera Ramos,10755.0,,,,,,Kick Off,1,From Kick Off,Sergio Ezequiel Araújo,8167.0,Center Forward,2,Las Palmas,208,['9f1d554f-7ae7-4b29-8cda-adfc0b98e9c6'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.736,Pass,
,,,,,,,,,,,,,,,,0.612421,,,,,,,,,,,,,936d5b76-c353-4dca-995a-20fa8a5ba3c7,7,,"[60.0, 39.8]",3825859,0,,,,,-3.0035865,,Right Foot,,,"[52.8, 38.8]",,Ground Pass,,7.2691126,,,Roque Mesa Quevedo,3610.0,,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Center Attacking Midfield,2,Las Palmas,208,['498c7439-86c9-4261-88ad-c6e55ab68552'],1,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.728,Pass,
,,,,,,,,,,,,,,,,1.531683,,,,,,,,,,,,,e99a9797-dbf1-4f84-a6ac-9c7352baaa04,11,,"[53.0, 35.7]",3825859,0,,,,,-1.9044985,,Right Foot,,,"[42.6, 5.7]",,Ground Pass,,31.751535,,,Javier Garrido Behovide,26448.0,,,,,,,1,From Kick Off,Roque Mesa Quevedo,3610.0,Right Defensive Midfield,2,Las Palmas,208,"['20bc8ccc-7b3f-430e-ab9e-85b7013f3582', '7c2e9d62-18d1-4ab9-ad45-c5961b5b8f6f']",4,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:04.001,Pass,True
,,,,,,,,,,,,,,,,0.886576,,,,,,,,,,,,,cbed2559-ceac-48a8-915a-bc017255f0c6,14,,"[42.6, 5.7]",3825859,0,,,,,-0.08865588,,Left Foot,,,"[56.1, 4.5]",,Ground Pass,,13.553228,,,Mubarak Wakaso,6626.0,,,,,,,1,From Kick Off,Javier Garrido Behovide,26448.0,Left Back,2,Las Palmas,208,['2061725d-abc5-4a67-b788-4029ad90aaac'],5,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:05.929,Pass,
