bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.12584,,,,,,,,,,,,,58005077-ce09-410b-a70f-cdaf40fd608b,1745,,"[57.1, 74.5]",3825811,46,,,,,-0.23684876,,Right Foot,,,,"[77.4, 69.6]",,Ground Pass,,20.883007,,Incomplete,,Adrián Embarba Blázquez,11539.0,,,,,,,2,Regular Play,Roberto Román Triguero,6914.0,Right Back,98,Rayo Vallecano,360,"['b1d0783c-12ae-4e91-a173-fe137d582460', 'b38b18da-2bae-4429-9793-74f710d5e6f7']",6,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:06.099,Pass,
,,,,,,,,,,,,,,,,,,0.756303,,,,,,,,,,,,,7a6e98c6-a585-4733-b459-60ee83a6691c,1750,,"[46.0, 10.8]",3825811,46,,,,,0.79086256,,Left Foot,,,,"[55.1, 20.0]",,Ground Pass,,12.940248,,,,Abraham González Casanova,27148.0,,,,,,,2,Regular Play,Óscar Esau Duarte Gaitán,5598.0,Left Center Back,99,Espanyol,214,['2f082d7e-05d2-41b7-9a27-3c6abbb65f27'],7,,,,,,,,,,,,,,,Espanyol,214,00:01:07.827,Pass,
,,,,,,,,,,,,,,,,,,1.527137,,,,,,,,,,,,,3c25a9ed-37b4-4993-91ad-a3f86e9780bc,1754,,"[55.1, 18.2]",3825811,46,,,,,1.9954566,,Right Foot,,,,"[49.9, 29.7]",,Ground Pass,,12.621015,,,,Papa Kouly Diop,6867.0,,,,,,,2,Regular Play,Abraham González Casanova,27148.0,Left Center Midfield,99,Espanyol,214,"['c9d6fa1b-a264-445a-bbf5-717a8e5cc3d5', 'f751590d-2e34-4d5c-abf9-6f84564d15d2']",9,,,,,,,,,,,,,,,Espanyol,214,00:01:09.471,Pass,True
,,,,,,,,,,,,,,,,,,0.293314,,,,,,,,,,,,,9e9b089c-b427-487d-bc81-27a35896eeab,1757,,"[50.1, 29.7]",3825811,46,,,,,2.6527402,,Right Foot,,,,"[45.4, 32.2]",,Ground Pass,,5.3235326,,Incomplete,,Álvaro González Soberón,6762.0,,,,,,,2,Regular Play,Papa Kouly Diop,6867.0,Center Defensive Midfield,99,Espanyol,214,"['1569843e-6598-4c62-af38-6c76da722066', '65cca5c2-8618-436f-924d-b52697f71cf7']",11,,,,,,,,,,,,,,,Espanyol,214,00:01:11.078,Pass,
,,,,,,,,,,,,,,,,,,3.611868,,,,,,,,,,,,,97f9ba6f-82a5-410c-8455-8ba5758a279e,1761,,"[42.7, 18.2]",3825811,46,,,,,2.8994508,,Right Foot,,,,"[26.1, 22.3]",,Low Pass,,17.098831,,,,Óscar Esau Duarte Gaitán,5598.0,,,,,,Recovery,2,Regular Play,Abraham González Casanova,27148.0,Left Center Midfield,99,Espanyol,214,['988faec2-51aa-4d5a-9744-b82e5fa2e49f'],13,,,,,,,,,,,,,,,Espanyol,214,00:01:13.537,Pass,
,,,,,,,,,,,,,,,,,,1.556799,,,,,,,,,,,,,043e28f2-b913-4a53-b7f8-8fb5cb8e1ecf,1765,,"[7.2, 12.6]",3825811,46,,,,,1.6872264,,Right Foot,,,,"[5.2, 29.7]",,Ground Pass,,17.216562,,,,Pau López Sabata,6792.0,,,,,,,2,Regular Play,Óscar Esau Duarte Gaitán,5598.0,Left Center Back,99,Espanyol,214,"['71e20518-4bff-42a5-9f35-ce3a1689c309', 'c07fceeb-cfb9-4116-afd8-f8a84ee7c56b']",17,,,,,,,,,,,,,,,Espanyol,214,00:01:17.663,Pass,True
,,,,,,,,,,,,,,,,,,3.942721,,,,,,,,,,,,,8922fabb-438f-412e-b616-7eb183b1e080,1769,,"[5.8, 29.1]",3825811,46,,,,,-0.41228643,,Left Foot,,,,"[48.1, 10.6]",,High Pass,,46.168606,,,,Jorge Franco Alviz,6624.0,,,,,,,2,Regular Play,Pau López Sabata,6792.0,Goalkeeper,99,Espanyol,214,['c803c42e-3c72-4ba3-a8fd-4393e163cf5b'],19,,,,,,,,,,,,,,,Espanyol,214,00:01:19.300,Pass,
,,,,,,,,,,,,,,,,,,1.832004,,,,,,,,,,,,,c88d6a62-9b91-425b-b0e5-509e354515d6,1776,,"[78.8, 69.5]",3825811,46,,,,,-2.4235084,,Right Foot,,,,"[69.3, 61.2]",,Ground Pass,,12.61507,,,,José Raúl Baena Urdiales,26607.0,,,,,,Recovery,2,Regular Play,Adrián Embarba Blázquez,11539.0,Left Wing,100,Rayo Vallecano,360,['16ec37b2-bfd5-42a2-8999-a4c2dca2dfb3'],24,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:24.276,Pass,
,,,,,,,,,,,,,,,,,,0.664482,,,,,,,,,,,,,881bd7b6-7763-4461-b851-b5cafed11789,1779,,"[69.3, 61.2]",3825811,46,,,,,1.8377714,,Right Foot,,,,"[66.1, 72.9]",,Ground Pass,,12.129716,,,,Roberto Román Triguero,6914.0,,,,,,,2,Regular Play,José Raúl Baena Urdiales,26607.0,Left Defensive Midfield,100,Rayo Vallecano,360,['eff1ba7f-ec94-491a-8ed2-691140693572'],26,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:26.141,Pass,
,,,,,,,,,,,,,,,,,,2.072887,,,,,,,,,,,,,17cde3ca-d715-4100-b0db-b04fd2988438,1782,,"[64.6, 72.7]",3825811,46,,,,,-0.40397012,,Right Foot,,,,"[77.7, 67.1]",,Ground Pass,,14.246754,,Incomplete,,Adrián Embarba Blázquez,11539.0,,,,,,,2,Regular Play,Roberto Román Triguero,6914.0,Right Back,100,Rayo Vallecano,360,"['2e929644-7c2d-48f5-b8a3-01366be07e1d', '60662f51-0dda-459a-944c-1671203ac15b', 'a285450a-2fe8-488d-b325-a5075a26dac6']",26,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:26.805,Pass,True
