bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f56fbd32-b326-431e-99dd-8c8896e8d244,1,,,,3825710,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0204ab30-223c-4e05-a708-0adc7e820221,2,,,,3825710,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8724, 'name': 'Carlos Martínez Díez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,57379a44-03c2-4bde-b063-4208abd66666,3,,,,3825710,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['f15ea0a2-59c3-4fc4-8f50-47617362df99'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f15ea0a2-59c3-4fc4-8f50-47617362df99,4,,,,3825710,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['57379a44-03c2-4bde-b063-4208abd66666'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b19651f7-e1e1-4fc8-bc3e-c9a155297a33,1799,,,,3825710,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Real Madrid,220,['1e8f642c-75a7-4545-a1d0-e39ef0197842'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1e8f642c-75a7-4545-a1d0-e39ef0197842,1800,,,,3825710,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Real Madrid,220,['b19651f7-e1e1-4fc8-bc3e-c9a155297a33'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.297032,,,,,,,,,,,,,,,24a4912b-1ec2-4cec-a2bf-4a0d965d92af,5,,,"[60.0, 40.0]",3825710,0,,,,,-1.6642731,,Right Foot,,,,"[59.7, 36.8]",,Ground Pass,,3.2140317,,,,,Karim Benzema,19677.0,,,,,,Kick Off,1,From Kick Off,James David Rodríguez Rubio,5695.0,Left Center Midfield,2,Real Madrid,220,['bf353d36-d7ba-4a82-9ae9-0940d3245fca'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.717,Pass,
,,,,,,,,,,,,,,,1.783845,,,,,,,,,,,,,,,b589819f-c1da-452d-8c3d-68ec0fca0db7,8,,,"[59.7, 36.7]",3825710,0,,,,,2.390834,,Left Foot,,,,"[38.8, 56.2]",,Ground Pass,,28.58426,,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['1a856403-c4b7-4658-925a-e12e9feb8a33'],1,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.054,Pass,
,,,,,,,,,,,,,,,0.956543,,,,,,,,,,,,,,,de5e90da-e88e-4814-bc40-bc21809db10e,11,,,"[38.8, 56.2]",3825710,0,,,,,-1.110894,,Right Foot,,,,"[44.1, 45.5]",,Ground Pass,,11.940687,,,,,Toni Kroos,5574.0,,,,,,,1,From Kick Off,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,2,Real Madrid,220,['8bdec332-5977-4adb-845d-9ad21be65a4a'],2,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.843,Pass,
,,,,,,,,,,,,,,,1.199998,,,,,,,,,,,,,,,b24b2513-85df-4b2b-b969-6406ff6f5453,15,,,"[45.5, 49.1]",3825710,0,,,,,1.8527356,,Right Foot,,,,"[41.3, 63.6]",,Ground Pass,,15.096026,,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Kick Off,Toni Kroos,5574.0,Center Defensive Midfield,2,Real Madrid,220,"['6ac63e21-6655-4e9b-abfa-7bc2677f2863', 'd4adc532-9767-4485-866b-b73fd8c99a1d']",5,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.720,Pass,True
