bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9ef51dc8-3d46-4cfa-961a-abcc4e9e3c70,1,,,3825892,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4418, 'name': 'Matheus Dória Macedo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,19c7dc65-f984-4908-ae0a-a19549c0e8a6,2,,,3825892,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6692, 'name': 'Oier Olazábal Paredes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,915b2055-02f9-4e9a-97e4-548c313031d1,3,,,3825892,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['692a124e-7546-4d81-becd-223401756c66'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,692a124e-7546-4d81-becd-223401756c66,4,,,3825892,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['915b2055-02f9-4e9a-97e4-548c313031d1'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9ff62c5b-c95e-4d5b-b852-420f4e7b9b1a,1451,,,3825892,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,115,Granada,1049,['8032275d-ca1b-4057-a49d-25edcd5bccd4'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8032275d-ca1b-4057-a49d-25edcd5bccd4,1452,,,3825892,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,115,Granada,1049,['9ff62c5b-c95e-4d5b-b852-420f4e7b9b1a'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.894078,,,,,,,,,,,,802f37e6-f5fa-41e4-876c-50a0df71873c,5,,"[60.0, 40.0]",3825892,0,,,,,-2.881303,,Right Foot,,,,"[40.1, 34.7]",,Ground Pass,20.593689,,,,,Íñigo Martínez Berridi,6665.0,,,,,Kick Off,1,From Kick Off,Imanol Agirretxe Arruti,6677.0,Center Forward,2,Real Sociedad,210,['558ea85f-2cad-4e26-a31e-9df4043389b0'],1,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.023,Pass,
,,,,,,,,,,,,,,,,3.82406,,,,,,,,,,,,6b9ff52a-d2ca-4cd7-b60b-3e3516e7d67a,8,,"[40.3, 35.2]",3825892,0,,,,,0.54239297,,Left Foot,,,,"[92.4, 66.6]",,High Pass,60.830666,,,Unknown,,Carlos Alberto Vela Garrido,5560.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Real Sociedad,210,['6ae7c9e7-1dd2-49ab-9573-1bdfa2f6351d'],2,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.980,Pass,
,,,,,,,,,,,,,,,,4.399995,,,,,,,,,,,,42ca31c6-cb73-41de-9df5-b96038eecd5a,12,,"[29.2, 26.6]",3825892,0,,True,,,1.1774385,,Right Foot,,,,"[43.6, 61.3]",,Ground Pass,37.56927,,,,,Rene Krhin,3160.0,,,,,Free Kick,1,From Free Kick,Matheus Dória Macedo,4418.0,Left Center Back,3,Granada,1049,['3e35e38b-118c-416a-9e30-a759afbd8f2e'],21,,,,,,,,,,,,,,,,,,Granada,1049,00:00:21.915,Pass,
,,,,,,,,,,,,,,,,1.18327,,,,,,,,,,,,2caa4291-394f-445a-ac9e-0f602a06083e,14,,"[42.6, 60.1]",3825892,0,,,,,3.0227523,,Right Foot,,,,"[29.2, 61.7]",,Ground Pass,13.495184,,,,,Jean-Sylvain Claude Babin,4498.0,,,,,,1,From Free Kick,Rene Krhin,3160.0,Right Defensive Midfield,3,Granada,1049,['c67d7d7a-0e9d-4ef7-b551-cfa6838275b2'],29,,,,,,,,,,,,,,,,,,Granada,1049,00:00:29.882,Pass,
