bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c33905f6-39be-407c-8296-4b6794ec3ee0,1,,,3825695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,08f104f5-789b-460e-a782-837eebfae09d,2,,,3825695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,03c118b8-94c7-41d1-9f03-b6076a87349d,3,,,3825695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['b59d655d-002f-4eb1-8b45-87e9e3008a88'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b59d655d-002f-4eb1-8b45-87e9e3008a88,4,,,3825695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['03c118b8-94c7-41d1-9f03-b6076a87349d'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0e6070c-97f6-4baa-9261-45d73bfe8f67,1884,,,3825695,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Villarreal,222,['0d52721e-2ac1-4252-b509-44a2046dc69a'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0d52721e-2ac1-4252-b509-44a2046dc69a,1885,,,3825695,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Villarreal,222,['a0e6070c-97f6-4baa-9261-45d73bfe8f67'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.546353,,,,,,,,,,,,2dbd84c4-4363-40e9-afef-d10aa807a9dd,5,,"[61.0, 40.1]",3825695,0,,,,,1.5900247,,Right Foot,,,,"[60.9, 45.3]",,Ground Pass,,5.2009616,,,,Roberto Soldado Rillo,26009.0,,,,,Kick Off,1,From Kick Off,Cédric Bakambu,6862.0,Right Center Forward,2,Villarreal,222,['3de97ccf-1fdd-438f-8caa-500824696abb'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.197,Pass,
,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,8bf3e781-1abb-439e-993a-e8ba3cf119eb,7,,"[60.6, 45.3]",3825695,0,,,,,-2.6674743,,Right Foot,,,,"[53.0, 41.4]",,Ground Pass,,8.542248,,,,Bruno Soriano Llido,22819.0,,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Left Center Forward,2,Villarreal,222,['bb4d6e35-f72a-46a3-a6ef-d7af187cc0c4'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.517,Pass,
,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,34ca6d0d-368a-43ae-a7a4-d790ddb45c10,10,,"[53.2, 39.8]",3825695,0,,,,,-1.0488647,,Left Foot,,,,"[64.3, 20.5]",,Ground Pass,,22.26432,,,,Denis Suárez Fernández,6609.0,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Defensive Midfield,2,Villarreal,222,['e9fe10b0-c287-4cdd-9a05-f64554b87b41'],4,,,,,,,,,,,,,,,,,Villarreal,222,00:00:04.057,Pass,
,,,,,,,,,,,,,,,,,0.831757,,,,,,,,,,,,97f54402-c87c-4220-8e46-7362153c9bbe,13,,"[79.8, 6.9]",3825695,0,,,,,1.0028356,,Left Foot,,,,"[86.5, 17.4]",,Ground Pass,,12.455521,,,,Cédric Bakambu,6862.0,,,,,,1,From Kick Off,Denis Suárez Fernández,6609.0,Left Midfield,2,Villarreal,222,['728f8385-b38b-41ec-86db-be7b0b528da0'],8,,,,,,,,,,,,,,,,,Villarreal,222,00:00:08.657,Pass,
