bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.955599,,,,,,,,,,,,8cd30df6-343f-4d61-91ca-ed45945886fb,854,,"[84.0, 0.1]",3825689,23,,,,,0.5623672,,,,,,"[95.9, 7.6]",,Low Pass,,14.066272,,,,Manuel Agudo Durán,6724.0,,,,,,Throw-in,1,From Throw In,Carles Planas Antolínez,7577.0,Left Back,58,Celta Vigo,209,['1b8351b5-94e2-463d-a3fb-42a4291a9574'],29,,,,,,,,,,,,,,,,,Celta Vigo,209,00:23:29.192,Pass,
,,,,,,,,,,,,,,,,1.02145,,,,,,,,,,,,67d07023-6e6a-41b7-935c-852f7b41a568,860,,"[91.6, 0.1]",3825689,23,,True,,,2.7833226,,,,,,"[69.7, 8.3]",,Low Pass,,23.384825,,,,Augusto Matías Fernández,19668.0,,,,,,Throw-in,1,From Throw In,Carles Planas Antolínez,7577.0,Left Back,59,Celta Vigo,209,['f07a231d-43e6-4bcc-9081-4e8dd659c6f1'],39,,,,,,,,,,,,,,,,,Celta Vigo,209,00:23:39.470,Pass,
,,,,,,,,,,,,,,,,1.562075,,,,,,,,,,,,d57cb667-f232-4123-8e64-5e504985a452,863,,"[66.6, 26.7]",3825689,23,,,,,1.668614,,Right Foot,,,,"[64.5, 48.1]",,Ground Pass,,21.50279,,,,Hugo Mallo Novegil,6805.0,,,,,,,1,From Throw In,Augusto Matías Fernández,19668.0,Right Defensive Midfield,59,Celta Vigo,209,['8695d67f-da93-47c2-afe1-1346eefd5fb9'],43,,,,,,,,,,,,,,,,,Celta Vigo,209,00:23:43.575,Pass,
,,,,,,,,,,,,,,,,1.004691,,,,,,,,,,,,6757666c-fa5a-4ada-bc29-c8eff05bc8c3,866,,"[62.8, 60.2]",3825689,23,,,,,0.7742255,,Right Foot,,,,"[80.9, 77.9]",,Ground Pass,,25.316002,,,,Daniel Wass,6797.0,,,,,,,1,From Throw In,Hugo Mallo Novegil,6805.0,Right Center Back,59,Celta Vigo,209,['c9c11d17-3241-43ac-902d-6727440fa110'],46,,,,,,,,,,,,,,,,,Celta Vigo,209,00:23:46.728,Pass,
,,,,,,,,,,,,,,,,1.668074,,,,,,,,,,,,ed26b5af-14f5-4b5a-8243-256976982f93,869,,"[77.6, 69.0]",3825689,23,,,,,0.011627383,,Left Foot,,,,"[103.4, 69.3]",,Ground Pass,,25.801744,,,,Iago Aspas Juncal,5217.0,,,,,,,1,From Throw In,Daniel Wass,6797.0,Right Back,59,Celta Vigo,209,['fe3218cc-78ec-41e8-8cb8-0da7e1a279ea'],50,,,,,,,,,,,,,,,,,Celta Vigo,209,00:23:50.028,Pass,
,,,,,,,,,,,,,,,,1.066313,,,,,,,,,,,,d1d05317-d7ba-48d4-b2e4-b36ce7caed99,877,,"[24.5, 7.8]",3825689,23,,,,,1.2698761,,Right Foot,,,,"[28.1, 19.4]",,Ground Pass,,12.1457815,,,,Víctor Guillermo Álvarez Delgado,27241.0,,,,,,,1,Regular Play,Antonio José Raillo Arenas,24086.0,Left Center Back,60,Espanyol,214,"['1bd13294-894d-4a17-aaec-c569667fe807', '698cfc54-9779-442c-ba1c-756b2e0c2bc7']",55,,,,,,,,,,,,,,,,,Espanyol,214,00:23:55.093,Pass,True
,,,,,,,,,,,,,,,,0.775946,,,,,,,,,,,,d3ce0b25-8e65-4d45-a69f-b21c0874ba99,880,,"[35.0, 18.5]",3825689,23,,,,,0.41752648,,Left Foot,,,,"[48.3, 24.4]",,Ground Pass,,14.549914,,,,Gerard Moreno Balaguero,6766.0,,,,,,,1,Regular Play,Víctor Guillermo Álvarez Delgado,27241.0,Left Midfield,60,Espanyol,214,['22c7b5de-a405-42a4-b64b-820e5b5c6a01'],57,,,,,,,,,,,,,,,,,Espanyol,214,00:23:57.011,Pass,
,,,,,,,,,,,,,,,,2.668274,,,,,,,,,,,,96b1ebf3-7b3b-4a32-aa65-8601805b8563,883,,"[47.8, 24.4]",3825689,23,,,,,-0.6650611,,Left Foot,,,,"[77.0, 1.5]",,Ground Pass,,37.108624,,Incomplete,,Antonio José Raillo Arenas,24086.0,,,,,,,1,Regular Play,Gerard Moreno Balaguero,6766.0,Right Center Forward,60,Espanyol,214,"['554a5c02-4de9-467b-b338-544bd470d5b4', 'e99e86d8-9ad6-4d20-af67-8dcae9a08428']",58,,,,,,,,,,,,,,,,,Espanyol,214,00:23:58.514,Pass,
,,,,,,,,,,,,,,,,0.933166,,,,,,,,,,,,774beb10-215d-46f2-9ece-6d9411f0f8df,886,,"[89.2, 0.1]",3825689,24,,,,,1.1509163,,,,,,"[94.2, 11.3]",,High Pass,,12.265398,,,,Gerard Moreno Balaguero,6766.0,,,,,,Throw-in,1,From Throw In,Juan Rafael Fuentes Hernández,4741.0,Left Back,61,Espanyol,214,['110d5f61-400c-4411-bc04-7da33df5e7b1'],22,,,,,,,,,,,,,,,,,Espanyol,214,00:24:22.995,Pass,
,,,,,,,,,,,,,,,,0.807208,,,,,,,,,,,,e9f4b5eb-31ab-4647-af8f-2d1463dd1852,889,,"[91.3, 11.6]",3825689,24,,,,,2.1532843,,Right Foot,,,,"[83.0, 24.2]",,Ground Pass,,15.088075,,,,Víctor Sánchez Mata,6758.0,,,,,,,1,From Throw In,Gerard Moreno Balaguero,6766.0,Right Center Forward,61,Espanyol,214,['6fa2dca7-de44-4072-8ce5-ec53a72234bc'],24,,,,,,,,,,,,,,,,,Espanyol,214,00:24:24.928,Pass,
