50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5d61db7c-c079-4dc2-bd4c-46911c1c08e7,1,,,3825707,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8bd01e46-03b0-47dd-b547-3100149aa1de,2,,,3825707,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 25126, 'name': 'Nicolás Federico López Alonso'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f943a929-7e9c-462b-9336-dd9f33fe6f9d,3,,,3825707,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['1913808e-877b-4c88-ad7c-7af9af4312a1'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1913808e-877b-4c88-ad7c-7af9af4312a1,4,,,3825707,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['f943a929-7e9c-462b-9336-dd9f33fe6f9d'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4d173b01-7ff2-4099-8e01-d1c70e8a3192,1659,,,3825707,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Granada,1049,['b7887516-fbf0-48ab-a91e-e4406fcae01e'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b7887516-fbf0-48ab-a91e-e4406fcae01e,1660,,,3825707,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Granada,1049,['4d173b01-7ff2-4099-8e01-d1c70e8a3192'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.674187,,,,,,,,,,,,,,6cdd8e32-a1c4-4428-b7dc-36a529e6e167,5,,"[61.0, 40.1]",3825707,0,True,,,1.7837347,,Right Foot,,,,"[60.2, 43.8]",,Ground Pass,,3.7854986,,,,Javier Márquez Moreno,24783.0,,,,,Kick Off,1,From Kick Off,Adalberto Peñaranda Maestre,6847.0,Center Forward,2,Granada,1049,['5771e783-d9ec-4910-880d-47f4cdd63a72'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.635,Pass,
,,,,,,,,,,,,,,,,,,1.907331,,,,,,,,,,,,,,7789ff54-6b5b-4db8-b10b-dac76958b38b,7,,"[60.6, 42.5]",3825707,0,True,,,-3.038652,,Right Foot,,,,"[36.4, 40.0]",,Ground Pass,,24.328789,,,,David Rodríguez Lombán,6702.0,,,,,,1,From Kick Off,Javier Márquez Moreno,24783.0,Left Center Midfield,2,Granada,1049,['ec4122c6-de1c-45cf-a154-f3dd6d71655b'],1,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.309,Pass,
,,,,,,,,,,,,,,,,,,6.349763,,,,,,,,,,,,,,ae74531a-71c8-4364-bc34-1e7a86787cd5,9,,"[36.1, 39.8]",3825707,0,,,,-0.5975565,,Right Foot,,,,"[93.7, 0.6]",,High Pass,,69.67352,,Unknown,,,,,,,,,1,From Kick Off,David Rodríguez Lombán,6702.0,Left Center Back,2,Granada,1049,,4,,,,,,,,,,,,,,,,,Granada,1049,00:00:04.014,Pass,
,,,,,,,,,,,,,,,,,,3.023758,,,,,,,,,,,,,,e342c065-7288-4726-9be3-eac477945d0f,12,,"[41.4, 45.8]",3825707,0,True,,,-0.74978375,,Right Foot,,,,"[85.0, 5.2]",,High Pass,,59.576168,,Incomplete,,Jonathan Viera Ramos,10755.0,,True,,,Free Kick,1,From Free Kick,Hernán Daniel Santana Trujillo,15805.0,Right Center Back,3,Las Palmas,208,"['5b7b7e3f-2ce9-4abd-a3cf-06b3d6554ec2', '715bfece-4b4f-4dbe-ad27-206b83b05840']",28,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:28.881,Pass,
