bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.346239,,,,,,,,,,,,e264479a-b055-4d63-9838-083671f3ac07,16,,,"[68.1, 0.1]",3825576,0,,,,0.42462188,,,,,,"[86.9, 8.6]",,High Pass,,20.632256,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,,Throw-in,1,From Throw In,Fernando Navarro i Corbacho,6913.0,Left Back,3,RC Deportivo La Coruña,219,"['0d780e8d-abd0-4cb4-945d-b499a01fd5a2', '2249025b-afef-4c5a-920d-7d3281ab7fbb']",22,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:22.087,Pass,
,,,,,,,,,,,,,,,,0.531513,,,,,,,,,,,,0d780e8d-abd0-4cb4-945d-b499a01fd5a2,18,,,"[33.2, 71.5]",3825576,0,,,,-0.24497867,,Head,,,,"[42.0, 69.3]",,Low Pass,,9.070832,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,Interception,1,From Throw In,Antonio Barragán Fernández,6663.0,Right Back,3,RC Deportivo La Coruña,219,"['40207a45-6bbe-43f5-96d3-5fcbcd0d42af', '7e2c8838-0faa-4073-ba7a-1907b659c23a', 'e264479a-b055-4d63-9838-083671f3ac07']",23,,,,,,,,,,,,,,,,Valencia,207,00:00:23.433,Pass,
,,,,,,,,,,,,,,,,0.849655,,,,,,,,,,,,0d17d453-c4d0-42fa-bd03-52ce7d62e00c,33,,,"[91.2, 6.4]",3825576,0,,,,-0.5651494,,Right Foot,,,,"[95.3, 3.8]",,Ground Pass,,4.8548946,,,,Luis Alberto Romero Alconchel,7782.0,,,,,,,1,From Throw In,Fayçal Fajr,5724.0,Left Wing,3,RC Deportivo La Coruña,219,['61f7fc50-cf06-4ee9-abab-90645d8e58c1'],34,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:34.998,Pass,
,,,,,,,,,,,,,,,,1.483559,,,,,,,,,,,,f6471651-3edf-4bd2-9492-9ae8b6477153,37,,,"[93.2, 2.4]",3825576,0,,,,-0.14392544,,Right Foot,,,,"[107.0, 0.4]",,Ground Pass,,13.944175,,Out,,Fayçal Fajr,5724.0,,,,,,,1,From Throw In,Luis Alberto Romero Alconchel,7782.0,Center Attacking Midfield,3,RC Deportivo La Coruña,219,['a5305fd6-db66-4002-83a1-f5affba95b0a'],36,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:36.439,Pass,
,,,,,,,,,,,,,,,,1.686926,,,,,,,,,,,,e1e59164-4fa5-483b-81b7-fea88297b4fe,39,,,"[13.3, 80.0]",3825576,0,True,,,-0.36820754,,,,,,"[45.7, 67.5]",,High Pass,,34.727654,,,,Álvaro Negredo Sánchez,20542.0,,,,,,Throw-in,1,From Throw In,Antonio Barragán Fernández,6663.0,Right Back,4,Valencia,207,['6384eac0-93ce-4c82-8351-9bd1c037dc06'],54,,,,,,,,,,,,,,,,Valencia,207,00:00:54.186,Pass,
,,,,,,,,,,,,,,,,1.642914,,,,,,,,,,,,213826fb-ce8d-4e8b-a27b-08f85e65dc5d,42,,,"[45.7, 67.5]",3825576,0,,,True,-1.7332854,,,,,,"[44.7, 61.4]",,High Pass,,6.1814237,,,,Danilo Barbosa da Silva,10037.0,,,,,,,1,From Throw In,Álvaro Negredo Sánchez,20542.0,Center Forward,4,Valencia,207,"['3b8aa766-a7fd-4f3b-b6b9-aae267d62c90', '924db20d-95e5-4615-8b8e-0c564b74a950']",55,,,,,,,,,,,,,,,,Valencia,207,00:00:55.873,Pass,True
,,,,,,,,,,,,,,,,0.75979,,,,,,,,,,,,d0eef146-8191-4278-be4e-fc8ceef5eb63,44,,,"[44.7, 61.4]",3825576,0,,,,0.19901107,,Head,,,,"[56.6, 63.8]",,Low Pass,,12.139605,,,,Santiago Mina Lorenzo,6594.0,,,,,,,1,From Throw In,Danilo Barbosa da Silva,10037.0,Right Center Midfield,4,Valencia,207,['f295878a-f5b6-4bb7-9d79-d7ed66542a07'],57,,,,,,,,,,,,,,,,Valencia,207,00:00:57.593,Pass,
,,,,,,,,,,,,,,,,1.812636,,,,,,,,,,,,7eeb011b-9982-4d44-bb63-824392b795a9,46,,,"[56.3, 61.9]",3825576,0,,,,-1.380808,,Head,,,,"[58.3, 51.5]",,High Pass,,10.590562,,Incomplete,,Javier Fuego Martínez,6751.0,,,,,,,1,From Throw In,Santiago Mina Lorenzo,6594.0,Right Wing,4,Valencia,207,"['c406b87c-11b5-4af7-8faa-e1f8b54ba27e', 'df8c1773-2d25-4b98-8da9-594ba002571a']",58,,,,,,,,,,,,,,,,Valencia,207,00:00:58.353,Pass,
,,,,,,,,,,,,,,,,1.542469,,,,,,,,,,,,c406b87c-11b5-4af7-8faa-e1f8b54ba27e,48,,,"[61.8, 28.6]",3825576,1,,,,3.0971775,,Head,,,,"[48.3, 29.2]",,Low Pass,,13.513327,,,,Alejandro Arribas Garrido,6869.0,,,,,,Recovery,1,Regular Play,Celso Borges Mora,5582.0,Right Defensive Midfield,5,RC Deportivo La Coruña,219,"['00c04d51-8773-4cb0-b195-7afb43c5f560', '7eeb011b-9982-4d44-bb63-824392b795a9']",0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:00.165,Pass,
,,,,,,,,,,,,,,,,2.723107,,,,,,,,,,,,0ca93657-b31d-49ec-8fab-9f1fd488a187,52,,,"[48.3, 29.6]",3825576,1,,,,-0.22970371,,Right Foot,,,,"[68.4, 24.9]",,High Pass,,20.642189,,,,Fayçal Fajr,5724.0,,,,,,,1,Regular Play,Alejandro Arribas Garrido,6869.0,Right Center Back,5,RC Deportivo La Coruña,219,"['9dff1adf-66c3-4cf0-b8e4-d87f64c89e21', 'fd5e2521-5a86-4b40-9fcc-b1d4012294d1']",1,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:01.724,Pass,True
