ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a5e8c288-4102-4591-85c4-61aeea383459,1,,,3825828,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 4}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,16689b43-a62e-40dd-835d-6e9bfd48eede,2,,,3825828,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8feddb22-97c3-4fa4-a743-58eef8df449a,3,,,3825828,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['a2bce247-de3f-41cf-938c-d09834747ac8'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2bce247-de3f-41cf-938c-d09834747ac8,4,,,3825828,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['8feddb22-97c3-4fa4-a743-58eef8df449a'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6cd3fb56-aa0b-47dc-aeb4-b12c914b7101,1611,,,3825828,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Atlético Madrid,212,['a434d575-4500-4fe0-bce6-47ad86b9f983'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a434d575-4500-4fe0-bce6-47ad86b9f983,1612,,,3825828,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Atlético Madrid,212,['6cd3fb56-aa0b-47dc-aeb4-b12c914b7101'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.265827,,,,,,,,,,,,,3fe3ff8e-c0bf-473c-83ee-9ddb2ae178a4,5,,"[61.0, 40.1]",3825828,0,,,,,-1.849096,,Right Foot,,"[60.4, 38.0]",,Ground Pass,,2.184033,,,,,Fernando José Torres Sanz,6382.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,Atlético Madrid,212,['272c917a-ab4d-417e-ab0b-afb3897a5512'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.676,Pass,
,,,,,,,,,,,,,,,,,1.499393,,,,,,,,,,,,,35f97ee9-87a6-488d-854a-aa35305f3806,8,,"[60.4, 37.8]",3825828,0,,,,,-2.7129416,,Right Foot,,"[41.8, 29.3]",,Ground Pass,,20.450184,,,,,Augusto Matías Fernández,19668.0,,,,,,1,From Kick Off,Fernando José Torres Sanz,6382.0,Center Forward,2,Atlético Madrid,212,['be0acd56-f0bf-414d-9495-33393c5516df'],2,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.420,Pass,
,,,,,,,,,,,,,,,,,1.578293,,,,,,,,,,,,,f0db172a-5080-4ef2-ae39-9ebf1df457a7,11,,"[41.5, 30.5]",3825828,0,,,,,1.5208379,,Right Foot,,"[43.0, 60.5]",,Ground Pass,,30.037477,,,,,Diego Roberto Godín Leal,5249.0,,,,,,1,From Kick Off,Augusto Matías Fernández,19668.0,Center Defensive Midfield,2,Atlético Madrid,212,['f5491727-d81f-4199-91df-bb941aa4d172'],4,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:04.998,Pass,
,,,,,,,,,,,,,,,,,0.31912,,,,,,,,,,,,,b790908c-3517-46ab-8e4f-e01fb8a9067b,15,,"[43.0, 63.5]",3825828,0,,,,,-0.7853982,,Right Foot,,"[44.3, 62.2]",,Ground Pass,,1.8384776,,,Incomplete,,,,,,,,,1,From Kick Off,Diego Roberto Godín Leal,5249.0,Right Center Back,2,Atlético Madrid,212,"['a9facf6c-bc07-47d6-81a2-b5ee2d0148a5', 'e732a5e4-07d6-4f1e-b781-5fe46a15fb67']",7,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:07.368,Pass,True
