50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ccd63bdb-de3f-431b-869d-cd17e5c7a5b7,1,,,,3825608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a953c60a-07d7-4f51-b1a4-402f9b5c029a,2,,,,3825608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,22350672-9b7a-4060-a8d9-3145ec7213c4,3,,,,3825608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['ef1dfcd6-8309-45aa-98ae-2106762bd720'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ef1dfcd6-8309-45aa-98ae-2106762bd720,4,,,,3825608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['22350672-9b7a-4060-a8d9-3145ec7213c4'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1e664108-1f93-4c3f-a898-53e2df200248,1740,,,,3825608,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Eibar,322,['4b2a615f-204b-4f7e-aae7-29c52eecebc8'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4b2a615f-204b-4f7e-aae7-29c52eecebc8,1741,,,,3825608,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Eibar,322,['1e664108-1f93-4c3f-a898-53e2df200248'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.643908,,,,,,,,,,,e78fadb1-734c-4728-bdbf-5cc535b8d73e,5,,,"[60.0, 40.0]",3825608,0,,True,,,2.55359,,Left Foot,,,,"[58.2, 41.2]",,Ground Pass,,2.1633308,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,Kick Off,1,From Kick Off,Théo Bongonda Mbul''Ofeko Batombo,23785.0,Right Wing,2,Celta Vigo,209,['b2a4c663-9da4-4b63-9608-859512714187'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.726,Pass,
,,,,,,,,,,,,,,,,,,1.515363,,,,,,,,,,,5475d135-ff18-4f57-9a33-cf122be57f09,7,,,"[57.2, 41.0]",3825608,0,,,,,-2.6350758,,Right Foot,,,,"[42.6, 32.9]",,Ground Pass,,16.696407,,,,Pedro Pablo Hernández,6801.0,,,,,,,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Center Forward,2,Celta Vigo,209,['f52b68a5-fd0a-4931-9488-03d4f56a97a1'],1,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.378,Pass,
,,,,,,,,,,,,,,,,,,1.427081,,,,,,,,,,,f754b691-3dd2-4532-ab90-ab3bb62467f9,10,,,"[38.5, 32.8]",3825608,0,,,,,2.1522887,,Right Foot,,,,"[26.8, 50.6]",,Ground Pass,,21.30094,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,,1,From Kick Off,Pedro Pablo Hernández,6801.0,Left Center Midfield,2,Celta Vigo,209,['4a51810e-1b22-4c1d-b8ee-6ed41ee36a52'],3,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:03.738,Pass,
,,,,,,,,,,,,,,,,,,2.080766,,,,,,,,,,,125eb12b-ba41-4bdc-a105-00ddd266270f,13,,,"[27.6, 53.1]",3825608,0,,,,,0.08399085,,Right Foot,,,,"[76.3, 57.2]",,High Pass,,48.872284,,Incomplete,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,,1,From Kick Off,Gustavo Daniel Cabral Cáceres,6794.0,Right Center Back,2,Celta Vigo,209,"['c85646a1-4ea5-4c8a-9ddb-bf65c16cee1a', 'ed1e554f-4a52-4089-8665-f7f2940a9bcc']",6,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:06.220,Pass,
