bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6ab1dfa7-1622-42dd-b898-c10426f14c2c,1,,,3825634,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26781, 'name': 'Diego Mainz García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,33a7c868-f574-4ce7-bae3-bc7c87206227,2,,,3825634,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 24132, 'name': 'Francisco Miguel Varela Martín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 24277, 'name': 'Vincenzo Renato Rennella'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4578ef4b-0dc4-488d-92dd-897f6e6bce8f,3,,,3825634,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['fa3efb16-0296-430d-a254-242397f3dd63'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fa3efb16-0296-430d-a254-242397f3dd63,4,,,3825634,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['4578ef4b-0dc4-488d-92dd-897f6e6bce8f'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8841391b-3aea-4cc8-883e-177522af087c,1669,,,3825634,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Granada,1049,['21c75ecb-47f3-4e3c-abb4-c2c2968c4b65'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,21c75ecb-47f3-4e3c-abb4-c2c2968c4b65,1670,,,3825634,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Granada,1049,['8841391b-3aea-4cc8-883e-177522af087c'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.049176,,,,,,,,,,,,,,,0464594a-efe1-4730-a9a1-1a6e58c61fd5,5,,"[61.0, 40.1]",3825634,0,,True,,,2.003204,,Right Foot,,,,"[59.8, 42.7]",Ground Pass,,2.8635643,,,Joaquín Sánchez Rodríguez,6651.0,,,,,Kick Off,1,From Kick Off,Rubén Castro Martín,6832.0,Left Center Forward,2,Real Betis,218,['528912a2-ffd3-402b-b034-6970e47d2684'],2,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:02.361,Pass,
,,,,,,,,,,,,,,,,,,1.891327,,,,,,,,,,,,,,,75c33dec-910e-4850-90e5-09ed9913adfd,7,,"[60.1, 43.2]",3825634,0,,True,,,-2.6086745,,Right Foot,,,,"[34.5, 28.1]",Ground Pass,,29.72154,,,Heiko Westermann,27349.0,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Right Midfield,2,Real Betis,218,['0166d53d-550e-437c-a9f0-5a44721252df'],2,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:02.570,Pass,
,,,,,,,,,,,,,,,,,,2.882244,,,,,,,,,,,,,,,8e1ad09b-a0e0-48a3-b689-f162f9978d6e,10,,"[33.8, 29.7]",3825634,0,,,,,0.6726025,,Right Foot,,,,"[79.5, 66.1]",High Pass,,58.424736,,,Vincenzo Renato Rennella,24277.0,,,,,,1,From Kick Off,Heiko Westermann,27349.0,Left Center Back,2,Real Betis,218,"['0dd0b760-6c94-4017-b8b3-8e8923736355', 'e96728a3-09af-4ab6-8641-9c177a3f4be9']",5,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:05.628,Pass,True
,,,,,,,,,,,,,,,,,,2.102703,,,,,,,,,,,,,,,e84a67b9-362b-4cf3-aef5-e20837903229,13,,"[79.5, 66.1]",3825634,0,,,,True,0.124354996,,,,,,"[89.1, 67.3]",High Pass,,9.674709,Incomplete,,Alfred John Momar N''Diaye,5671.0,,,,,,1,From Kick Off,Vincenzo Renato Rennella,24277.0,Right Center Forward,2,Real Betis,218,"['12e0f378-0fc3-47de-8467-f0e1c89ac25d', '181a4165-89f4-43d9-9ba3-c76e8b691cc1', 'e4c186e2-cf01-4455-9a63-111fe953a80c']",8,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:08.510,Pass,True
