50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf7fb177-aef4-491e-aea9-369c542d2b0c,1,,,3825808,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16332, 'name': 'Ognjen Vranješ'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24686, 'name': 'Roberto Canella Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22305efd-122e-4b02-9da0-51fe352cd3df,2,,,3825808,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,78d4dc9e-b619-4449-b54f-d36547b0f8a9,3,,,3825808,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['6dda6019-5aae-4dca-9408-2917d556acbe'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6dda6019-5aae-4dca-9408-2917d556acbe,4,,,3825808,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['78d4dc9e-b619-4449-b54f-d36547b0f8a9'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c66a69d8-28a8-4335-96e5-c5d8970cff6e,1666,,,3825808,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Athletic Club,215,['2616c854-6c6f-490d-8472-0877ca87138c'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2616c854-6c6f-490d-8472-0877ca87138c,1667,,,3825808,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Athletic Club,215,['c66a69d8-28a8-4335-96e5-c5d8970cff6e'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.462383,,,,,,,,,,,,,b625cb04-b7c2-4ed7-9a2c-968b0413acad,5,,"[60.0, 40.0]",3825808,0,,True,,,-3.041924,,Right Foot,,,"[57.0, 39.7]",,Ground Pass,,3.0149627,,,,,Beñat Etxebarria Urkiaga,6396.0,,,,,Kick Off,1,From Kick Off,Aritz Aduriz Zubeldia,6394.0,Center Forward,2,Athletic Club,215,['360fe1d5-b6a0-4985-b160-982105b3839c'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.059,Pass,
,,,,,,,,,,,,,,,,0.720738,,,,,,,,,,,,,6b91bedb-8b97-4a3e-bc08-687ffbde86e8,7,,"[56.7, 39.9]",3825808,0,,True,,,-2.902251,,Right Foot,,,"[35.8, 34.8]",,Ground Pass,,21.513252,,,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,2,Athletic Club,215,['e03712aa-e503-46f3-a858-2ac911bc1ec0'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.886,Pass,
,,,,,,,,,,,,,,,,2.81738,,,,,,,,,,,,,d821ff04-199d-4cbf-89b3-325e91521612,9,,"[37.7, 36.1]",3825808,0,,,,,0.2565166,,Left Foot,,,"[86.5, 48.9]",,High Pass,,50.450768,,,,,Aritz Aduriz Zubeldia,6394.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['7fd1d60b-bb7d-4907-9a3e-559f60c57f77'],4,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.003,Pass,
,,,,,,,,,,,,,,,,1.751321,,,,,,,,,,,,,77a3deb2-c2ee-46c6-8ea6-a6e6695cd7bf,12,,"[88.0, 49.1]",3825808,0,,,,True,0.23554498,,,,,"[98.0, 51.5]",,High Pass,,10.283968,,,Incomplete,,Markel Susaeta Laskurain,6390.0,,,,,,1,From Kick Off,Aritz Aduriz Zubeldia,6394.0,Center Forward,2,Athletic Club,215,"['2e5883c0-1228-4b6a-93c5-603c59b4baef', '5e8e4129-52d6-4d2d-aaf9-c8a0252755fb', 'd2025864-c8f3-45a4-9f27-8f6ce52022e5']",6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.821,Pass,True
