50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ae5da8a3-e7b9-4329-9198-d3c44ed1f38f,1,,,,3825889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6795, 'name': 'Rubén Blanco Veiga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d9311fcd-7ac4-4c8e-bc09-87b1092ff1ba,2,,,,3825889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,249e9fe9-c39b-4c7f-95a3-43f8daf5cced,3,,,,3825889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['a0646bf6-4a34-40d8-b1bb-71cf70dfb909'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0646bf6-4a34-40d8-b1bb-71cf70dfb909,4,,,,3825889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['249e9fe9-c39b-4c7f-95a3-43f8daf5cced'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,931ec089-df29-44b2-b970-64a5de818f69,1888,,,,3825889,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Celta Vigo,209,['8deada39-cde5-467a-a3f5-69ab994d6b9d'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8deada39-cde5-467a-a3f5-69ab994d6b9d,1889,,,,3825889,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Celta Vigo,209,['931ec089-df29-44b2-b970-64a5de818f69'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.730861,,,,,,,,,,,,fb3f0121-f608-4a56-8309-3964970f4770,5,,,"[60.0, 40.0]",3825889,0,,True,,,-1.6991196,,Right Foot,,,,"[59.6, 36.9]",,Ground Pass,,3.1257,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,Kick Off,1,From Kick Off,John Guidetti,6038.0,Center Forward,2,Celta Vigo,209,['0cf96f6e-14da-4c7a-8bfd-ab7c7240aab9'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.181,Pass,
,,,,,,,,,,,,,,,,,2.688184,,,,,,,,,,,,b4c27855-5782-4a1d-976f-1f673f928ce3,7,,,"[60.1, 36.4]",3825889,0,,,,,-2.0758405,,Right Foot,,,,"[41.8, 3.3]",,High Pass,,37.821953,,,,Carles Planas Antolínez,7577.0,,,,,,,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,2,Celta Vigo,209,['083eb413-7be2-4174-9be2-5360474a440b'],1,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.377,Pass,
,,,,,,,,,,,,,,,,,2.663386,,,,,,,,,,,,4ded8cb1-664f-4e0a-b210-133ff77ede65,10,,,"[39.3, 5.5]",3825889,0,,,,,1.5326792,,Left Foot,,,,"[40.2, 29.1]",,Ground Pass,,23.617155,,Incomplete,,Nemanja Radoja,6796.0,,,,,,,1,From Kick Off,Carles Planas Antolínez,7577.0,Left Back,2,Celta Vigo,209,"['72a04bec-49b3-477a-a03d-57e67b901e59', 'c6d61952-bf67-401b-94f0-883986901d05']",5,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:05.034,Pass,
,,,,,,,,,,,,,,,,,2.480863,,,,,,,,,,,,73362237-a50a-4979-9cf7-b197a26ede54,22,,,"[90.6, 38.2]",3825889,1,,,,,2.1807592,,Right Foot,,,,"[78.3, 55.8]",,Ground Pass,,21.472075,,,,Francisco José Molinero Calderón,6865.0,,,,,,,1,From Free Kick,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,4,Real Betis,218,['a120ce75-2da1-4eaa-83f1-e0df493dbe51'],18,,,,,,,,,,,,,,,,,Real Betis,218,00:01:18.181,Pass,
