bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1fcc4884-49f9-4821-bb4f-39d3d8f31d43,1,,,3825567,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,24fee2fe-8683-43c5-b973-f8846e2273c6,2,,,3825567,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dccc0aa7-7647-4587-a35b-a63c0e44e9b0,3,,,3825567,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['91d0cdee-edf0-4e7f-8ba0-bbf30ac159cd'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,91d0cdee-edf0-4e7f-8ba0-bbf30ac159cd,4,,,3825567,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['dccc0aa7-7647-4587-a35b-a63c0e44e9b0'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e9c4050c-7a98-4519-b732-b54ea88ae74c,1918,,,3825567,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Sporting Gijón,1041,['4a2c8fd4-c595-409e-b423-a362316001c4'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4a2c8fd4-c595-409e-b423-a362316001c4,1919,,,3825567,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Sporting Gijón,1041,['e9c4050c-7a98-4519-b732-b54ea88ae74c'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.577055,,,,,,,,,,,e3cd5451-7af8-4c0f-9f2c-89ab199e3efd,5,,"[60.0, 40.0]",3825567,0,,,,,1.7818897,,Right Foot,,,"[59.4, 42.8]",Ground Pass,,2.8635643,,,Miguel Ángel Guerrero Martín,6602.0,,,,,Kick Off,1,From Kick Off,Arnaldo Antonio Sanabria Ayala,6880.0,Left Center Forward,2,Sporting Gijón,1041,['23ee444a-0c2d-4535-a9a7-c01faa37e52a'],1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.827,Pass,
,,,,,,,,,,,,,,,,,1.09431,,,,,,,,,,,23f821b0-5ebe-4c9d-81c0-20b4062315da,8,,"[55.5, 40.4]",3825567,0,,,,,-2.9964664,,Right Foot,,,"[42.5, 38.5]",Ground Pass,,13.138112,,,Sergio Álvarez Díaz,13107.0,,,,,,1,From Kick Off,Miguel Ángel Guerrero Martín,6602.0,Right Center Forward,2,Sporting Gijón,1041,['a531a14f-c205-4ec4-9c42-0f3b54f0a0a4'],2,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.500,Pass,
,,,,,,,,,,,,,,,,,2.888619,,,,,,,,,,,0e525ca9-158e-45e7-afb4-196afb094e37,11,,"[42.5, 38.5]",3825567,0,,,,,-1.0200515,,Right Foot,,,"[65.1, 1.7]",High Pass,,43.185646,,,Jonathan Rodríguez Menéndez,6581.0,,,,,,1,From Kick Off,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,2,Sporting Gijón,1041,['6d9da0af-0c43-471f-8460-6fdde893b46f'],3,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:03.674,Pass,
,,,,,,,,,,,,,,,,,1.198665,,,,,,,,,,,996ea2d7-81f0-40ed-9f54-1815fe04e706,14,,"[62.7, 2.8]",3825567,0,,,,,2.7660697,,Left Foot,,,"[52.3, 6.9]",High Pass,,11.178998,,,Ismael López Blanco,24263.0,,,,,,1,From Kick Off,Jonathan Rodríguez Menéndez,6581.0,Left Midfield,2,Sporting Gijón,1041,['3d691419-6e4b-4e71-9105-326f9991ec1c'],6,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:06.623,Pass,
