bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.185751,,,,,,,,,,,,99d28620-dd80-40cc-a5af-bf6f3ac38c77,48,,"[57.3, 14.1]",3825631,0,,,,,-0.20304522,,Left Foot,,,,"[60.7, 13.4]",,Ground Pass,,3.471311,,Incomplete,,,,,,,,,1,Regular Play,Filipe Luís Kasmirski,6320.0,Left Back,5,Atlético Madrid,212,"['06697076-fd34-49fd-a2c7-9f59ca790021', 'cddc3b0b-d405-4bde-907a-16a33dc2258a']",46,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:46.351,Pass,True
,,,,,,,,,,,,,,,,1.935754,,,,,,,,,,,,36ae18f1-ce01-4957-9b60-cb84ed53fcff,50,,"[56.2, 0.1]",3825631,0,,True,,,2.6107388,,,,,,"[36.1, 11.9]",,Low Pass,,23.307724,,,,Diego Roberto Godín Leal,5249.0,,,,,Throw-in,1,From Throw In,Filipe Luís Kasmirski,6320.0,Left Back,6,Atlético Madrid,212,['da820134-6441-496b-9f5c-e711012305d0'],52,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:52.774,Pass,
,,,,,,,,,,,,,,,,1.87188,,,,,,,,,,,,86eafacb-8006-49fb-9ff4-aebc086e060c,52,,"[35.2, 9.2]",3825631,0,,,,,1.6754545,,Right Foot,,,,"[32.7, 33.0]",,Ground Pass,,23.930943,,,,José María Giménez de Vargas,5259.0,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Left Center Back,6,Atlético Madrid,212,['8b1689a1-0039-426c-99d5-3472f4cd8f98'],56,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:56.073,Pass,
,,,,,,,,,,,,,,,,1.757012,,,,,,,,,,,,3216528b-2847-48a2-b869-302a45799b0a,55,,"[35.4, 33.0]",3825631,1,,,,,-1.7909153,,Right Foot,,,,"[30.5, 11.1]",,Ground Pass,,22.441479,,,,Diego Roberto Godín Leal,5249.0,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Right Center Back,6,Atlético Madrid,212,['76116f7a-e855-4a21-9a13-2cbc47d85afe'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:00.734,Pass,
,,,,,,,,,,,,,,,,2.017147,,,,,,,,,,,,a4dded62-640e-4dd1-845a-abb7ae34f3d2,58,,"[34.6, 17.1]",3825631,1,,,,,1.3734008,,Right Foot,,,,"[40.7, 47.6]",,Ground Pass,,31.10402,,,,Gabriel Fernández Arenas,6384.0,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Left Center Back,6,Atlético Madrid,212,['d7f2f1da-c90b-443e-af93-928859770970'],6,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:06.962,Pass,
,,,,,,,,,,,,,,,,1.310495,,,,,,,,,,,,039b7627-e281-47af-9e97-9987264ad5aa,61,,"[48.8, 55.4]",3825631,1,,,,,0.71883,,Right Foot,,,,"[71.2, 75.0]",,Ground Pass,,29.764408,,,,Juan Francisco Torres Belén,6375.0,,,,,,1,From Throw In,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,6,Atlético Madrid,212,['fd61328e-d492-40dd-a315-2c9374735f1e'],10,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:10.830,Pass,
,,,,,,,,,,,,,,,,0.550368,,,,,,,,,,,,a21ac100-f145-4dcd-becc-b634327ff0ff,64,,"[75.1, 73.8]",3825631,1,,,,,-0.7354398,,Right Foot,,,,"[85.6, 64.3]",,Ground Pass,,14.159802,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,6,Atlético Madrid,212,['601f8f38-ea85-423b-b55a-0aa99fc4e417'],13,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:13.746,Pass,
,,,,,,,,,,,,,,,,1.269799,,,,,,,,,,,,e3aa7d38-5daf-4ced-96e6-cc734e58fe64,67,,"[91.2, 63.6]",3825631,1,,,,,0.9462988,,Left Foot,,,,"[99.2, 74.7]",,Ground Pass,,13.68247,,,,Juan Francisco Torres Belén,6375.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Right Center Forward,6,Atlético Madrid,212,['8dfb3ff9-75bd-4f77-baaf-f3c7f04b2cab'],15,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:15.752,Pass,
,,,,,,,,,,,,,,,,1.240174,,,,,,,,,,,,ef5cff62-0bea-4f6a-85a3-53e9cbb9c7f8,70,,"[96.7, 71.3]",3825631,1,,,,,-2.5757384,,Right Foot,,,,"[89.3, 66.6]",,Ground Pass,,8.766413,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,6,Atlético Madrid,212,['affe0fb2-9349-4c12-ac32-28f81716a220'],19,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:19.325,Pass,
,,,,,,,,,,,,,,,,0.74288,,,,,,,,,,,,37f11403-d04a-4fd9-a8c9-0b06b7deeec4,73,,"[89.0, 66.6]",3825631,1,,,,,-1.4288993,,Left Foot,,,,"[91.2, 51.2]",,Ground Pass,,15.556349,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Right Center Forward,6,Atlético Madrid,212,['00dd5114-70cc-4502-9ace-20d4adf3d8f1'],21,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:21.398,Pass,
