50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.4806,,,,,,,,,,,,,a4d97a56-a34f-4092-b131-02c8313be501,19,,,"[63.8, 26.0]",3825685,0,,,,,-0.9703565,,Right Foot,,,"[70.1, 16.8]",,Ground Pass,,11.150336,,Incomplete,,Sergio Ezequiel Araújo,8167.0,,,,,,1,Regular Play,Jonathan Viera Ramos,10755.0,Left Wing,3,Las Palmas,208,"['08966444-19a8-4355-8485-64249c6b6c0f', 'f3b7302f-f903-4a1d-80de-5d868d1a2ca0']",13,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:13.530,Pass,
,,,,,,,,,,,,,,,,1.528907,,,,,,,,,,,,,2179771d-136f-430b-b239-2ed1d8f41562,25,,,"[61.3, 25.3]",3825685,0,,,,,-3.1351411,,Right Foot,,,"[45.8, 25.2]",,Ground Pass,,15.500322,,,,Javier Garrido Behovide,26448.0,,,,,,1,Regular Play,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,3,Las Palmas,208,['be48ab4c-66b0-42ed-9f4c-710d298290ba'],17,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:17.098,Pass,
,,,,,,,,,,,,,,,,1.934394,,,,,,,,,,,,,36a1a959-b75e-4e84-9693-eadbc66fcc53,28,,,"[45.8, 25.2]",3825685,0,,,,,1.8502102,,Left Foot,,,"[39.0, 48.9]",,Ground Pass,,24.656237,,,,Aythami Artiles Oliva,8440.0,,,,,,1,Regular Play,Javier Garrido Behovide,26448.0,Left Center Back,3,Las Palmas,208,['cc0b3e5c-f39b-4e73-9ccb-983a923b8fcc'],19,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:19.723,Pass,
,,,,,,,,,,,,,,,,0.999398,,,,,,,,,,,,,2795f062-a4fb-4cc4-9b51-27a455942fed,31,,,"[39.0, 48.9]",3825685,0,,,,,-0.9025069,,Right Foot,,,"[45.0, 41.3]",,Ground Pass,,9.682975,,,,Roque Mesa Quevedo,3610.0,,,,,,1,Regular Play,Aythami Artiles Oliva,8440.0,Right Center Back,3,Las Palmas,208,['5f5d411d-b897-4ab1-bb7a-f8124fa006b0'],21,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:21.778,Pass,
,,,,,,,,,,,,,,,,0.722535,,,,,,,,,,,,,4a9c26f2-7ceb-46d7-b066-74655c37e6af,34,,,"[45.0, 41.3]",3825685,0,,,,,-1.2045407,,Right Foot,,,"[50.6, 26.7]",,Ground Pass,,15.6371355,,,,José Vicente Gómez Umpiérrez,6929.0,,,,,,1,Regular Play,Roque Mesa Quevedo,3610.0,Right Defensive Midfield,3,Las Palmas,208,['57fe8fb5-d9bd-4b68-8a0a-366eef7a1807'],25,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:25.642,Pass,
,,,,,,,,,,,,,,,,1.841029,,,,,,,,,,,,,8e7890b7-fc9e-4113-b252-018d0ed4d382,37,,,"[45.1, 33.5]",3825685,0,,,,,1.7703121,,Left Foot,,,"[39.6, 60.7]",,Ground Pass,,27.750496,,,,Aythami Artiles Oliva,8440.0,,,,,,1,Regular Play,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,3,Las Palmas,208,['387b53e0-e5e0-473c-abc6-7f69384c2ae5'],28,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:28.895,Pass,
,,,,,,,,,,,,,,,,2.958209,,,,,,,,,,,,,9e653e02-99dc-402c-ba3b-50143a221cc5,40,,,"[40.8, 62.0]",3825685,0,,,,,-2.224962,,Right Foot,,,"[21.4, 36.7]",,Ground Pass,,31.881813,,,,Javier Varas Herrera,26753.0,,,,,,1,Regular Play,Aythami Artiles Oliva,8440.0,Right Center Back,3,Las Palmas,208,['457f2101-c08e-4fc4-b5f7-83caa0eaf82d'],33,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:33.320,Pass,
,,,,,,,,,,,,,,,,1.793134,,,,,,,,,,,,,a488afe0-35b5-491e-a5f8-ad4082dc38f5,43,,,"[21.4, 36.7]",3825685,0,,,,,-1.3860127,,Right Foot,,,"[25.4, 15.3]",,Ground Pass,,21.770622,,,,Javier Garrido Behovide,26448.0,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,3,Las Palmas,208,['d9f33103-8045-43e6-ab82-45b6ae7c74a9'],36,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:36.675,Pass,
,,,,,,,,,,,,,,,,1.185271,,,,,,,,,,,,,64641b99-a88f-4908-8b70-f3c29a92310d,46,,,"[25.4, 15.3]",3825685,0,,,,,1.928246,,Left Foot,,,"[16.1, 40.2]",,Ground Pass,,26.580069,,,,Javier Varas Herrera,26753.0,,,,,,1,Regular Play,Javier Garrido Behovide,26448.0,Left Center Back,3,Las Palmas,208,['3372f63c-0a38-4a80-88dc-d9683140f6d1'],38,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:38.541,Pass,
,,,,,,,,,,,,,,,,2.077191,,,,,,,,,,,,,e2f1105c-07a4-4532-bf95-7f087e89652a,49,,,"[14.8, 39.5]",3825685,0,,,,,1.2063555,,Right Foot,,,"[25.1, 66.5]",,Ground Pass,,28.897924,,,,Aythami Artiles Oliva,8440.0,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,3,Las Palmas,208,['54411fbd-7e77-4168-964e-c586d50c4dad'],41,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:41.096,Pass,
