bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,00d5bd54-90ae-4249-b422-16724f37af68,1,,,3825788,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bcc6089a-8b4c-4cc9-8fe6-513d531e4837,2,,,3825788,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0b013ce-cca2-4f55-b28b-5a1a9c587aea,3,,,3825788,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['6c11cff1-bb67-4779-9c3d-93eff777c1cf'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6c11cff1-bb67-4779-9c3d-93eff777c1cf,4,,,3825788,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['f0b013ce-cca2-4f55-b28b-5a1a9c587aea'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b2bc54b-6604-4c3b-9d03-e80799953e6c,1635,,,3825788,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Celta Vigo,209,['a0951fe7-0ec1-406d-b881-e7e9405bede2'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0951fe7-0ec1-406d-b881-e7e9405bede2,1636,,,3825788,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Celta Vigo,209,['0b2bc54b-6604-4c3b-9d03-e80799953e6c'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.429873,,,,,,,,,,,,,dbc9b7d7-609c-41d7-9f87-f48c1ee4fe06,5,,"[61.0, 40.1]",3825788,0,,,,1.8295672,,Right Foot,,,"[60.1, 43.5]",,Ground Pass,,3.517101,,,,Álvaro Vázquez García,24035.0,,,,,,Kick Off,1,From Kick Off,Víctor Rodríguez Romero,15893.0,Center Attacking Midfield,2,Getafe,216,['d3a1160f-6afd-43e1-810d-d69eff4d9e9f'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.507,Pass,
,,,,,,,,,,,,,,,,,,1.139112,,,,,,,,,,,,,54e98ef0-20ff-4be3-baeb-5fc6398999ad,8,,"[60.1, 43.8]",3825788,0,,,,-2.758694,,Right Foot,,,"[52.9, 40.9]",,Ground Pass,,7.7620873,,,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,,,1,From Kick Off,Álvaro Vázquez García,24035.0,Center Forward,2,Getafe,216,['fea467cf-c69e-4a34-b930-9c519634a9b1'],1,,,,,,,,,,,,,,,,,Getafe,216,00:00:01.137,Pass,
,,,,,,,,,,,,,,,,,,1.880369,,,,,,,,,,,,,fb879558-b689-4546-8dc8-27b62e7a26e1,11,,"[53.0, 41.0]",3825788,0,,,,-1.7745702,,Left Foot,,,"[47.4, 13.9]",,Ground Pass,,27.67255,,,,Abdoul Karim Yoda,27092.0,,,,,,,1,From Kick Off,Juan Antonio Rodríguez Villamuela,25881.0,Left Defensive Midfield,2,Getafe,216,['071776cb-2cbe-4fbf-bd26-3343a321c0b2'],2,,,,,,,,,,,,,,,,,Getafe,216,00:00:02.580,Pass,
,,,,,,,,,,,,,,,,,,1.315307,,,,,,,,,,,,,cdf7feff-fbb9-4330-b939-b5881cfb373c,14,,"[58.7, 6.0]",3825788,0,,,,0.4539794,,Left Foot,,,"[87.8, 20.2]",,Ground Pass,,32.379776,,,,Álvaro Vázquez García,24035.0,,,,,,,1,From Kick Off,Abdoul Karim Yoda,27092.0,Left Back,2,Getafe,216,['43811aa2-a3d3-4af3-95c1-aa29f6274c20'],7,,,,,,,,,,,,,,,,,Getafe,216,00:00:07.590,Pass,
,,,,,,,,,,,,,,,,,,2.143828,,,,,,,,,,,,,6641f8ce-92b1-47c5-b77f-04714a76bd06,19,,"[83.3, 20.2]",3825788,0,,,,-0.4754581,84ec754f-a087-4b01-acfd-2149e1b6f93f,Right Foot,,,"[93.4, 15.0]",,Ground Pass,,11.360018,,,,Wanderson Maciel Sousa Campos,16426.0,True,,,,,,1,From Kick Off,Álvaro Vázquez García,24035.0,Center Forward,2,Getafe,216,"['3fd681db-76ef-4b82-9f49-b9b140d7ed88', '4f51002c-897b-4999-a805-fd08297ee9f4', '5220babf-bf35-40f6-a3a9-258100703bc5']",10,,,,,,,,,,,,,,,,,Getafe,216,00:00:10.303,Pass,True
,,,,,,,,,,,,,,,,,,2.29876,,,,,,,,,,,,,f0374e1f-7c26-4d4c-9993-ff0f5b52e6c6,29,,"[74.2, 77.2]",3825788,0,,,,-2.7509856,,Right Foot,,,"[60.6, 71.6]",,Ground Pass,,14.707821,,,,Emiliano Daniel Velázquez Maldonado,17054.0,,,,,,Recovery,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Right Back,2,Getafe,216,['db2765ba-0396-42bf-a14f-834c5c162e7d'],24,,,,,,,,,,,,,,,,,Getafe,216,00:00:24.443,Pass,
,,,,,,,,,,,,,,,,,,2.529539,,,,,,,,,,,,,19cba43a-9aea-4bf0-b64e-cab82a5c0387,33,,"[63.9, 75.1]",3825788,0,,,,0.071794204,,Right Foot,,,"[93.1, 77.2]",,High Pass,,29.275415,,Incomplete,,Pablo Sarabia García,6720.0,,,,,,,1,From Kick Off,Emiliano Daniel Velázquez Maldonado,17054.0,Right Center Back,2,Getafe,216,"['0be5fbad-f31b-4b31-9566-29695a49849e', '40bf61fc-49c0-4b5f-a7bf-962fdac8a51a', 'd57114b1-7528-4568-8fdb-633ee3a7c3aa']",28,,,,,,,,,,,,,,,,,Getafe,216,00:00:28.227,Pass,True
,,,,,,,,,,,,,,,,,,1.367892,,,,,,,,,,,,,40bf61fc-49c0-4b5f-a7bf-962fdac8a51a,35,,"[27.0, 2.9]",3825788,0,,,,-0.015150356,,Left Foot,,,"[40.2, 2.7]",,Ground Pass,,13.201515,,,,Théo Bongonda Mbul''Ofeko Batombo,23785.0,,,,,,Recovery,1,From Kick Off,Jonathan Castro Otto,6802.0,Left Back,2,Getafe,216,"['19cba43a-9aea-4bf0-b64e-cab82a5c0387', '72ec8523-1458-4588-8f37-fc9886fd9a91']",30,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:30.757,Pass,
,,,,,,,,,,,,,,,,,,5.981936,,,,,,,,,,,,,c1de0b34-791e-450b-bc95-60cadb43e6cf,41,,"[39.6, 6.9]",3825788,0,True,,,1.1143688,,Right Foot,,,"[66.9, 62.5]",,High Pass,,61.940697,,Incomplete,,,,,,True,,,Free Kick,1,From Free Kick,Jonathan Castro Otto,6802.0,Left Back,3,Celta Vigo,209,['c54d10a8-acf4-4f52-93bb-8ea9ab6302d9'],51,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:51.371,Pass,
,,,,,,,,,,,,,,,,,,2.06719,,,,,,,,,,,,,b1bfc4f9-7e52-4f8a-bb59-25832cc37266,44,,"[85.0, 19.7]",3825788,1,,,,-0.475343,,Right Foot,,,"[105.4, 9.2]",,Ground Pass,,22.943626,,,,Abdoul Karim Yoda,27092.0,,,,,,,1,Regular Play,Wanderson Maciel Sousa Campos,16426.0,Left Wing,4,Getafe,216,['8bf2ebcd-43b0-4b1c-8a2f-7ce4cfaee13c'],4,,,,,,,,,,,,,,,,,Getafe,216,00:01:04.601,Pass,
,,,,,,,,,,,,,,,,,,1.08651,,,,,,,,,,,,,8bd4effc-a25b-42c7-93bb-df35439538f1,49,,"[115.7, 16.0]",3825788,1,,,,1.5226408,,Left Foot,True,,"[116.9, 40.9]",,High Pass,,24.9289,,Incomplete,,,,,,,,,,1,Regular Play,Abdoul Karim Yoda,27092.0,Left Back,4,Getafe,216,"['00e0a4f3-c60c-42a1-8e59-4e2346444452', '0327adc6-ae9d-418e-a500-25086f49805f']",9,,,,,,,,,,,,,,,,,Getafe,216,00:01:09.868,Pass,True
,,,,,,,,,,,,,,,,,,1.491453,,,,,,,,,,,,,d3cb2766-07a7-41b5-b410-ea92029a9e35,54,,"[110.4, 57.4]",3825788,1,,,,-1.333108,,Left Foot,True,,"[115.1, 38.0]",,High Pass,,19.961212,,,,Pablo Sarabia García,6720.0,,,,,,,1,Regular Play,Álvaro Vázquez García,24035.0,Center Forward,4,Getafe,216,"['1cd2704a-2437-424b-bc5f-9d372a49bbc3', '47dab600-7610-4448-88ce-afc8d60d4635']",15,,,,,,,,,,,,,,,,,Getafe,216,00:01:15.924,Pass,True
