50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33cabed8-bb1c-48f0-9212-9970f1a77a09,1,,,3825886,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18404, 'name': 'José Ángel Crespo Rincón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2fc3a539-7ded-446f-8c94-d096c124af56,2,,,3825886,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41546a6a-893d-4ddf-89fd-06e327fc7460,3,,,3825886,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['df0764a5-9b32-4beb-bc65-bb7e6a57b422'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df0764a5-9b32-4beb-bc65-bb7e6a57b422,4,,,3825886,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['41546a6a-893d-4ddf-89fd-06e327fc7460'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,beaf8aab-b99a-4847-8bed-eec8a5c242cd,1786,,,3825886,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Real Madrid,220,['b6158a5c-d4ee-4f98-a99a-bf4c19692791'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b6158a5c-d4ee-4f98-a99a-bf4c19692791,1787,,,3825886,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Real Madrid,220,['beaf8aab-b99a-4847-8bed-eec8a5c242cd'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.432994,,,,,,,,,,,,,421b5809-6053-480d-9ead-d3ec2b74dd12,5,,"[60.0, 40.0]",3825886,0,,,,,2.145101,,Right Foot,,,,"[58.9, 41.7]",,Ground Pass,,2.0248456,,,,Pablo Hernández Domínguez,4711.0,,,,,Kick Off,1,From Kick Off,Nicolás Ladislao Fedor Flores,26685.0,Center Forward,2,Rayo Vallecano,360,['c9e82c12-07c1-48cf-92ce-0d8fed0e6bb8'],1,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.140,Pass,
,,,,,,,,,,,,,,,,,1.708443,,,,,,,,,,,,,f9790850-ae0d-46b6-9158-7557487d75c8,7,,"[58.7, 41.7]",3825886,0,,,,,-2.9945142,,Right Foot,,,,"[42.5, 39.3]",,Ground Pass,,16.376812,,,,Jozabed Sánchez Ruiz,6852.0,,,,,,1,From Kick Off,Pablo Hernández Domínguez,4711.0,Center Attacking Midfield,2,Rayo Vallecano,360,['18fc7c3f-9128-4a96-bba3-bef1aade211c'],1,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.573,Pass,
,,,,,,,,,,,,,,,,,1.565713,,,,,,,,,,,,,be1b335e-c8ca-45ec-ad55-0f77a72689b7,10,,"[42.5, 39.3]",3825886,0,,,,,-1.9237868,,Right Foot,,,,"[34.8, 18.4]",,Ground Pass,,22.273302,,,,José Ángel Crespo Rincón,18404.0,,,,,,1,From Kick Off,Jozabed Sánchez Ruiz,6852.0,Right Defensive Midfield,2,Rayo Vallecano,360,['e4b28a98-dfe4-4804-b136-973684989f0b'],4,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:04.298,Pass,
,,,,,,,,,,,,,,,,,2.883382,,,,,,,,,,,,,7562fbc7-0fcc-4a2c-8d09-74af84a7f688,13,,"[35.9, 12.4]",3825886,0,,,,,-0.13662308,,Left Foot,,,,"[97.0, 4.0]",,High Pass,,61.67471,,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Kick Off,José Ángel Crespo Rincón,18404.0,Left Center Back,2,Rayo Vallecano,360,['cad5faea-0ced-407a-a514-92e155ee8b8e'],7,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:07.613,Pass,
