50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7855c2e6-4ce8-4c09-8dd6-97459718c08a,1,,,3825881,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 26248, 'name': 'David Barral Torres'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7685b59e-1a16-46d7-8637-fd064fcdac38,2,,,3825881,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0a238a85-00e9-4f4e-9ba2-69232f9759c3,3,,,3825881,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['36207740-9b04-4ada-b206-bfaf75ced66e'],0,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,36207740-9b04-4ada-b206-bfaf75ced66e,4,,,3825881,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['0a238a85-00e9-4f4e-9ba2-69232f9759c3'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,09687187-97ec-44c2-904b-00e24009f5b0,1477,,,3825881,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Granada,1049,['956a9d07-ef6e-4101-9cd5-13e940c50d1c'],0,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,956a9d07-ef6e-4101-9cd5-13e940c50d1c,1478,,,3825881,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Granada,1049,['09687187-97ec-44c2-904b-00e24009f5b0'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.204413,,,,,,,,,,,,,,ca1d666f-8ad0-4c23-8759-ac04da7b6995,5,,"[61.0, 40.1]",3825881,0,,True,,,2.6202135,,Right Foot,,,"[32.1, 56.7]",Ground Pass,,33.328217,,,,Álvaro González Soberón,6762.0,,,,,,Kick Off,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Center Forward,2,Espanyol,214,['198191a0-a55f-4427-aec6-9cee1fc1883d'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.602,Pass,
,,,,,,,,,,,,,,,,,3.667636,,,,,,,,,,,,,,0dab8a53-2466-4ba6-97ea-18fe76ad8362,7,,"[32.8, 54.8]",3825881,0,,,,,0.16540895,,Right Foot,,,"[95.1, 65.2]",High Pass,,63.162094,,Incomplete,,Gerard Moreno Balaguero,6766.0,,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['9a35bf42-0907-40fe-85fd-609868652e1d', 'fafcbedf-b0eb-479f-9021-11bdba7e03b3']",4,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.468,Pass,
,,,,,,,,,,,,,,,,,2.002258,,,,,,,,,,,,,,fafcbedf-b0eb-479f-9021-11bdba7e03b3,10,,"[25.0, 14.9]",3825881,0,,,,True,-0.6424941,,,,,"[40.9, 3.0]",High Pass,,19.86001,,,,Isaac Ajayi Success,6918.0,,,,,,Recovery,1,From Kick Off,Ricardo Miguel Moreira da Costa,19454.0,Left Center Back,2,Espanyol,214,"['0dab8a53-2466-4ba6-97ea-18fe76ad8362', '8c460d01-839e-4668-9d46-30eaf3e9fef5', 'bffb3aa4-ddac-4521-8cf6-8fb125003176']",8,,,,,,,,,,,,,,,,Granada,1049,00:00:08.136,Pass,True
,,,,,,,,,,,,,,,,,0.928413,,,,,,,,,,,,,,0ac90927-e5f4-40a3-ae99-c82d41f13d4d,13,,"[45.9, 2.6]",3825881,0,,,,,-0.1096901,,Right Foot,,,"[68.6, 0.1]",Low Pass,,22.83725,,Out,,Youssef El-Arabi,27109.0,,,,,,,1,From Kick Off,Isaac Ajayi Success,6918.0,Left Midfield,2,Espanyol,214,['b4221acf-2b2a-4037-96e9-4f699603c27a'],13,,,,,,,,,,,,,,,,Granada,1049,00:00:13.356,Pass,
