50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2eebf97b-f8f2-4284-9c5b-6a72a475d430,1,,,3825798,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 27480, 'name': 'Lucas Alfonso Orbán Alegre'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4434e62e-8b1f-4519-9d0c-cebe1e80b792,2,,,3825798,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5200, 'name': 'Lucas Vázquez Iglesias'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 21147, 'name': 'Borja Mayoral Moya'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f83ab915-cc5b-4ff2-a03c-a179a1014c59,3,,,3825798,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['cb7f1eb7-c219-4492-b279-e087bf6f1b78'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb7f1eb7-c219-4492-b279-e087bf6f1b78,4,,,3825798,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['f83ab915-cc5b-4ff2-a03c-a179a1014c59'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,22b7d965-578f-491a-8597-7d5769f136b0,1747,,,3825798,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Levante UD,221,['2b5417f5-b720-4f7d-9388-1eb33bd53477'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b5417f5-b720-4f7d-9388-1eb33bd53477,1748,,,3825798,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Levante UD,221,['22b7d965-578f-491a-8597-7d5769f136b0'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.248088,,,,,,,,,,,,,,063956d9-cb7c-4237-ace5-47f4726ae042,5,,"[61.0, 40.1]",3825798,0,,,,,1.8925469,,Right Foot,,,"[60.1, 42.8]",,Ground Pass,,2.8460498,,,Borja Mayoral Moya,21147.0,,,,,,Kick Off,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,2,Real Madrid,220,['b922a2be-75c3-419e-b247-1f6b28264f83'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.138,Pass,
,,,,,,,,,,,,,,,,1.388236,,,,,,,,,,,,,,d7fb8df6-f4f8-4ae3-91fe-6b102f42265b,8,,"[59.9, 42.3]",3825798,0,,,,,2.896614,,Right Foot,,,"[48.3, 45.2]",,Ground Pass,,11.957006,,,Toni Kroos,5574.0,,,,,,,1,From Kick Off,Borja Mayoral Moya,21147.0,Center Forward,2,Real Madrid,220,['e48319ab-33cd-4e0e-8b73-4a84265a7c9d'],1,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.283,Pass,
,,,,,,,,,,,,,,,,1.333027,,,,,,,,,,,,,,7dac9a4e-719a-4641-a818-e0e5d8911aeb,11,,"[48.3, 45.2]",3825798,0,,,,,-2.5796711,,Right Foot,,,"[32.1, 35.0]",,Ground Pass,,19.143667,,,Raphaël Varane,5485.0,,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Real Madrid,220,['dff26392-a28a-4dea-ad8a-beaa464e97e3'],3,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.368,Pass,
,,,,,,,,,,,,,,,,2.127473,,,,,,,,,,,,,,8d721512-7736-4b1a-84be-99d9eee916ed,15,,"[32.1, 34.3]",3825798,0,,,,,1.546663,,Right Foot,,,"[32.8, 63.3]",,Ground Pass,,29.008448,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Left Center Back,2,Real Madrid,220,"['2d16e6f6-fe98-495f-9fc9-0c317c4e2531', '874117b5-8b4d-458c-8a33-e8cc02efccbc']",5,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.390,Pass,True
