bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.798574,,,,,,,,,,,,0ae01005-ee91-482d-9a48-7deb096709eb,17,,"[13.2, 45.6]",3825821,0,,,,,-1.2676195,,Right Foot,,,"[19.3, 26.1]",,Ground Pass,,20.431837,,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,Gorka Iraizoz Moreno,6576.0,Goalkeeper,3,Athletic Club,215,['d3de2603-0e12-4a89-867c-3e085411d0d3'],15,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:15.435,Pass,
,,,,,,,,,,,,,,,0.208719,,,,,,,,,,,,9d123e9f-b3ea-4919-bfb3-62e64a24896b,20,,"[53.6, 15.0]",3825821,0,,,,,0.48833394,,Right Foot,,,"[56.8, 16.7]",,Low Pass,,3.6235342,,Incomplete,,,,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,3,Athletic Club,215,['15727969-6f0f-47fc-8898-0cc207112ee0'],25,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:25.759,Pass,
,,,,,,,,,,,,,,,1.19495,,,,,,,,,,,,3bfdf659-97ec-416e-9f33-96a20eecea44,22,,"[51.2, 0.1]",3825821,0,,,,,2.9129572,,,,,"[35.3, 3.8]",,Low Pass,,16.324827,,,,Aymeric Laporte,4353.0,,,,,Throw-in,1,From Throw In,Mikel Balenziaga Oruesagasti,6789.0,Left Back,4,Athletic Club,215,['f5ada764-8082-4fb8-9aed-a110505ddc38'],31,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:31.586,Pass,
,,,,,,,,,,,,,,,2.899974,,,,,,,,,,,,c1ab7651-4c4d-44be-9c88-dfd2e3329fa4,26,,"[35.4, 4.2]",3825821,0,,,,,2.1770997,,Left Foot,,,"[16.4, 31.6]",,High Pass,,33.343063,,,,Gorka Iraizoz Moreno,6576.0,,,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,4,Athletic Club,215,"['1593f045-a5d8-4942-9754-9147437ef0d8', '8ebabe49-5538-477c-bdba-ae6963908719']",32,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:32.861,Pass,True
,,,,,,,,,,,,,,,2.692487,,,,,,,,,,,,8481c0be-df3c-4654-a60c-cb4ff19b34bb,29,,"[20.9, 44.9]",3825821,0,,,,,-1.26397,,Right Foot,,,"[33.7, 4.5]",,High Pass,,42.379242,,,,Aymeric Laporte,4353.0,,True,,,,1,From Throw In,Gorka Iraizoz Moreno,6576.0,Goalkeeper,4,Athletic Club,215,['1b4b5db7-fda9-489e-9a06-7d112a48e1a8'],40,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:40.773,Pass,
,,,,,,,,,,,,,,,0.836379,,,,,,,,,,,,18db5900-4c09-42f7-9451-71d6f03561e6,32,,"[39.5, 3.9]",3825821,0,,,,,0.0,,Right Foot,,,"[50.6, 3.9]",,Ground Pass,,11.1,,,,Mikel Balenziaga Oruesagasti,6789.0,,,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,4,Athletic Club,215,['f2fd20e7-6cbb-4672-b3e0-99d8987ccce9'],44,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:44.881,Pass,
,,,,,,,,,,,,,,,0.838031,,,,,,,,,,,,c554b628-8fd6-4736-b83a-5174c72056ce,36,,"[69.5, 80.0]",3825821,0,,,,,-1.1659045,,,,,"[73.1, 71.6]",,Low Pass,,9.138927,,,,Víctor Sánchez Mata,6758.0,,,,,Throw-in,1,From Throw In,Álvaro González Soberón,6762.0,Right Back,5,Espanyol,214,['0ed81f69-c66c-44e0-98fa-8ed04c928101'],56,,,,,,,,,,,,,,,,,Espanyol,214,00:00:56.747,Pass,
,,,,,,,,,,,,,,,1.813857,,,,,,,,,,,,4529e0cc-e978-4b71-9341-04274e456a87,39,,"[73.1, 71.0]",3825821,0,,,,,2.5501537,,Right Foot,,,"[59.7, 80.0]",,High Pass,,16.14187,,Out,,Álvaro González Soberón,6762.0,,,,,,1,From Throw In,Víctor Sánchez Mata,6758.0,Right Center Midfield,5,Espanyol,214,"['b13cb7fb-a422-40cc-8c53-1502d343c003', 'e98487a3-b461-425a-bc19-c060655cae36']",57,,,,,,,,,,,,,,,,,Espanyol,214,00:00:57.585,Pass,True
,,,,,,,,,,,,,,,1.751803,,,,,,,,,,,,8e72fbb5-96d2-48cf-b2e9-47c0de8452ff,41,,"[57.6, 0.1]",3825821,1,,True,,,2.8066416,,,,,"[39.5, 6.4]",,Low Pass,,19.165071,,,,Aymeric Laporte,4353.0,,,,,Throw-in,1,From Throw In,Mikel Balenziaga Oruesagasti,6789.0,Left Back,6,Athletic Club,215,['03c917ea-816d-499a-ab59-3605f23550d2'],5,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:05.037,Pass,
,,,,,,,,,,,,,,,1.867656,,,,,,,,,,,,320a3031-2f81-40a2-ba67-ed5e61808158,43,,"[41.5, 8.9]",3825821,1,,,,,1.6183795,,Left Foot,,,"[39.2, 57.2]",,Ground Pass,,48.354733,,,,Xabier Etxeita Gorritxategi,6788.0,,True,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,6,Athletic Club,215,['35eb8d7a-5586-49d1-a3e3-3d261384bd8f'],9,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:09.009,Pass,
