ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,998eb4d0-60ee-4264-b2dd-1049b6f4f385,1,,,3825735,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ec7e1c0a-d3d6-46f2-ae00-d21474605ae3,2,,,3825735,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 186264, 'name': 'Foued Kadir'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 5}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 52}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5625b149-8b73-4be1-97db-3eb743530a05,3,,,3825735,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['0decbfed-1e5e-4d34-8a5d-5f46abd953a3'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0decbfed-1e5e-4d34-8a5d-5f46abd953a3,4,,,3825735,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['5625b149-8b73-4be1-97db-3eb743530a05'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7b872747-657a-4634-b0f2-10d9ad2d15ca,2049,,,3825735,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Real Betis,218,['b764a98c-5aa1-4d67-9717-d110946f7976'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b764a98c-5aa1-4d67-9717-d110946f7976,2050,,,3825735,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Real Betis,218,['7b872747-657a-4634-b0f2-10d9ad2d15ca'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.490449,,,,,,,,,,,,,,,afe6ce39-4902-41cd-8d38-5b5d2ae3b2ff,5,,"[60.0, 40.0]",3825735,0,,,,,-1.7798193,,Right Foot,,,,"[59.3, 36.7]",Ground Pass,,3.3734255,,,,,Roberto Soldado Rillo,26009.0,,,,,Kick Off,1,From Kick Off,Cédric Bakambu,6862.0,Left Center Forward,2,Villarreal,222,['97f09f44-9cfd-4701-b0ad-d1576c54639f'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.622,Pass,
,,,,,,,,,,,,,,,,,0.902574,,,,,,,,,,,,,,,4b07ff08-1659-40f0-aabc-038b774384dd,8,,"[59.3, 37.3]",3825735,0,,,,,3.1009645,,Left Foot,,,,"[47.0, 37.8]",Ground Pass,,12.310159,,,,,Bruno Soriano Llido,22819.0,,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Right Center Forward,2,Villarreal,222,['51377533-50bd-4660-a900-366588e3554e'],1,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.193,Pass,
,,,,,,,,,,,,,,,,,1.499972,,,,,,,,,,,,,,,8f40ee5f-1bea-486e-9813-cef0c1e65af7,11,,"[44.5, 36.7]",3825735,0,,,,,-2.0836465,,Left Foot,,,,"[32.9, 16.1]",Ground Pass,,23.641489,,,,,Víctor Ruíz Torre,6752.0,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Defensive Midfield,2,Villarreal,222,['b91a72f2-87f8-423a-b167-19c081754878'],5,,,,,,,,,,,,,,,,,Villarreal,222,00:00:05.825,Pass,
,,,,,,,,,,,,,,,,,4.66495,,,,,,,,,,,,,,,48127a36-d3d0-4355-9146-1f293e687f67,14,,"[41.4, 20.1]",3825735,0,,,,,-0.16492376,,Left Foot,,,,"[113.5, 8.1]",High Pass,,73.09179,,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,1,From Kick Off,Víctor Ruíz Torre,6752.0,Left Center Back,2,Villarreal,222,"['bc1dee91-f512-45f3-993b-ada54a09dcb4', 'fd8deb18-e522-4d55-bf71-11715c4f4b2b']",11,,,,,,,,,,,,,,,,,Villarreal,222,00:00:11.690,Pass,
