bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,13829366-a54d-4cd0-a1d5-e081bec47e02,1,,,,3825712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 26020, 'name': 'Ángel Lafita Castillo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,16daa58b-6778-41db-b006-59a0074304e6,2,,,,3825712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6728, 'name': 'Federico Nicolás Cartabia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,89f7b726-a9ce-4c8c-a667-f55750472123,3,,,,3825712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['774be3c4-14e0-4e58-8efb-39d71df5312f'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,774be3c4-14e0-4e58-8efb-39d71df5312f,4,,,,3825712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['89f7b726-a9ce-4c8c-a667-f55750472123'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e2823f35-f0ed-4534-b9c0-d166d06116c4,1518,,,,3825712,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Getafe,216,['c4a485be-11e2-4246-a582-c4371c845897'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c4a485be-11e2-4246-a582-c4371c845897,1519,,,,3825712,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Getafe,216,['e2823f35-f0ed-4534-b9c0-d166d06116c4'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.491854,,,,,,,,,,,62d89763-fa1b-4b6a-a93d-e9fce198bb0b,5,,,"[60.0, 40.0]",3825712,0,,,,,-2.318238,,Left Foot,,,,"[56.2, 35.9]",Ground Pass,,5.59017,,,,,Luis Alberto Romero Alconchel,7782.0,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Center Forward,2,RC Deportivo La Coruña,219,['d99e143b-f566-403c-87e9-3301cce65380'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.781,Pass,
,,,,,,,,,,,,,,,,0.885062,,,,,,,,,,,8ba278a3-1a3f-4000-87e9-bc864a12ce9b,7,,,"[54.7, 34.8]",3825712,0,,True,,,-2.5138495,,Right Foot,,,,"[43.4, 26.6]",Ground Pass,,13.961734,,,,,Pedro Mosquera Parada,6733.0,,,,,,1,From Kick Off,Luis Alberto Romero Alconchel,7782.0,Left Wing,2,RC Deportivo La Coruña,219,['951a99fa-1590-4f00-9b2d-896a5b9c026c'],1,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:01.877,Pass,
,,,,,,,,,,,,,,,,1.490976,,,,,,,,,,,385d06f0-7bf1-4aec-90ff-ad896d1d58fa,9,,,"[44.7, 29.8]",3825712,0,,,,,1.9207389,,Left Foot,,,,"[39.7, 43.5]",Ground Pass,,14.583896,,,,,Alejandro Arribas Garrido,6869.0,,,,,,1,From Kick Off,Pedro Mosquera Parada,6733.0,Left Defensive Midfield,2,RC Deportivo La Coruña,219,['305dd120-b68f-4d97-b86b-58b4953c9fb1'],3,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:03.706,Pass,
,,,,,,,,,,,,,,,,0.815036,,,,,,,,,,,79638d98-b23a-4894-9884-32d1763f698c,12,,,"[39.7, 49.7]",3825712,0,,,,,1.2075471,,Right Foot,,,,"[46.2, 66.8]",Ground Pass,,18.293715,,,,,Juan Francisco Moreno Fuertes,6738.0,,,,,,1,From Kick Off,Alejandro Arribas Garrido,6869.0,Right Center Back,2,RC Deportivo La Coruña,219,['823816d4-e1bf-40da-8147-732ff87033f5'],6,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:06.647,Pass,
