bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00a89f5a-2af9-4082-9b6b-43bb02fd8305,1,,,3825905,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7ebbef30-fb82-4192-9fd4-fb30121a6679,2,,,3825905,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e1a6dc7c-12d7-45e2-91ba-1b829ceef4b5,3,,,3825905,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['dc540bcf-2370-407b-a913-55a1c5123308'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dc540bcf-2370-407b-a913-55a1c5123308,4,,,3825905,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['e1a6dc7c-12d7-45e2-91ba-1b829ceef4b5'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3aaec628-485c-4f6b-8bbe-4af71ee78654,1597,,,3825905,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Málaga,223,['abad2fc6-87b4-4a9d-898a-72dd23b7d643'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,abad2fc6-87b4-4a9d-898a-72dd23b7d643,1598,,,3825905,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Málaga,223,['3aaec628-485c-4f6b-8bbe-4af71ee78654'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.594336,,,,,,,,,,,,,,e442ca53-f24e-40a3-af7a-37ffa495dd29,5,,"[60.0, 40.0]",3825905,0,,,,,1.8788491,,Right Foot,,,"[59.3, 42.2]",,Ground Pass,,2.3086793,,,Charles Días Barbosa de Oliveira,6707.0,,,,,Kick Off,1,From Kick Off,Duje Čop,8419.0,Right Center Forward,2,Málaga,223,['677c3304-0a9c-448f-88dc-dc8d9db9005a'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.437,Pass,
,,,,,,,,,,,,,,,1.529983,,,,,,,,,,,,,,b7a18be4-069d-4cef-930a-7a10fb998d7d,8,,"[60.2, 39.5]",3825905,0,,,,,3.0968463,,Right Foot,,,"[40.1, 40.4]",,Ground Pass,,20.12014,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Left Center Forward,2,Málaga,223,['2a13f0fb-dbee-40e7-a85a-e96402a04eca'],1,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.224,Pass,
,,,,,,,,,,,,,,,1.397688,,,,,,,,,,,,,,5fab3882-af15-465c-aedb-2d41b72583ae,11,,"[32.1, 39.5]",3825905,0,,,,,-1.2490457,,Left Foot,,,"[39.0, 18.8]",,Ground Pass,,21.819715,,,Miguel Torres Gómez,6878.0,,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,['060f72cf-e7bf-4345-a5f3-29a96ca75ddb'],3,,,,,,,,,,,,,,,,,Málaga,223,00:00:03.828,Pass,
,,,,,,,,,,,,,,,0.976108,,,,,,,,,,,,,,400a5901-341c-4a49-8346-c6a8cb1c8ce4,14,,"[42.7, 11.7]",3825905,0,,,,,1.1790963,,Left Foot,,,"[46.5, 20.9]",,Ground Pass,,9.953894,,,José Luis García del Pozo,6580.0,,,,,,1,From Kick Off,Miguel Torres Gómez,6878.0,Left Back,2,Málaga,223,['907b3cd3-0158-4910-9173-dda2b33bc7cd'],7,,,,,,,,,,,,,,,,,Málaga,223,00:00:07.627,Pass,
