bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,653b0d20-be94-4962-a310-864b6ffb3598,1,,,3825741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9620daba-166f-41ce-872b-0c4a3bfb0ec8,2,,,3825741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10754, 'name': 'Héctor Hernández Ortega'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6230b77d-7203-4c23-8d6c-66f18998fd72,3,,,3825741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['a8a458eb-0f9b-4e2c-afa5-80708db4747f'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a8a458eb-0f9b-4e2c-afa5-80708db4747f,4,,,3825741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['6230b77d-7203-4c23-8d6c-66f18998fd72'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d19a5073-8065-424d-b376-46898aa96264,1609,,,3825741,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Sporting Gijón,1041,['766d9374-0cfa-462a-9a15-7c5cbb75b35d'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,766d9374-0cfa-462a-9a15-7c5cbb75b35d,1610,,,3825741,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Sporting Gijón,1041,['d19a5073-8065-424d-b376-46898aa96264'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.341695,,,,,,,,,,,c3a3539d-0d8d-491c-b659-075013c28e22,5,,"[60.0, 40.0]",3825741,0,,,,,-1.4464413,,Right Foot,,,"[60.1, 39.2]",,Ground Pass,,0.8062258,,,,,Daniel Arnaud N''Di	,40822.0,,,,,,Kick Off,1,From Kick Off,Carlos Carmona Bonet,23848.0,Right Wing,2,Sporting Gijón,1041,['c545892d-4655-4ae6-91c4-cf297079313c'],1,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.456,Pass,
,,,,,,,,,,,,,,,,1.402078,,,,,,,,,,,0a3887c5-abf2-47a4-a4c9-688a6e669f05,8,,"[59.7, 37.7]",3825741,0,,,,,3.045886,,Left Foot,,,"[47.2, 38.9]",,Ground Pass,,12.557467,,,,,Sergio Álvarez Díaz,13107.0,,,,,,,1,From Kick Off,Daniel Arnaud N''Di	,40822.0,Center Attacking Midfield,2,Sporting Gijón,1041,['3acb76b5-6170-4776-a328-76f8ed7aea4e'],1,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.918,Pass,
,,,,,,,,,,,,,,,,2.934478,,,,,,,,,,,5d925bff-b4ef-4529-9177-2f3575b85bd1,11,,"[47.8, 40.2]",3825741,0,,,,,-0.7103514,,Right Foot,,,"[90.7, 3.3]",,High Pass,,56.586395,,,Incomplete,,,,,,,,,,1,From Kick Off,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,2,Sporting Gijón,1041,['4367ec7f-401f-436b-bae5-e8b2cabd1d1b'],4,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:04.231,Pass,
,,,,,,,,,,,,,,,,2.477918,,,,,,,,,,,4367ec7f-401f-436b-bae5-e8b2cabd1d1b,12,,"[29.4, 76.8]",3825741,0,,,,True,-1.2899586,,,,,"[30.9, 71.6]",,High Pass,,5.4120235,,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Joseba Zaldúa Bengoetxea,6605.0,Right Back,2,Sporting Gijón,1041,"['3c98ebd3-3aad-4eb8-9b6b-3af05de43ba9', '4e38ac93-6d24-42c1-bc80-9aa80f427ea3', '5d925bff-b4ef-4529-9177-2f3575b85bd1']",7,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:07.166,Pass,True
