ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e736a20a-c9d7-4063-9a0c-0fc89d5c8d7c,1,,,3825768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16332, 'name': 'Ognjen Vranješ'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8b9d20d-eb32-416c-896f-1de40f9a7c3f,2,,,3825768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 11543, 'name': 'José Antonio Dorado Ramírez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b6b31c9a-1c9f-4be8-b5af-3b17669e979b,3,,,3825768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['9a020f2d-a582-4fa0-aad5-452f83aded58'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a020f2d-a582-4fa0-aad5-452f83aded58,4,,,3825768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['b6b31c9a-1c9f-4be8-b5af-3b17669e979b'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36c53ae9-9861-4004-87fa-f88a4f55c555,1668,,,3825768,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Rayo Vallecano,360,['e4b70e0f-c644-4a37-821b-369b63c081b4'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e4b70e0f-c644-4a37-821b-369b63c081b4,1669,,,3825768,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Rayo Vallecano,360,['36c53ae9-9861-4004-87fa-f88a4f55c555'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.456558,,,,,,,,,,,,,7db4b2f6-759a-4f66-86e8-2224d08c877e,5,,"[60.0, 40.0]",3825768,0,,,,-2.3847582,,Right Foot,,,,"[58.2, 38.3]",,Ground Pass,,2.4758837,,,,,Daniel Arnaud N''Di	,40822.0,,,,,Kick Off,1,From Kick Off,Carlos Carmona Bonet,23848.0,Right Wing,2,Sporting Gijón,1041,['e1555a80-d46e-42e3-933e-cb771611debd'],1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.280,Pass,
,,,,,,,,,,,,,,,0.904498,,,,,,,,,,,,,eef3b245-22dd-4ac6-953c-c312b8380c48,8,,"[57.0, 37.5]",3825768,0,,,,2.5620286,,Left Foot,,,,"[51.5, 41.1]",,Ground Pass,,6.5734315,,,,,Rachid Aït-Atmane,27526.0,,,,,,1,From Kick Off,Daniel Arnaud N''Di	,40822.0,Center Attacking Midfield,2,Sporting Gijón,1041,['ddcfc426-f270-4f36-b042-0a4205b80ca0'],1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.856,Pass,
,,,,,,,,,,,,,,,2.819135,,,,,,,,,,,,,abf6fdf2-b7fb-4108-a84f-41d7ce01d482,11,,"[51.5, 41.0]",3825768,0,,,,-0.92356545,,Right Foot,,,,"[80.6, 2.5]",,High Pass,,48.260334,,,,,Jonathan Rodríguez Menéndez,6581.0,,,,,,1,From Kick Off,Rachid Aït-Atmane,27526.0,Right Defensive Midfield,2,Sporting Gijón,1041,['de420526-3b0d-4862-b2ea-ebad4de21af3'],2,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.903,Pass,
,,,,,,,,,,,,,,,1.046352,,,,,,,,,,,,,68c3272e-aefd-4724-9809-ad805ea6c9fd,13,,"[81.1, 2.2]",3825768,0,,,,0.42758077,,Head,,,,"[89.0, 5.8]",,High Pass,,8.68159,,,,,Miguel Ángel Guerrero Martín,6602.0,,,,,,1,From Kick Off,Jonathan Rodríguez Menéndez,6581.0,Left Wing,2,Sporting Gijón,1041,['e81a42b4-5c46-46a6-bdc1-56754f578381'],5,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:05.722,Pass,
