bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,51c44293-5233-4638-a0cf-c966378362ae,1,,,3825692,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,df34da01-cad7-4a6a-833f-392dd936756d,2,,,3825692,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 24173, 'name': 'Carlos Castro García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bb166d4c-4e41-4c76-80ba-7cbbabe82603,3,,,3825692,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['17f11a12-bfea-4943-b6d3-3fc95dcef934'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17f11a12-bfea-4943-b6d3-3fc95dcef934,4,,,3825692,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['bb166d4c-4e41-4c76-80ba-7cbbabe82603'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7d55e1bc-f6df-44c3-8c9b-a6b4aa57042b,1570,,,3825692,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Sporting Gijón,1041,['d32363d9-7206-481f-a446-8b8903371b64'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d32363d9-7206-481f-a446-8b8903371b64,1571,,,3825692,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Sporting Gijón,1041,['7d55e1bc-f6df-44c3-8c9b-a6b4aa57042b'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.450741,,,,,,,,,,,,,,4b1c2f13-329d-4aff-8629-467d0ea2e0d4,5,,"[60.0, 40.0]",3825692,0,,,,1.2870022,,Right Foot,,,"[60.7, 42.4]",,Ground Pass,2.5,,,Éver Maximiliano David Banega,5504.0,,,,,Kick Off,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Sevilla,213,['90de03e5-4376-43ec-9882-85196f3365bf'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.168,Pass,
,,,,,,,,,,,,,,,,1.180186,,,,,,,,,,,,,,cf36311e-5c36-4e54-a528-52dd697080c7,9,,"[61.3, 46.9]",3825692,0,,,,2.383215,,Right Foot,,,"[49.9, 57.7]",,Ground Pass,15.703503,,,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,2,Sevilla,213,"['3bff90b0-fd15-44e4-bb5a-ba5ebe46bebf', 'a4cca078-f388-462c-aeaf-2b9d8aac4659']",3,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.022,Pass,True
,,,,,,,,,,,,,,,,1.707406,,,,,,,,,,,,,,6b4543d6-4820-49aa-a00a-ac105c6d054d,13,,"[48.4, 66.3]",3825692,0,,,,-2.877189,,Right Foot,,,"[25.5, 60.1]",,Ground Pass,23.72446,,,Adil Rami,3253.0,,,,,,1,From Kick Off,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Right Defensive Midfield,2,Sevilla,213,['e6da4700-ee64-4a45-860c-0e4ce72c13d9'],8,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:08.295,Pass,
,,,,,,,,,,,,,,,,1.680482,,,,,,,,,,,,,,e545930f-ab6a-4d02-a5d9-903cda08f46f,16,,"[25.7, 59.6]",3825692,0,,,,0.70575476,,Right Foot,,,"[37.2, 69.4]",,Ground Pass,15.109269,,,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,,,,,1,From Kick Off,Adil Rami,3253.0,Right Center Back,2,Sevilla,213,['8213ad9c-1b26-4891-af4f-f113a738d9a5'],12,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:12.478,Pass,
