ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,df5d976d-e74a-4122-b916-619339325faa,1,,,3825624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ac3379b2-ea5a-45f5-9591-1b2d09d9911d,2,,,3825624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,746d6037-a142-4d28-aa37-3c1152fe1344,3,,,3825624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['1032f5b7-529c-411e-9376-3dd47d282b5e'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1032f5b7-529c-411e-9376-3dd47d282b5e,4,,,3825624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['746d6037-a142-4d28-aa37-3c1152fe1344'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,decba3b1-22db-40e9-9893-47ed5de988de,1542,,,3825624,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,113,Sevilla,213,['33c2f3fa-c9bb-4eeb-89c3-23eead424d88'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,33c2f3fa-c9bb-4eeb-89c3-23eead424d88,1543,,,3825624,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,113,Sevilla,213,['decba3b1-22db-40e9-9893-47ed5de988de'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.404287,,,,,,,,,,,,,,f5182edf-78b2-4f7c-bcdd-7dc37bb697a6,5,,"[60.0, 40.0]",3825624,0,,True,,,-2.3906636,,Left Foot,,,"[58.5, 38.6]",,Ground Pass,,2.0518284,,,,,José Antonio Reyes Calderón,23816.0,,,,,,Kick Off,1,From Kick Off,Kevin Gameiro,6401.0,Center Forward,2,Sevilla,213,['1020befa-ead0-43c7-aa53-9f0dc41c7bbc'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.607,Pass,
,,,,,,,,,,,,,,,,2.039775,,,,,,,,,,,,,,fe76e76a-272e-4d5a-b260-e7108921a7b8,7,,"[55.7, 41.2]",3825624,0,,,,,2.7378347,,Left Foot,,,"[34.4, 50.3]",,Ground Pass,,23.16247,,,,,Adil Rami,3253.0,,,,,,,1,From Kick Off,José Antonio Reyes Calderón,23816.0,Right Wing,2,Sevilla,213,['050e11c5-f947-4012-a553-d6edb83c19b1'],1,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:01.922,Pass,
,,,,,,,,,,,,,,,,3.399199,,,,,,,,,,,,,,6264ca68-e6bb-4754-a265-523acd0f7ff6,11,,"[32.3, 49.3]",3825624,0,,,,,-0.50574976,,Right Foot,,,"[89.0, 17.9]",,High Pass,,64.813965,,,Incomplete,,,,,,,,,,1,From Kick Off,Adil Rami,3253.0,Right Center Back,2,Sevilla,213,"['2f52624e-9249-4b83-9a25-fa1e2e2c4287', '614217b8-e6ac-40d6-ba6a-a5d009795558']",5,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:05.156,Pass,True
,,,,,,,,,,,,,,,,3.443416,,,,,,,,,,,,,,eecde3fe-2c23-49b5-a8da-584bc329629b,14,,"[105.3, 0.1]",3825624,0,,,,,1.2274041,,,True,,"[117.6, 34.5]",,High Pass,,36.532864,,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,José Antonio Reyes Calderón,23816.0,Right Wing,3,Sevilla,213,['f989d9ab-9849-434d-94e1-df6591174b5d'],26,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:26.169,Pass,
