50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.143681,,,,,,,,,,,,,5e7a2e80-84f7-4854-8117-391ab7e2fb9f,3092,,"[84.4, 24.4]",3825609,88,,,,,-0.92992336,,Right Foot,,,,"[93.5, 12.2]",Ground Pass,,15.220053,Unknown,,Armindo Tué Na Bangna,8522.0,,,,,Recovery,2,Regular Play,Alberto De La Bella Madureño,6674.0,Left Back,208,Real Sociedad,210,['1286ab32-bd3f-453f-8571-96c16dff5165'],42,,,,,,,,,,,,,,,,,Real Sociedad,210,00:43:42.965,Pass,
,,,,,,,,,,,,,,,,,,1.530988,,,,,,,,,,,,,af6a8f11-2984-4763-a6a6-c2f3f112090a,3097,,"[93.5, 14.8]",3825609,89,,,,,0.9686548,,Right Foot,True,,,"[113.5, 43.9]",High Pass,,35.310196,Incomplete,,,,,,,,Free Kick,2,From Free Kick,Asier Illarramendi Andonegi,6671.0,Left Defensive Midfield,209,Real Sociedad,210,['903c75d6-8d53-49db-960e-3218107c4927'],15,,,,,,,,,,,,,,,,,Real Sociedad,210,00:44:15.621,Pass,
,,,,,,,,,,,,,,,,,,1.112134,,,,,,,,,,,,,0ea3d8ca-996c-4cde-a44d-d676b5f87a53,3106,,"[11.5, 80.0]",3825609,90,,,,,-0.5724598,,,,,,"[20.5, 74.2]",High Pass,,10.707007,,,Íñigo Lekue Martínez,6392.0,,,,,Throw-in,2,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,211,Athletic Club,215,['db308ae4-4fbc-47f5-bfe2-97673475a4c3'],17,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:17.003,Pass,
,,,,,,,,,,,,,,,,,,1.272415,,,,,,,,,,,,,4db70dc3-14b3-4054-842d-fae37250e98c,3108,,"[20.5, 74.2]",3825609,90,,,,,-0.09966865,,Right Foot,,,,"[33.5, 72.9]",High Pass,,13.064838,Incomplete,,Raúl García Escudero,6391.0,,,,,,2,From Throw In,Íñigo Lekue Martínez,6392.0,Right Wing,211,Athletic Club,215,"['024ce298-dc99-4d7d-b50e-fc7a154f33a8', 'f5a61d14-8dd9-4d24-bf67-a908e0961267']",18,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:18.116,Pass,
,,,,,,,,,,,,,,,,,,1.227886,,,,,,,,,,,,,6f0bc8ae-f4c9-44bd-a096-631bca7383b4,3111,,"[28.9, 80.0]",3825609,90,,,,,-0.74905056,,,,,,"[40.3, 69.4]",High Pass,,15.566631,,,Aritz Aduriz Zubeldia,6394.0,,,,,Throw-in,2,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,212,Athletic Club,215,['04972790-412b-4ae1-a1c5-ff58433b0ce5'],27,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:27.640,Pass,
,,,,,,,,,,,,,,,,,,4.828505,,,,,,,,,,,,,8f2b572a-e091-418d-85dc-a73c000213f2,3114,,"[39.0, 65.8]",3825609,90,,,,,-1.5314078,,Left Foot,,,,"[41.4, 4.9]",High Pass,,60.947273,,,Iñaki Williams Arthuer,6393.0,,True,,,,2,From Throw In,Aritz Aduriz Zubeldia,6394.0,Center Forward,212,Athletic Club,215,['2bd98202-c8e3-4813-8f80-792850f53bc3'],29,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:29.658,Pass,
,,,,,,,,,,,,,,,,,,1.180476,,,,,,,,,,,,,573cd7a6-00ee-4627-a18b-a23b8ec0a871,3118,,"[62.5, 26.2]",3825609,90,,,,,1.6603001,,Right Foot,,,,"[61.1, 41.8]",Ground Pass,,15.662695,,,Raúl García Escudero,6391.0,,,,,,2,From Throw In,Iñaki Williams Arthuer,6393.0,Left Wing,212,Athletic Club,215,"['784f3e04-7a46-4430-91d1-db71fa48754a', '9c751f6f-c9dd-455d-ba5f-acd61a97cc6c']",41,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:41.063,Pass,True
,,,,,,,,,,,,,,,,,,1.663623,,,,,,,,,,,,,d7c5cf16-4d86-4a60-aad5-e98856702038,3121,,"[61.1, 41.8]",3825609,90,,,,,-2.0698273,,Right Foot,,,,"[49.0, 19.6]",Ground Pass,,25.283394,,,Aymeric Laporte,4353.0,,,,,,2,From Throw In,Raúl García Escudero,6391.0,Center Attacking Midfield,212,Athletic Club,215,['4af0c089-ce85-4f01-bc48-ef35629f95b8'],42,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:42.283,Pass,
,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,fd81df74-05e3-4f0e-80f8-3915a904a856,3124,,"[55.1, 20.1]",3825609,90,,,,,1.6823643,,Left Foot,,,,"[52.4, 44.2]",Ground Pass,,24.250772,,,Xabier Etxeita Gorritxategi,6788.0,,,,,,2,From Throw In,Aymeric Laporte,4353.0,Left Center Back,212,Athletic Club,215,['933b5412-bc7e-4b99-b162-5ba64d27c6bf'],47,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:47.227,Pass,
,,,,,,,,,,,,,,,,,,0.891819,,,,,,,,,,,,,1d544929-a39a-4933-b620-5cbba939de6d,3127,,"[55.9, 50.5]",3825609,90,,,,,-1.5371956,,Right Foot,,,,"[56.3, 38.6]",Ground Pass,,11.906721,,,Mikel San José Domínguez,6389.0,,,,,,2,From Throw In,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,212,Athletic Club,215,['7d2c42e2-b74e-4b22-9870-babd1460d046'],52,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:52.258,Pass,
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,a7330247-eeb0-4217-8a31-43e7e122741b,3130,,"[56.8, 34.2]",3825609,90,,,,,-1.598112,,Right Foot,,,,"[56.3, 15.9]",Ground Pass,,18.30683,,,Aymeric Laporte,4353.0,,,,,,2,From Throw In,Mikel San José Domínguez,6389.0,Right Defensive Midfield,212,Athletic Club,215,['71dd604a-0c7b-48d9-aad0-4cc76028ed40'],54,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:54.648,Pass,
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,7012aef9-577e-42f1-9184-18d0a10024a8,3133,,"[56.3, 18.4]",3825609,90,,,,,1.6096117,,Left Foot,,,,"[55.5, 39.0]",Ground Pass,,20.615528,,,Mikel San José Domínguez,6389.0,,,,,,2,From Throw In,Aymeric Laporte,4353.0,Left Center Back,212,Athletic Club,215,['8f5e6163-bfc3-458d-b30f-6a76675c8766'],57,,,,,,,,,,,,,,,,,Athletic Club,215,00:45:57.355,Pass,
,,,,,,,,,,,,,,,,,,1.324789,,,,,,,,,,,,,9db0a3a2-7e74-4469-a6a7-912b9cb3d0f4,3136,,"[57.0, 39.7]",3825609,91,,,,,-0.10504325,,Right Foot,,,,"[88.3, 36.4]",Ground Pass,,31.47348,,,Aritz Aduriz Zubeldia,6394.0,,,,,,2,From Throw In,Mikel San José Domínguez,6389.0,Right Defensive Midfield,212,Athletic Club,215,['8b5405e2-7394-4738-9738-b6438359680f'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:46:00.155,Pass,
,,,,,,,,,,,,,,,,,,0.993286,,,,,,,,,,,,,5d3cc11f-08a5-4d64-a33d-d1ea9f4aeffc,3138,,"[88.3, 36.4]",3825609,91,,,,,-1.3521274,,Right Foot,,,,"[89.9, 29.2]",Low Pass,,7.3756356,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,2,From Throw In,Aritz Aduriz Zubeldia,6394.0,Center Forward,212,Athletic Club,215,"['2787c4bd-d6ba-452e-b447-07c5fa85481c', '4849204f-1880-42bc-976b-b460ebf33bda']",1,,,,,,,,,,,,,,,,,Athletic Club,215,00:46:01.480,Pass,
,,,,,,,,,,,,,,,,,,0.861523,,,,,,,,,,,,,5d1032a4-1fb9-43f0-ab4b-9c37da7fd919,3144,,"[31.3, 53.0]",3825609,91,,,,,0.7633753,,Right Foot,,,,"[42.9, 64.1]",Ground Pass,,16.055218,,,Carlos Alberto Vela Garrido,5560.0,,,,,,2,From Throw In,Rubén Pardo Gutiérrez,6899.0,Right Defensive Midfield,212,Athletic Club,215,"['5a2a4d0e-4838-404b-ac05-6badefc2e7aa', 'e39a975c-26a5-4d77-a9f4-47f7a31d6f9d']",4,,,,,,,,,,,,,,,,,Real Sociedad,210,00:46:04.065,Pass,True
,,,,,,,,,,,,,,,,,,3.559831,,,,,,,,,,,,,b6f5f308-78e4-401c-8d1b-5846006c2d4f,3150,,"[50.0, 48.3]",3825609,91,,,,,0.6965522,,Right Foot,,,,"[87.9, 80.0]",High Pass,,49.40951,Out,,Xabier Prieto Argarate,6690.0,,,,,Free Kick,2,From Free Kick,Asier Illarramendi Andonegi,6671.0,Left Defensive Midfield,213,Real Sociedad,210,['e24f5f65-0aa2-4a9e-94a9-559fe6ecf009'],22,,,,,,,,,,,,,,,,,Real Sociedad,210,00:46:22.417,Pass,
,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,52cf9ff3-d291-479b-8b0b-2b9e989fe100,3152,,"[32.7, 0.1]",3825609,91,,,,,1.4618543,,,,,,"[35.5, 25.7]",Low Pass,,25.75267,,,Mikel San José Domínguez,6389.0,,,,,Throw-in,2,From Throw In,Mikel Balenziaga Oruesagasti,6789.0,Left Back,214,Athletic Club,215,['2a8470a4-7a74-4ec5-b34a-dddb508c1484'],40,,,,,,,,,,,,,,,,,Athletic Club,215,00:46:40.942,Pass,
