50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9bea4c99-0638-4339-a908-a0c47a76a9f2,1,,,,3825870,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c478c7f4-658b-4db7-b561-a1571577aa63,2,,,,3825870,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 27341, 'name': 'Marcelo Alfonso Díaz Rojas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,395d56ed-4186-447f-bf56-866c3966089b,3,,,,3825870,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['9d3c6b46-4432-427b-94b3-407cf9129a0f'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9d3c6b46-4432-427b-94b3-407cf9129a0f,4,,,,3825870,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['395d56ed-4186-447f-bf56-866c3966089b'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,26f401a2-e963-4413-bdb2-9ede6a7b5980,1586,,,,3825870,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Athletic Club,215,['14f99651-dcb3-4080-979d-ff896562319c'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,14f99651-dcb3-4080-979d-ff896562319c,1587,,,,3825870,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Athletic Club,215,['26f401a2-e963-4413-bdb2-9ede6a7b5980'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.522961,,,,,,,,,,,,,,,,acc1d5be-aee6-4969-a5c1-a0eb716d5d0d,5,,,"[60.0, 40.0]",3825870,0,,,,,-2.0344439,,Left Foot,,,,"[59.5, 39.0]",,Ground Pass,,1.118034,,,,Mikel San José Domínguez,6389.0,,,,,Kick Off,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,2,Athletic Club,215,['d77066fd-afad-4deb-9157-0c8a696cbacd'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.500,Pass,
,,,,,,,,,,,,,,,,,,1.695839,,,,,,,,,,,,,,,,3b123738-aad9-4dd6-9f4d-587c0948a172,7,,,"[59.8, 38.7]",3825870,0,,,,,-2.7101426,,Right Foot,,,,"[33.3, 26.5]",,Ground Pass,,29.173447,,,,Xabier Etxeita Gorritxategi,6788.0,,,,,,1,From Kick Off,Mikel San José Domínguez,6389.0,Right Defensive Midfield,2,Athletic Club,215,['6a4987f7-7a07-4902-8231-33506e1b4b48'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.023,Pass,
,,,,,,,,,,,,,,,,,,4.410774,,,,,,,,,,,,,,,,5aa53429-5ecc-4e41-a672-c27e7cd23321,10,,,"[36.1, 27.0]",3825870,0,,,,,-0.39479113,,Right Foot,,,,"[85.3, 6.5]",,High Pass,,53.3,,Incomplete,,,,,,,,,1,From Kick Off,Xabier Etxeita Gorritxategi,6788.0,Left Center Back,2,Athletic Club,215,['af75a334-a75a-4ba4-af9e-ff213233afdd'],4,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.078,Pass,
,,,,,,,,,,,,,,,,,,1.096426,,,,,,,,,,,,,,,,ab520a4f-f315-40fc-ac7d-cdd44752a3ed,13,,,"[31.7, 77.8]",3825870,0,,,,,-2.5501537,,Left Foot,,,,"[11.6, 64.3]",,Ground Pass,,24.212807,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,1,From Kick Off,Hugo Mallo Novegil,6805.0,Right Back,2,Athletic Club,215,['4caeea09-8fb7-4b50-a93b-eaecba61b8d3'],9,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:09.200,Pass,
