50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b3e6baaa-9f91-4605-bccb-38da0a8c762f,1,,,,3825896,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,72f7edec-9e37-4c7a-90bc-5f8348f34061,2,,,,3825896,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27480, 'name': 'Lucas Alfonso Orbán Alegre'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,474af2e4-8a4b-454e-b8ea-e7fcd82f0b74,3,,,,3825896,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['a1f92c43-a89d-408e-9ce1-3cc43f0a7393'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a1f92c43-a89d-408e-9ce1-3cc43f0a7393,4,,,,3825896,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['474af2e4-8a4b-454e-b8ea-e7fcd82f0b74'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,62109d16-4834-42c8-932d-920f6bd4fa3a,1493,,,,3825896,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Granada,1049,['8a21d78c-320e-4134-b12f-3b86a5d7d40d'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8a21d78c-320e-4134-b12f-3b86a5d7d40d,1494,,,,3825896,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Granada,1049,['62109d16-4834-42c8-932d-920f6bd4fa3a'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.350788,,,,,,,,,,,,,,,,be0fcc1c-c707-448f-8c33-fe92cc218a49,5,,,"[60.0, 40.0]",3825896,0,,,,,2.3036115,,Left Foot,,,,"[58.2, 42.0]",,Ground Pass,,2.6907248,,,,Deyverson Brum Silva Acosta,25134.0,,,,,Kick Off,1,From Kick Off,Giuseppe Rossi,7141.0,Left Center Forward,2,Levante UD,221,['dbb5c4d5-33b0-4352-b8e5-81d09a54b675'],1,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.192,Pass,
,,,,,,,,,,,,,,,,,,1.038871,,,,,,,,,,,,,,,,1093e1aa-ae88-429e-a6c5-5e595321316e,7,,,"[57.6, 42.7]",3825896,0,,,,,-2.5325606,,Right Foot,,,,"[45.7, 34.4]",,Ground Pass,,14.508618,,,,Simão Mate,27122.0,,,,,,1,From Kick Off,Deyverson Brum Silva Acosta,25134.0,Right Center Forward,2,Levante UD,221,['db86a062-1dcb-437d-9fda-3ca1c14e9659'],1,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.543,Pass,
,,,,,,,,,,,,,,,,,,2.96477,,,,,,,,,,,,,,,,bc52c244-3b53-41aa-a7c7-ba24936d7dd4,10,,,"[45.7, 36.0]",3825896,0,,,,,2.1578789,,Right Foot,,,,"[29.0, 61.1]",,Ground Pass,,30.147968,,,,Carl Medjani,27656.0,,,,,,1,From Kick Off,Simão Mate,27122.0,Left Defensive Midfield,2,Levante UD,221,['7e413e67-9f2b-4734-b7c3-f8984a23db18'],3,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:03.570,Pass,
,,,,,,,,,,,,,,,,,,0.754993,,,,,,,,,,,,,,,,c8bf6015-98f8-45b9-9321-5b3efabd3e89,13,,,"[29.3, 62.5]",3825896,0,,,,,1.1007179,,Right Foot,,,,"[35.6, 74.9]",,Ground Pass,,13.90863,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,,1,From Kick Off,Carl Medjani,27656.0,Right Center Back,2,Levante UD,221,['0c2193e3-78ec-4205-af2f-1ae9fc0dfba7'],6,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:06.788,Pass,
