bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.638942,,,,,,,,,,,,,82fa9a5e-eb37-40c5-a897-3f7fde23777d,16,,"[38.7, 44.6]",3825804,0,,,,,-0.90007603,,Head,,,,"[55.6, 23.3]",,High Pass,,27.190071,Incomplete,,,,,,,,Recovery,1,From Kick Off,Pedro Mosquera Parada,6733.0,Center Defensive Midfield,2,Málaga,223,"['0a38c0b4-a639-49e3-b788-71085a8ae089', '76325ea6-d4d7-4f96-81dd-f2ac9199da94']",12,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:12.054,Pass,
,,,,,,,,,,,,,,,,,1.281171,,,,,,,,,,,,,76325ea6-d4d7-4f96-81dd-f2ac9199da94,17,,"[64.5, 56.8]",3825804,0,,,,,-0.5376748,,Right Foot,,,,"[80.6, 47.2]",,Ground Pass,,18.744865,Incomplete,,Charles Días Barbosa de Oliveira,6707.0,,,,,Recovery,1,From Kick Off,Roberto José Rosales Altuve,6569.0,Right Back,2,Málaga,223,"['234b1b7b-2664-4f5a-b23c-cd9a536e1acf', '5fada709-0295-46a8-8d17-aaaa2a2d6744', '82fa9a5e-eb37-40c5-a897-3f7fde23777d']",13,,,,,,,,,,,,,,,,,,Málaga,223,00:00:13.693,Pass,
,,,,,,,,,,,,,,,,,1.167568,,,,,,,,,,,,,69d45e23-88ed-4c41-be64-ca59809b841e,21,,"[46.7, 22.9]",3825804,0,,,,,-0.8074534,,Left Foot,,,,"[60.0, 9.0]",,Ground Pass,,19.237984,,,Luis Alberto Romero Alconchel,7782.0,,,,,,1,Regular Play,Fernando Navarro i Corbacho,6913.0,Left Center Back,3,RC Deportivo La Coruña,219,['24272360-8ae4-4452-a6ca-6336db68b18a'],16,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:16.695,Pass,
,,,,,,,,,,,,,,,,,1.343107,,,,,,,,,,,,,64d85460-a8a1-4bb8-9c53-af00eab7af20,24,,"[60.0, 9.2]",3825804,0,,,,,-2.8931053,,Right Foot,,,,"[46.6, 5.8]",,Ground Pass,,13.8246155,,,Luis Carlos Correia Pinto,6734.0,,,,,,1,Regular Play,Luis Alberto Romero Alconchel,7782.0,Left Wing,3,RC Deportivo La Coruña,219,['5d2ffcbd-4938-4f60-b5b9-e48f2ca5f6d6'],18,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:18.525,Pass,
,,,,,,,,,,,,,,,,,2.659549,,,,,,,,,,,,,128d7bea-90cf-4255-9d33-39b39ca6e6e7,27,,"[46.6, 5.8]",3825804,0,,,,,2.556593,,Left Foot,,,,"[8.1, 31.3]",,Ground Pass,,46.179,,,Germán Darío Lux,27305.0,,,,,,1,Regular Play,Luis Carlos Correia Pinto,6734.0,Left Back,3,RC Deportivo La Coruña,219,['56709a10-c525-4a9b-968c-282c2b6b06ce'],20,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:20.689,Pass,
,,,,,,,,,,,,,,,,,3.84801,,,,,,,,,,,,,3a5c78fc-b3b5-4675-a4b4-f64d25226dff,30,,"[17.4, 42.2]",3825804,0,,,,,-0.629038,,Right Foot,,,,"[66.6, 6.4]",,High Pass,,60.846363,Incomplete,,,,,,,,,1,Regular Play,Germán Darío Lux,27305.0,Goalkeeper,3,RC Deportivo La Coruña,219,['5fa386ed-1c0e-40f8-b555-79e585dbd0f0'],31,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:31.045,Pass,
,,,,,,,,,,,,,,,,,0.603846,,,,,,,,,,,,,ad1dcbc9-cddd-460d-b629-5fb159c5be9d,34,,"[49.8, 77.3]",3825804,0,,,,,-1.5707964,,Left Foot,,,,"[49.8, 63.2]",,Ground Pass,,14.1,,,Ignacio Camacho Barnola,8234.0,,,,,,1,Regular Play,Roberto José Rosales Altuve,6569.0,Right Back,4,Málaga,223,"['37b21b59-d4c8-418f-92fd-7cab51e66f93', '3e5ef821-8923-4023-96e1-eb5b03ced21e']",36,,,,,,,,,,,,,,,,,,Málaga,223,00:00:36.955,Pass,True
,,,,,,,,,,,,,,,,,0.63875,,,,,,,,,,,,,a04edb1d-77e2-4304-898b-78f7af379089,38,,"[50.3, 64.3]",3825804,0,,,,,0.9140947,,Right Foot,,,,"[57.7, 73.9]",,Ground Pass,,12.121056,,,Christian Atsu Twasam,3084.0,,,,,,1,Regular Play,Ignacio Camacho Barnola,8234.0,Left Defensive Midfield,4,Málaga,223,"['35432ae5-34c3-4efb-9f7d-4b7508b94a16', '850e0490-737c-4762-abea-6a4e76b5a27d']",37,,,,,,,,,,,,,,,,,,Málaga,223,00:00:37.664,Pass,True
,,,,,,,,,,,,,,,,,0.895758,,,,,,,,,,,,,9b7d38bf-8ebf-4e44-b8f9-82d691b554ec,41,,"[57.1, 73.4]",3825804,0,,,,,-1.7460628,,Left Foot,,,,"[55.4, 63.8]",,Ground Pass,,9.749359,,,Ignacio Camacho Barnola,8234.0,,,,,,1,Regular Play,Christian Atsu Twasam,3084.0,Right Midfield,4,Málaga,223,['880d6f96-5faf-4c0c-a65e-80c029e23775'],38,,,,,,,,,,,,,,,,,,Málaga,223,00:00:38.501,Pass,
,,,,,,,,,,,,,,,,,1.400355,,,,,,,,,,,,,4f8721d6-3324-443b-897e-942799fdeaf7,45,,"[59.1, 63.8]",3825804,0,,,,,-0.9876575,,Right Foot,,,,"[74.8, 40.0]",,Ground Pass,,28.511927,,,Charles Días Barbosa de Oliveira,6707.0,,,,,,1,Regular Play,Ignacio Camacho Barnola,8234.0,Left Defensive Midfield,4,Málaga,223,['374838d7-28e1-4e20-9a8a-044083ad9271'],40,,,,,,,,,,,,,,,,,,Málaga,223,00:00:40.462,Pass,
