ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6025c840-8a9d-4367-8784-384a142ab543,1,,,3825820,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f5ea7003-b199-42d0-9508-9b0436bac079,2,,,3825820,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10881, 'name': 'Diogo José Rosário Gomes Figueiras'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d68f4e2a-d0c6-445f-ba6a-02d695b79fce,3,,,3825820,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['f565df0b-5673-4627-8ff9-86d07768d3d7'],0,,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f565df0b-5673-4627-8ff9-86d07768d3d7,4,,,3825820,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['d68f4e2a-d0c6-445f-ba6a-02d695b79fce'],0,,,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,63d8bdd3-4448-4365-ab4d-35ed4a9cb98f,1765,,,3825820,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Real Madrid,220,['4653e9fc-1082-45f9-92f0-dd0f7e0e5eea'],0,,,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4653e9fc-1082-45f9-92f0-dd0f7e0e5eea,1766,,,3825820,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Real Madrid,220,['63d8bdd3-4448-4365-ab4d-35ed4a9cb98f'],0,,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.332748,,,,,,,,,,,,,,,,ec916a21-f16e-4678-b0fc-3aa376a59f29,5,,"[60.0, 40.0]",3825820,0,True,,,1.784857,,Right Foot,,,"[59.5, 42.3]",,Ground Pass,,2.3537204,,,Karim Benzema,19677.0,,,,,Kick Off,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,2,Real Madrid,220,['878849e4-e713-465e-925f-961e0f5ac831'],0,,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.100,Pass,
,,,,,,,,,,,,,,0.604703,,,,,,,,,,,,,,,,3945c644-cf27-44ee-a95d-b030d1400b5c,7,,"[59.7, 39.5]",3825820,0,True,,,1.5707964,,Right Foot,,,"[59.7, 41.7]",,Ground Pass,,2.2,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['c57aadc7-9170-4247-af2a-a8a6cf88c80f'],0,,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.482,Pass,
,,,,,,,,,,,,,,0.89392,,,,,,,,,,,,,,,,9680c812-5477-4978-b1ce-838788733e0a,9,,"[63.3, 44.4]",3825820,0,,,,1.5859467,,Right Foot,,,"[63.0, 64.2]",,Ground Pass,,19.802273,,,Gareth Frank Bale,6399.0,,,,,,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,2,Real Madrid,220,['471de634-c7dc-46b1-9639-ec982544c017'],2,,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.686,Pass,
,,,,,,,,,,,,,,1.159351,,,,,,,,,,,,,,,,227c14bc-5f9b-4f8a-902c-5ed5e014c7b5,13,,"[60.5, 65.6]",3825820,0,,,,-2.346486,,Right Foot,,,"[50.3, 55.2]",,Ground Pass,,14.567086,,,Luka Modrić,5463.0,,,,,,1,From Kick Off,Gareth Frank Bale,6399.0,Right Wing,2,Real Madrid,220,"['8894b4f8-74a3-491c-b5a5-873dc8629da3', '89cb2d03-61a6-44f4-8182-1b8b83d17563']",4,,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.749,Pass,True
