bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,afb7d9a1-ff4a-4c92-854f-b63637762ff5,1,,,3825834,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7f3ea10c-7df0-4347-8879-d6fcbd643929,2,,,3825834,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1a7cc5c1-2026-4737-8c49-9e7e3778492d,3,,,3825834,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['b5fded36-6e94-4d54-a77a-d02c715434b3'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b5fded36-6e94-4d54-a77a-d02c715434b3,4,,,3825834,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['1a7cc5c1-2026-4737-8c49-9e7e3778492d'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a04f1e83-9b6a-4c81-8185-aea03f857db7,1769,,,3825834,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Granada,1049,['5b85bbfc-0c05-4d85-a3c9-422b43f0edb7'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5b85bbfc-0c05-4d85-a3c9-422b43f0edb7,1770,,,3825834,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Granada,1049,['a04f1e83-9b6a-4c81-8185-aea03f857db7'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.553801,,,,,,,,,,,,,,,ddc2bb12-123b-4991-af7f-e92c52de3c4e,5,,"[60.0, 40.0]",3825834,0,,True,,,-2.138901,,Left Foot,,,,"[57.0, 35.3]",,Ground Pass,,5.575841,,,,Jorge Resurrección Merodio,5199.0,,,,,Kick Off,1,From Kick Off,Saúl Ñíguez Esclapez,6381.0,Left Defensive Midfield,2,Atlético Madrid,212,['6cee746b-44e7-40f6-a2d8-7ef05bad0240'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.338,Pass,
,,,,,,,,,,,,,,,,1.346719,,,,,,,,,,,,,,,e7aadbcd-bf32-40a6-a362-0e5f1fa5edbb,7,,"[56.5, 35.9]",3825834,0,,,,,-3.128935,,Right Foot,,,,"[40.7, 35.7]",,Ground Pass,,15.801266,,,,Stefan Savić,6376.0,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Right Midfield,2,Atlético Madrid,212,['261a2cad-a8c2-487c-ad39-8e1e085a5969'],1,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.643,Pass,
,,,,,,,,,,,,,,,,2.539394,,,,,,,,,,,,,,,4715796a-3719-406f-b264-52d067488a47,10,,"[42.3, 36.4]",3825834,0,,,,,-0.124354996,,Right Foot,,,,"[91.1, 30.3]",,High Pass,,49.17977,,Incomplete,,,,,,,,,1,From Kick Off,Stefan Savić,6376.0,Right Center Back,2,Atlético Madrid,212,['3126305d-9d45-4130-91d4-508e8e21d6e1'],4,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:04.715,Pass,
,,,,,,,,,,,,,,,,0.642482,,,,,,,,,,,,,,,1b13abaa-729b-4268-abff-838e1b7ce2f5,17,,"[34.7, 48.9]",3825834,0,,,,,-0.42178726,,Left Foot,,,,"[42.5, 45.4]",,Ground Pass,,8.549269,,,,Abdoulaye Doucouré,3292.0,,,,,,1,Regular Play,Rubén Salvador Pérez Del Mármol,6599.0,Right Center Midfield,3,Granada,1049,['2467008e-406c-4524-b900-5149466bf62e'],11,,,,,,,,,,,,,,,,,,Granada,1049,00:00:11.982,Pass,
