bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ea8f859-59be-48c0-8ab2-ae1a1006427f,1,,,3825674,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52884d7f-24e2-4c6a-9b69-cd5b367ef6dc,2,,,3825674,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b9543b5a-c175-4dd7-bbd4-25322780fed2,3,,,3825674,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['abb5278e-02da-4dc5-b4f6-8e2898fafb87'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,abb5278e-02da-4dc5-b4f6-8e2898fafb87,4,,,3825674,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['b9543b5a-c175-4dd7-bbd4-25322780fed2'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f49d167-5d2c-4073-816d-f778a7e9fe66,1884,,,3825674,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,108,Espanyol,214,['e8c680d1-1868-4c7c-b94f-ed449e891467'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8c680d1-1868-4c7c-b94f-ed449e891467,1885,,,3825674,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,108,Espanyol,214,['8f49d167-5d2c-4073-816d-f778a7e9fe66'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.478462,,,,,,,,,,,,,a3aff2e7-6b5c-4f47-91d9-41614c8f56de,5,,"[61.0, 40.1]",3825674,0,,,,,-2.1375256,,Left Foot,,,"[60.3, 39.0]",,Ground Pass,,1.3038405,,,,Marco Asensio Willemsen,5719.0,,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,2,Espanyol,214,['a52c86d1-1f53-40dc-a810-9446630da6c4'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.421,Pass,
,,,,,,,,,,,,,,,,,2.621802,,,,,,,,,,,,,f4fd5b0d-f312-4be0-9845-c2c1e3496ab5,7,,"[60.9, 38.7]",3825674,0,,,,,3.0415418,,Left Foot,,,"[35.0, 41.3]",,Ground Pass,,26.030174,,,,Álvaro González Soberón,6762.0,,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,2,Espanyol,214,['d2caa575-8266-4e0a-a9c9-cc4aa9d8229a'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.899,Pass,
,,,,,,,,,,,,,,,,,2.915649,,,,,,,,,,,,,37049e05-8de0-45b0-9c3d-0e4276863cf4,10,,"[35.4, 41.3]",3825674,0,,,,,0.3498556,,Right Foot,,,"[87.2, 60.2]",,High Pass,,55.140274,,Incomplete,,Felipe Salvador Caicedo Corozo,7781.0,,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['cd7155f2-203d-4ca0-8aba-dc1e5d314afa', 'db547b45-5714-4400-a716-702d234f0e0b']",5,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:05.029,Pass,
,,,,,,,,,,,,,,,,,1.380267,,,,,,,,,,,,,ee55c69b-50a6-49c6-b07c-59cdafae38b3,14,,"[78.6, 59.6]",3825674,0,,,,,-0.06391283,,Right Foot,,,"[91.1, 58.8]",,High Pass,,12.525574,,,,Felipe Salvador Caicedo Corozo,7781.0,,,,,,Interception,1,From Kick Off,Abraham González Casanova,27148.0,Right Defensive Midfield,2,Espanyol,214,['32a1aa4d-395a-4412-be4f-0997a60d8559'],9,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.182,Pass,
