bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,155f61a0-f59d-4ef0-aacd-7829aea8937e,1,,,3825835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6844, 'name': 'Federico Ricca Rostagnol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4961524a-87ed-422e-a969-538b82cf1169,2,,,3825835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 23833, 'name': 'Borja Viguera Manzanares'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fe71b03a-c920-4e74-8e91-32451f5aeeba,3,,,3825835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['da297129-8922-466b-a5fc-7310b5121a49'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,da297129-8922-466b-a5fc-7310b5121a49,4,,,3825835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['fe71b03a-c920-4e74-8e91-32451f5aeeba'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4d09794e-5f72-4240-95d3-41cbda833783,1634,,,3825835,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Athletic Club,215,['d33a20f5-0eaf-44ab-8f91-e55b617f0ca7'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d33a20f5-0eaf-44ab-8f91-e55b617f0ca7,1635,,,3825835,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Athletic Club,215,['4d09794e-5f72-4240-95d3-41cbda833783'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.582277,,,,,,,,,,,,,,bf1f366e-4184-4bfa-889e-937e67e42358,5,,"[60.0, 40.0]",3825835,0,,,,,1.359703,,Right Foot,,,,"[60.3, 41.4]",,Ground Pass,,1.4317821,,,,Duje Čop,8419.0,,,,,Kick Off,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Left Center Forward,2,Málaga,223,['c626abc6-0f0f-4a4e-a6fe-c11672643e10'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.409,Pass,
,,,,,,,,,,,,,,,,2.18112,,,,,,,,,,,,,,842141c2-831f-448c-bf35-f1e00b3485aa,8,,"[59.5, 42.2]",3825835,0,,,,,-2.7568188,,Right Foot,,,,"[35.3, 32.4]",,Ground Pass,,26.109003,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,1,From Kick Off,Duje Čop,8419.0,Right Center Forward,2,Málaga,223,['95d0c1d1-c64a-47d8-a96c-17642d01ce1b'],1,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.031,Pass,
,,,,,,,,,,,,,,,,1.748068,,,,,,,,,,,,,,77aaff64-8fc8-40fd-a88f-2185f4d39325,11,,"[35.3, 32.4]",3825835,0,,,,,1.7053496,,Left Foot,,,,"[32.2, 55.3]",,Low Pass,,23.108873,,,,Raúl Albentosa Redal,6727.0,,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,['e4e6bb0c-00b4-473d-be3e-abb4dc290039'],7,,,,,,,,,,,,,,,,,Málaga,223,00:00:07.145,Pass,
,,,,,,,,,,,,,,,,4.121091,,,,,,,,,,,,,,683da3b4-a574-4372-81f8-a684077d6e0e,14,,"[33.4, 57.0]",3825835,0,,,,,0.37030572,,Right Foot,,,,"[91.1, 79.4]",,High Pass,,61.895477,,Out,,Juan Pablo Añor Acosta,6563.0,,,,,,1,From Kick Off,Raúl Albentosa Redal,6727.0,Right Center Back,2,Málaga,223,['a87aa3ba-653e-4b72-917f-f5ea4e846649'],10,,,,,,,,,,,,,,,,,Málaga,223,00:00:10.574,Pass,
