bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b8852115-9e22-4dbe-aac2-8ad0a9b6da1c,1,,,3825621,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7a3d322a-6388-41ab-9c8e-a3871dba6bab,2,,,3825621,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c9c3cd24-098e-4ec6-a6bf-02f3c07e6efa,3,,,3825621,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['ec23a8fd-0522-4d78-9a67-818fa41fa5db'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ec23a8fd-0522-4d78-9a67-818fa41fa5db,4,,,3825621,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['c9c3cd24-098e-4ec6-a6bf-02f3c07e6efa'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0c037b61-5812-4522-8889-8ca44e4b9aa2,2053,,,3825621,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Atlético Madrid,212,['df477c30-7b6e-4a47-a18a-7ac9006b734a'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,df477c30-7b6e-4a47-a18a-7ac9006b734a,2054,,,3825621,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Atlético Madrid,212,['0c037b61-5812-4522-8889-8ca44e4b9aa2'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.723656,,,,,,,,,,,,,,,7ce81450-2b1f-41a5-a8ec-a82a614ac834,5,,"[60.0, 40.0]",3825621,0,,,,,-1.5707964,,Right Foot,,,,"[60.0, 35.2]",,Ground Pass,4.8,,,Ángel Martín Correa,6377.0,,,,,Kick Off,1,From Kick Off,Fernando José Torres Sanz,6382.0,Left Center Forward,2,Atlético Madrid,212,['7994bb9c-ebb9-4d1b-bbc5-77ca32e67f45'],1,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.962,Pass,
,,,,,,,,,,,,,,1.897012,,,,,,,,,,,,,,,d80305b4-1bc7-4c06-b8c5-6d6972f63c80,8,,"[60.0, 39.7]",3825621,0,,,,,2.819842,,Left Foot,,,,"[37.5, 47.2]",,Ground Pass,23.717083,,,José María Giménez de Vargas,5259.0,,,,,,1,From Kick Off,Ángel Martín Correa,6377.0,Right Center Forward,2,Atlético Madrid,212,['49db41d7-cdc7-4629-be4d-eca918a525d2'],2,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.713,Pass,
,,,,,,,,,,,,,,3.200844,,,,,,,,,,,,,,,faa31b31-8cfd-4ff0-8d04-6b618bd9d00d,11,,"[37.7, 47.6]",3825621,0,,,,,0.16484211,,Right Foot,,,,"[90.6, 56.4]",,High Pass,53.626953,Incomplete,,,,,,,,,1,From Kick Off,José María Giménez de Vargas,5259.0,Right Center Back,2,Atlético Madrid,212,['40479173-a1f0-45cb-8eea-aa7ec1164f06'],6,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:06.455,Pass,
,,,,,,,,,,,,,,1.430143,,,,,,,,,,,,,,,40479173-a1f0-45cb-8eea-aa7ec1164f06,13,,"[29.5, 23.7]",3825621,0,,,,True,-0.6035723,,,,,,"[42.7, 14.6]",,High Pass,16.03278,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,Recovery,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Atlético Madrid,212,"['6760f2d4-def8-4760-9639-c514ec4d9396', '83e64271-5685-44ef-bb37-77d8d70fa640', '9df01aa2-c38a-48ef-a2b9-5d956ae6c0bf', 'faa31b31-8cfd-4ff0-8d04-6b618bd9d00d']",9,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:09.656,Pass,True
