50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cf8f1fbe-1af3-4bf6-82dc-14b79fd6dd49,1,,,3825856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6706, 'name': 'Francisco Casilla Cortés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 20215, 'name': 'Álvaro Arbeloa Coca'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5200, 'name': 'Lucas Vázquez Iglesias'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0e151e37-5ac0-4324-95d1-a0f276eb33fa,2,,,3825856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4d54ff0e-3fea-4be6-856c-d95bc787ca57,3,,,3825856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['925d1292-5d53-4233-b066-646a4efa01ca'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,925d1292-5d53-4233-b066-646a4efa01ca,4,,,3825856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['4d54ff0e-3fea-4be6-856c-d95bc787ca57'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a4b792c5-8225-46c3-aad6-c81638d7e95a,1618,,,3825856,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Eibar,322,['c01646ed-94bc-43ed-aab0-70ab5c2d0880'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c01646ed-94bc-43ed-aab0-70ab5c2d0880,1619,,,3825856,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Eibar,322,['a4b792c5-8225-46c3-aad6-c81638d7e95a'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.240098,,,,,,,,,,,cd4fba57-0dca-46f8-b1e3-08455c4ca975,5,,"[61.0, 40.1]",3825856,0,,,,,-1.6447353,,Right Foot,,,,"[60.8, 37.4]",,Ground Pass,,2.7073972,,,,Adrián González Morales,6557.0,,,,,,Kick Off,1,From Kick Off,Sergio Enrich Ametller,6700.0,Center Forward,2,Eibar,322,['ddf01710-ab07-42e8-b2a5-5e0ccd6c320f'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.362,Pass,
,,,,,,,,,,,,,,,,,,2.56958,,,,,,,,,,,6cac8cd6-af08-4c03-a344-5a5b4d20cadb,8,,"[60.4, 38.0]",3825856,0,,,,,2.439513,,Left Foot,,,,"[35.1, 59.4]",,Ground Pass,,33.136837,,,,Aleksandar Pantić,27239.0,,,,,,,1,From Kick Off,Adrián González Morales,6557.0,Center Attacking Midfield,2,Eibar,322,['90aa47e3-dc6e-458c-9c2c-914458c86e5b'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.613,Pass,
,,,,,,,,,,,,,,,,,,2.172186,,,,,,,,,,,f7aec8fa-72aa-454a-b05f-8d0148e781cf,12,,"[39.2, 61.8]",3825856,0,,,,,-0.020734355,,Right Foot,,,,"[82.6, 60.9]",,High Pass,,43.409332,,Incomplete,,,,,,,,,,1,From Kick Off,Aleksandar Pantić,27239.0,Right Center Back,2,Eibar,322,"['957fa72d-0b5d-4ff2-818f-bb9b9e2be342', 'f23ff963-e04e-411d-82ad-e59dbf624d15']",4,,,,,,,,,,,,,,,,,,Eibar,322,00:00:04.587,Pass,True
,,,,,,,,,,,,,,,,,,1.316841,,,,,,,,,,,f23ff963-e04e-411d-82ad-e59dbf624d15,14,,"[37.5, 19.2]",3825856,0,,,,True,-2.378579,,,,,,"[23.8, 6.1]",,Low Pass,,18.95521,,,,Álvaro Arbeloa Coca,20215.0,,,,,,Recovery,1,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,3,Real Madrid,220,"['1390212b-1b2a-47a4-bef5-d963d1d6cc05', '5b47e807-7dff-43a6-9fd6-943fe5a552a2', 'f7aec8fa-72aa-454a-b05f-8d0148e781cf']",6,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.759,Pass,True
